time,Negative corr region,Positive corr region
1836,101172.72,101556.31
1837,101427.3,101524.35
1838,101464.12,101420.01
1839,101516.36,101460.57
1840,101266.68,101507.37
1841,101337.77,101451.13
1842,101468.63,101521.24
1843,101431.08,101516.59
1844,101688.805,101379.16
1845,101316.516,101526.81
1846,101435.78,101456.69
1847,101450.17,101530.21
1848,101428.5,101459.48
1849,101397.0,101500.805
1850,101207.54,101507.98
1851,101424.16,101444.46
1852,101240.34,101409.34
1853,101437.45,101365.445
1854,101109.11,101599.47
1855,101297.45,101375.07
1856,101236.5,101477.984
1857,101407.836,101514.78
1858,101303.54,101483.75
1859,101119.87,101508.35
1860,101292.71,101438.13
1861,101197.195,101462.63
1862,101391.41,101446.53
1863,101004.71,101567.81
1864,101409.96,101370.61
1865,101251.484,101517.38
1866,101129.02,101522.45
1867,101291.09,101490.95
1868,101122.31,101582.25
1869,101097.734,101576.55
1870,101248.84,101360.13
1871,101178.66,101403.17
1872,101141.9,101406.58
1873,101047.72,101500.695
1874,101055.516,101513.15
1875,101387.47,101419.63
1876,101247.26,101343.016
1877,101161.28,101469.164
1878,101037.45,101417.02
1879,101208.836,101457.47
1880,101001.41,101511.75
1881,101260.08,101401.18
1882,101116.805,101642.8
1883,101103.4,101529.95
1884,101171.625,101545.91
1885,101086.69,101431.695
1886,101146.49,101441.62
1887,101075.43,101463.97
1888,101242.5,101538.17
1889,101259.97,101555.42
1890,101143.35,101530.8
1891,101199.33,101588.65
1892,101203.57,101447.21
1893,101132.56,101469.6
1894,101211.086,101587.664
1895,101293.734,101448.78
1896,101226.18,101583.266
1897,101252.19,101587.484
1898,101097.14,101565.15
1899,101132.52,101512.98
1900,101155.83,101501.28
1901,101223.42,101457.766
1902,101325.34,101543.05
1903,101109.28,101620.27
1904,101225.734,101581.94
1905,101148.086,101644.31
1906,101044.51,101617.51
1907,101287.49,101609.93
1908,101272.57,101651.29
1909,101180.06,101508.19
1910,101123.14,101563.63
1911,101142.664,101639.055
1912,101320.51,101619.72
1913,101126.17,101671.95
1914,101091.766,101599.11
1915,101137.86,101486.72
1916,100896.99,101512.13
1917,101002.445,101473.62
1918,101078.54,101576.35
1919,101047.71,101517.64
1920,101204.94,101619.54
1921,100993.34,101636.016
1922,101053.53,101616.336
1923,101003.93,101641.99
1924,101185.29,101515.25
1925,100941.836,101612.86
1926,101151.57,101564.09
1927,101133.086,101558.56
1928,101095.13,101603.18
1929,101253.5,101600.64
1930,101144.445,101539.4
1931,101095.21,101528.82
1932,100992.055,101582.85
1933,101334.32,101497.69
1934,101024.41,101604.74
1935,101030.08,101549.24
1936,101119.28,101498.06
1937,101406.72,101504.63
1938,100987.04,101674.336
1939,101252.27,101532.97
1940,101220.16,101500.77
1941,101320.98,101521.016
1942,101222.66,101438.37
1943,100905.47,101633.29
1944,101029.92,101511.36
1945,101141.78,101572.2
1946,101262.086,101554.17
1947,101298.32,101520.336
1948,101029.63,101684.73
1949,101030.12,101666.34
1950,101081.32,101591.52
1951,101107.836,101526.336
1952,101077.06,101551.03
1953,101179.5,101609.66
1954,101091.625,101547.11
1955,101078.414,101429.74
1956,101223.18,101595.914
1957,101037.414,101605.945
1958,101220.42,101542.04
1959,101352.84,101599.48
1960,101422.27,101476.625
1961,100982.39,101635.05
1962,101037.305,101574.72
1963,101247.01,101456.586
1964,101086.81,101608.24
1965,101057.36,101558.05
1966,101179.766,101528.57
1967,100879.97,101659.055
1968,101213.49,101548.21
1969,101302.63,101493.13
1970,101118.73,101612.63
1971,101088.73,101609.734
1972,101301.945,101575.65
1973,100930.766,101683.516
1974,101118.4,101658.336
1975,100990.68,101646.23
1976,101276.4,101554.66
1977,101117.8,101595.516
1978,101136.93,101596.45
1979,101121.164,101614.89
1980,101229.97,101603.77
1981,101042.61,101638.43
1982,100959.81,101682.05
1983,100771.34,101703.4
1984,101270.54,101605.07
1985,101241.13,101612.95
1986,101098.914,101714.12
1987,101351.4,101587.94
1988,101058.664,101641.14
1989,100899.5,101727.125
1990,100852.85,101764.23
1991,101163.14,101710.38
1992,100956.43,101766.43
1993,101136.695,101721.836
1994,100951.45,101716.45
1995,101016.75,101651.125
1996,101420.97,101489.96
1997,101087.92,101641.39
1998,101049.34,101702.56
1999,100943.195,101656.21
2000,100938.07,101699.55
2001,101171.734,101644.38
2002,101254.59,101669.086
2003,101233.836,101644.97
2004,101057.62,101672.9
2005,101130.93,101670.24
2006,101159.05,101658.164
2007,100899.93,101678.46
2008,100985.37,101643.16
2009,101149.83,101551.72
2010,101286.914,101391.516
2011,101000.59,101683.98
2012,101078.3,101656.305
2013,101108.9,101630.1
2014,101280.336,101606.984
2015,100966.71,101847.97
