time,Negative corr region,Positive corr region
1940,101171.49,101678.414
1941,101352.305,101638.77
1942,101265.484,101592.9
1943,100949.234,101733.28
1944,101174.17,101668.875
1945,101198.695,101766.12
1946,101275.945,101684.88
1947,101283.81,101567.85
1948,100956.34,101762.87
1949,101010.1,101779.055
1950,101039.555,101653.336
1951,101058.75,101588.07
1952,101014.92,101634.29
1953,101109.47,101657.305
1954,100998.04,101601.805
1955,100938.125,101488.77
1956,101132.414,101609.71
1957,100928.64,101620.56
1958,101094.766,101582.45
1959,101244.45,101631.57
1960,101376.28,101529.14
1961,100867.02,101700.1
1962,100966.195,101635.06
1963,101184.76,101530.53
1964,101096.94,101709.91
1965,101042.15,101679.86
1966,101152.82,101623.42
1967,100836.98,101741.5
1968,101128.05,101587.28
1969,101278.984,101508.664
1970,101057.9,101627.125
1971,101022.484,101605.08
1972,101242.984,101564.664
1973,100858.02,101690.97
1974,101019.22,101647.53
1975,100882.27,101668.41
1976,101222.45,101578.805
1977,101050.58,101648.69
1978,101050.62,101625.75
1979,101018.35,101630.586
1980,101185.39,101667.63
1981,101014.64,101706.63
1982,100938.984,101740.37
1983,100742.28,101795.8
1984,101257.586,101669.555
1985,101160.945,101630.88
1986,101067.9,101749.94
1987,101268.266,101645.85
1988,100974.93,101669.49
1989,100816.69,101723.47
1990,100744.34,101780.89
1991,101101.625,101729.76
1992,100916.16,101793.2
1993,101110.32,101736.48
1994,100880.7,101731.42
1995,100888.66,101670.77
1996,101410.47,101518.17
1997,101040.06,101678.625
1998,101007.04,101768.45
1999,100903.93,101682.17
2000,100894.76,101728.9
2001,101087.07,101668.5
2002,101172.83,101675.164
2003,101157.93,101663.85
2004,100947.78,101684.67
2005,101091.9,101695.266
2006,101103.625,101677.15
2007,100861.234,101734.1
2008,100966.414,101698.65
2009,101124.94,101592.79
2010,101253.13,101439.76
2011,100941.34,101722.96
2012,101047.74,101704.81
2013,101048.74,101626.22
2014,101174.57,101598.32
2015,100863.43,101837.8
2016,101140.14,101726.23
2017,100930.92,101777.42
2018,101248.51,101619.87
2019,100985.39,101681.16
2020,100795.39,101765.35
2021,101133.58,101703.53
2022,101045.41,101736.45
2023,100995.414,101707.42
