t,u,v,speed,direction,u2,v2,pres,ibe
1836,1.9393297,0.48008367,3.052603,2.1102514,6.5846663,1.0162615,-161.76237,1.6009408
1837,1.0462769,0.62747276,1.8437799,2.1849418,2.0561888,1.4408427,79.60221,-0.78779066
1838,0.154521,-0.10398434,2.6662397,4.021837,-0.019153131,-0.14621316,-28.08789,0.2779943
1839,0.5179808,0.4469314,2.7074606,2.2380462,2.0993795,1.1639355,-22.03711,0.21811105
1840,1.3904817,0.14079708,2.8205016,2.9641933,5.0908456,0.042540215,150.87305,-1.4931422
1841,1.1766595,0.8385323,2.1780457,1.743472,2.606394,1.6029303,-142.13086,1.406652
1842,0.4176241,0.0007158878,2.5245483,3.436488,1.0195454,0.6316528,233.64778,-2.3123453
1843,1.1185004,0.6132043,2.68014,2.2864106,3.3929424,1.0039115,33.292316,-0.32947206
1844,0.214807,0.05945067,2.3635914,2.7474298,0.017310722,-0.92617315,-73.85742,0.73096514
1845,1.7168914,0.82239765,2.4322338,1.2187691,4.8843083,2.113482,-8.975261,0.088840924
1846,1.1731343,1.0152869,2.3926692,1.9685396,3.377443,3.2549014,-4.386068,0.043422673
1847,1.3683624,0.7994624,2.5628507,3.0496895,3.2277653,2.6753254,125.109375,-1.2381648
1848,1.0513406,0.93041784,2.805297,2.5046086,4.0545597,2.9446228,-131.88672,1.305268
1849,0.82654977,0.5941046,1.8856359,2.1473784,2.154871,1.040323,17.684244,-0.1750023
1850,1.7414782,0.1921585,2.5063274,3.6673925,6.5953665,0.8164588,112.51432,-1.1135144
1851,1.309498,0.2535184,2.6008036,2.9278371,2.6736612,1.7646695,92.34049,-0.9138585
1852,1.2781025,1.0454108,2.927537,3.0348117,3.6511333,4.838133,-178.23177,1.7639347
1853,0.27457774,0.3900323,2.4489324,2.5776658,1.3481658,1.0938687,-44.777996,0.44317257
1854,1.9965012,0.24435407,2.6767316,3.6771896,7.4576073,1.0062499,37.8763,-0.37483862
1855,1.3578136,-0.11740526,2.4696276,3.2664442,6.0943575,-0.069301784,-153.29362,1.5171274
1856,-0.5617185,0.3896959,2.7271147,2.884584,-6.6017814,0.9729247,105.85677,-1.0476261
1857,0.7254759,0.71043676,1.8900414,2.5341933,2.6474755,1.6941882,78.82748,-0.7801233
1858,0.6140305,0.06628526,2.3723412,3.0060775,-0.11194179,0.21158998,86.35156,-0.8545875
1859,2.0673368,0.61924475,3.0673802,2.2383726,7.822051,1.3385453,-141.66277,1.4020195
1860,1.079917,0.45924047,2.9532545,3.084706,2.2522478,1.7256696,-208.7461,2.0659282
1861,2.071496,0.7546706,3.2761488,2.0477006,10.674819,1.8066772,-24.772787,0.24518542
1862,1.5315928,0.42947054,2.315134,2.27688,5.7031136,0.77663773,-167.58203,1.6585366
1863,2.8100486,0.9217268,3.4944172,2.2870271,10.312983,2.5481775,-3.2076824,0.03176044
1864,0.76102364,0.046360224,2.2180803,3.315966,2.571956,0.1683522,-63.222656,0.6257152
1865,1.1313822,0.80338615,2.3312871,1.937844,2.7339406,1.8264911,-71.177734,0.7044447
1866,2.0574868,0.63415915,3.318784,2.335205,10.111558,1.8397593,-182.13347,1.8025489
1867,1.2243245,-0.050502785,2.6843169,2.6504571,3.5024157,-0.24796508,-1.4869791,0.0147309555
