t,u,v,speed,direction,u2,v2,pres,ibe
1940,0.90783924,0.65912247,2.0455127,2.329878,2.6771014,1.0389411,83.75781,-0.8290496
1941,0.30064106,0.3064115,1.7229624,2.9269097,0.72046083,0.6366793,47.085938,-0.4661162
1942,0.42371264,0.68382066,1.8434724,2.3640687,0.69286126,1.4015346,151.69011,-1.5013603
1943,1.3211545,0.8857365,1.9948435,1.8621739,3.6404321,1.3884937,179.49219,-1.7765113
1944,1.351963,0.3001418,1.9547182,2.4785159,3.4401658,0.44234276,116.42969,-1.1523958
1945,1.4803869,0.514776,2.0104024,2.7512271,3.500903,0.93081117,186.85677,-1.8493971
1946,0.7041432,0.8604389,2.273253,2.668359,2.1298747,2.0342944,120.17969,-1.1895088
1947,0.17651415,0.32436213,2.0772855,1.6040583,-0.1826678,0.2786744,92.6224,-0.9167804
1948,1.1244644,0.99295425,1.8405074,1.4990367,1.9665695,1.8630053,122.72656,-1.2147148
1949,1.415815,0.5272725,2.163437,2.3466604,3.5130901,1.1954602,224.69531,-2.2238767
1950,1.2500607,1.1940511,2.0005858,1.2214136,2.4789324,2.203295,-125.82552,1.2451499
1951,0.7006473,1.1971976,2.1192296,1.7554351,1.1678343,2.6628182,-213.53386,2.1131797
1952,1.2616502,0.5072069,1.7554137,2.6499434,2.4781904,0.7838299,-153.95573,1.5235481
1953,1.0700463,0.554748,1.7255894,2.3485227,2.0344646,1.1039144,190.22136,-1.8826956
1954,1.2729772,1.0989981,2.460532,1.9214486,3.66553,2.2116106,-234.34114,2.3191047
1955,1.091332,0.028400183,1.8010813,2.7066405,2.5629053,-0.15017629,-85.91927,0.8502066
1956,0.95156854,0.14167571,1.6814743,2.3722215,1.5802516,0.18574889,65.21615,-0.645547
1957,1.2077233,0.5895001,1.9574299,1.861712,2.3448553,0.85839814,-2.5026042,0.024650425
1958,0.97666854,0.5865591,1.6565706,1.8875409,1.8882222,0.7531159,-170.78386,1.6900924
1959,0.3282548,0.54865646,1.703772,2.8725874,0.6261723,1.5833403,107.5026,-1.0640466
1960,0.46951136,0.7133309,1.9034573,2.3510969,0.47274503,1.6893963,-246.14844,2.4359586
1961,1.3676955,0.8517564,2.2167084,1.8870544,3.78252,1.6905249,-34.434895,0.34067726
1962,1.5800914,0.48129782,2.0008793,2.974181,3.757342,1.0905153,29.585938,-0.29292262
1963,0.48030218,0.8762887,1.6337276,1.4779657,0.8413648,1.5635415,20.591146,-0.20390327
1964,0.7972481,0.6270488,1.7742852,1.7610688,0.7014219,0.7964316,254.65886,-2.5204191
1965,1.2096798,0.57718897,1.811295,2.5957425,2.3289385,0.91287565,-174.47136,1.7265868
1966,0.9764492,0.69161814,1.7932215,1.5359086,2.6703126,0.92990214,-220.74219,2.184519
1967,1.9082994,1.1351281,2.5618095,1.5328666,5.3222566,2.7207785,-35.648438,0.35268745
1968,0.5285806,0.48357502,1.4337001,1.9429983,1.623602,0.5903626,-33.023438,0.32670835
1969,0.31457472,0.36340117,1.6803408,2.9475968,0.5001718,1.0290227,-64.55469,0.63876605
1970,1.1018807,0.4741017,1.9497923,2.0678008,2.524305,1.003778,-187.50261,1.8555541
1971,0.85094947,0.25505996,1.809563,2.9210823,1.3936061,0.9023159,89.33594,-0.884255
1972,0.24377139,0.69725174,1.7679186,3.01352,0.101166956,1.9047683,-6.1640625,0.0608871
1973,1.5009407,0.15286613,1.7722489,2.654267,3.6801777,0.1591896,113.88802,-1.1272416
1974,1.1538597,0.8065229,2.5657403,2.4571657,3.9580004,2.4097838,-244.41406,2.4187942
1975,0.73265934,0.5051518,1.783424,2.5404754,2.2320523,1.3419337,169.20573,-1.6747087
1976,0.36826396,0.21990483,1.6321164,2.6071641,0.94463724,0.24332047,59.63802,-0.5903415
1977,1.0723006,0.7869652,2.0310316,2.1936517,2.7012026,1.6403853,-164.75261,1.6304026
1978,0.9881225,0.5464015,2.4982402,1.8247055,3.1368887,0.9954138,-166.14844,1.6442167
1979,0.92710894,1.0379168,2.0489304,2.0732982,1.9324964,2.0038943,-164.34114,1.6263304
