time,one,trend,total,rate_slr
1865,-4.458297298458879,-4.489129847013494,-8.947427145472373,
1866,-4.458297298458879,-4.576248187949609,-9.034545486408488,-0.873935873146996
1867,-4.458297298458879,-4.663917021642893,-9.122214320101772,-0.8811919928051903
1868,-4.458297298458879,-4.752486586510647,-9.210783884969526,-0.8887884251105094
1869,-4.458297298458879,-4.841674706664995,-9.299972005123873,-0.892544634516601
1870,-4.458297298458879,-4.930995513413968,-9.389292811872846,-0.8913440266895867
1871,-4.458297298458879,-5.0199435120029126,-9.478240810461791,-0.8852991907593877
1872,-4.458297298458879,-5.108055351565845,-9.566352650024724,-0.8767241741608123
1873,-4.458297298458879,-5.195288346835075,-9.653585645293955,-0.8686337232289398
1874,-4.458297298458879,-5.281782096211633,-9.740079394670513,-0.8603712388001261
1875,-4.458297298458879,-5.3673625945951,-9.82565989305398,-0.8494142514797076
1876,-4.458297298458879,-5.451664946507575,-9.909962244966454,-0.8351916757715072
1877,-4.458297298458879,-5.534400929749402,-9.99269822820828,-0.8182008443922628
1878,-4.458297298458879,-5.615305115386027,-10.073602413844906,-0.7945244954129915
1879,-4.458297298458879,-5.693305828832,-10.15160312729088,-0.7562931226232372
1880,-4.458297298458879,-5.766563739910675,-10.224861038369554,-0.6993765981209465
1881,-4.458297298458879,-5.833181148456189,-10.291478446915068,-0.6233305252968036
1882,-4.458297298458879,-5.891229844970035,-10.349527143428915,-0.5285752755600415
1883,-4.458297298458879,-5.938896203568198,-10.397193502027076,-0.41653796272255406
1884,-4.458297298458879,-5.974537437514546,-10.432834735973426,-0.28937943939017163
1885,-4.458297298458879,-5.996772091446232,-10.45506938990511,-0.15063133006401053
1886,-4.458297298458879,-6.004663703527348,-10.462961001986226,-0.0036293296049105805
1887,-4.458297298458879,-5.997497957367214,-10.455795255826093,0.14855127629143539
1888,-4.458297298458879,-5.974953448269061,-10.43325074672794,0.30306851318441463
1889,-4.458297298458879,-5.936884254730331,-10.39518155318921,0.45733028115557683
1890,-4.458297298458879,-5.883487392037946,-10.341784690496825,0.6089099242020879
1891,-4.458297298458879,-5.8151022698899135,-10.273399568348793,0.7556271493866529
1892,-4.458297298458879,-5.732361962160615,-10.190659260619494,0.8957925110854159
1893,-4.458297298458879,-5.63594376767283,-10.094241066131708,1.0296558247208942
1894,-4.458297298458879,-5.526430797216436,-9.984728095675315,1.157900885957286
1895,-4.458297298458879,-5.404363590481373,-9.862660888940251,1.281201386550972
1896,-4.458297298458879,-5.270190519906242,-9.72848781836512,1.4000880731760201
1897,-4.458297298458879,-5.124345975846169,-9.582643274305049,1.5139327265091573
1898,-4.458297298458879,-4.9674039746044105,-9.42570127306329,1.6219353559380467
1899,-4.458297298458879,-4.79995890465856,-9.258256203117439,1.726026454475189
1900,-4.458297298458879,-4.622198683709373,-9.080495982168252,1.8292867263848933
1901,-4.458297298458879,-4.434101559381581,-8.89239885784046,1.9316447657548164
1902,-4.458297298458879,-4.235869730558409,-8.694167029017288,2.03119657090161
1903,-4.458297298458879,-4.027862245201259,-8.486159543660138,2.127140724566736
1904,-4.458297298458879,-3.810441585645062,-8.268738884103941,2.219377116040988
1905,-4.458297298458879,-3.5839868219930615,-8.04228412045194,2.3057549672205147
1906,-4.458297298458879,-3.3492905922009593,-7.807587890659838,2.381980389225107
1907,-4.458297298458879,-3.10759074414804,-7.565888042606919,2.4438773636468025
1908,-4.458297298458879,-2.8605151194715988,-7.318812417930477,2.48709366901662
1909,-4.458297298458879,-2.610172010344716,-7.068469308803595,2.5087959002266658
1910,-4.458297298458879,-2.3587559394262656,-6.817053237885144,2.5081282159012552
1911,-4.458297298458879,-2.108546367164465,-6.5668436656233435,2.4860228320772624
1912,-4.458297298458879,-1.861551373010813,-6.319848671469692,2.446627685570484
1913,-4.458297298458879,-1.6192208300503683,-6.077518128509247,2.3944968008562704
1914,-4.458297298458879,-1.382652012839559,-5.840949311298438,2.3349708150772086
1915,-4.458297298458879,-1.1522266670349266,-5.6105239654938055,2.2726635398676076
1916,-4.458297298458879,-0.9281193048660374,-5.386416603324916,2.210144707639801
1917,-4.458297298458879,-0.7101977255069664,-5.168495023965845,2.149426515305529
1918,-4.458297298458879,-0.4982340018049316,-4.95653130026381,2.0916968443273936
1919,-4.458297298458879,-0.2918583566414876,-4.750155655100366,2.0373497295708134
1920,-4.458297298458879,-0.09076405589076897,-4.549061354349648,1.9835632356032373
1921,-4.458297298458879,0.10485429047915984,-4.353443007979719,1.9271855524549841
1922,-4.458297298458879,0.29467305460022786,-4.163624243858651,1.868550383246983
1923,-4.458297298458879,0.47856436712855643,-3.9797329313303225,1.8089359085088308
1924,-4.458297298458879,0.656460236301994,-3.801837062156885,1.7478635867510661
1925,-4.458297298458879,0.8281370844787697,-3.6301602139801092,1.6843354982746117
1926,-4.458297298458879,0.9933273359569164,-3.4649699625019625,1.620014653321964
1927,-4.458297298458879,1.1521400151431624,-3.3061572833157165,1.5580067017870847
1928,-4.458297298458879,1.3049286763143333,-3.1533686221445456,1.500278902443144
1929,-4.458297298458879,1.4521957956317912,-3.0061015028270877,1.4481278450488677
1930,-4.458297298458879,1.5945542453241068,-2.863743053134772,1.4019611854371883
1931,-4.458297298458879,1.732588032719229,-2.72570926573965,1.361499159085262
1932,-4.458297298458879,1.8668540771411593,-2.5914432213177196,1.327072647631411
1933,-4.458297298458879,1.998002562245511,-2.460294736213368,1.2996858625016094
1934,-4.458297298458879,2.126791249641481,-2.3315060488173978,1.279184615083866
1935,-4.458297298458879,2.2538394852622843,-2.2044578131965946,1.2638393760811195
1936,-4.458297298458879,2.379559124857705,-2.078738173601174,1.2531757169500701
1937,-4.458297298458879,2.5044746286522983,-1.9538226698065806,1.2489105123095445
1938,-4.458297298458879,2.629341227319614,-1.828956071139265,1.2524624717184274
1939,-4.458297298458879,2.754967122995984,-1.7033301754628951,1.2644193200728537
1940,-4.458297298458879,2.8822250913341847,-1.5760722071246942,1.2843614743761655
1941,-4.458297298458879,3.011839417871217,-1.446457880587662,1.3093424471215132
1942,-4.458297298458879,3.1440935807584873,-1.3142037177003916,1.335973809704436
1943,-4.458297298458879,3.279034179812104,-1.1792631186467748,1.3602284522731756
1944,-4.458297298458879,3.4161392712131224,-1.0421580272457565,1.3794685712089216
1945,-4.458297298458879,3.5549278940538884,-0.9033694044049905,1.3976660640971117
1946,-4.458297298458879,3.695672484032545,-0.7626248144263341,1.4195385235053837
1947,-4.458297298458879,3.838835598754965,-0.6194616997039137,1.4453984199813608
1948,-4.458297298458879,3.984752168028817,-0.47354513043006197,1.4743527731307005
1949,-4.458297298458879,4.133706153381105,-0.32459114507777365,1.5059456906613677
1950,-4.458297298458879,4.2859413061610905,-0.17235599229778842,1.5399047281657419
1951,-4.458297298458879,4.441687099014254,-0.016610199444625273,1.5763371618561894
1952,-4.458297298458879,4.601208738532328,0.14291144007344947,1.6154958065937342
1953,-4.458297298458879,4.7647862603330005,0.30648896187412156,1.6571231474942971
1954,-4.458297298458879,4.932633368031188,0.4743360695723089,1.7006547705651887
1955,-4.458297298458879,5.104917214446038,0.6466199159871593,1.7458130764409985
1956,-4.458297298458879,5.2817959833193875,0.8234986848605086,1.7924914533166714
