time,nod1,nod2,trend,total,total_nodal,rate_slr
1865,-1.4759943787259964,0.0,-8.758815029842683,-10.23480940856868,-1.4759943787259964,
1866,-1.3926927182726225,0.03463518176564754,-8.86789352015753,-10.225951056664504,-1.358057536506975,-1.0927301477634277
1867,-1.1521904375383374,0.06536090670304728,-8.977361059395369,-10.064190590230659,-1.0868295308352902,-1.0972597514717375
1868,-0.7816343056663706,0.08870899912967627,-9.087345470451877,-9.780270776988571,-0.6929253065366944,-1.099275757539866
1869,-0.32285096037435057,0.10204403590898325,-9.197216210903342,-9.41802313536871,-0.22080692446536732,-1.0937637579339032
1870,0.1723742866833976,0.10386082065006884,-9.306098222038658,-9.029863114705192,0.27623510733346646,-1.0793751568837973
1871,0.6481427329468407,0.09395428321472638,-9.413091242280101,-8.670994226118534,0.742097016161567,-1.0562523174766447
1872,1.0507518682488661,0.07344262707256508,-9.517348685533987,-8.393154190212556,1.1241944953214311,-1.027346050103839
1873,1.3347570622199418,0.044641111739363706,-9.61856045230087,-8.239162278341563,1.3793981739593055,-0.9966198550233951
1874,1.4681011409627058,0.010800717144869545,-9.716672656538666,-8.237770798431091,1.4789018581075755,-0.9646703635352782
1875,1.4357328504466584,-0.0242588117298398,-9.811494525007925,-8.400020486291107,1.4114740387168185,-0.930457931506421
1876,1.2413057714508156,-0.056580119745651636,-9.90276424283995,-8.718038591134786,1.1847256517051639,-0.8947749476356748
1877,0.9067659205059874,-0.0825149292877611,-9.99044951453506,-9.166198523316833,0.8242509912182263,-0.8594798985706742
1878,0.4698745865075734,-0.0991358407270929,-10.074660222554085,-9.703921476773605,0.3707387457804805,-0.8215820355623826
1879,-0.020053986419497176,-0.10456676355666306,-10.154765921647536,-10.279386671623696,-0.12462074997616024,-0.7738341121764147
1880,-0.5077189594419469,-0.09819468068640948,-10.229427044989368,-10.835340685117725,-0.6059136401283564,-0.7122255577769288
1881,-0.9380749982641464,-0.08073884293637493,-10.297211033202922,-11.316024874403443,-1.0188138412005214,-0.6359126306101714
1882,-1.2625455322206045,-0.05416958337847486,-10.356609571111402,-11.673324686710481,-1.3167151155990793,-0.5445802080996476
1883,-1.444505849677804,-0.02148591538307213,-10.406127074822852,-11.872118839883727,-1.4659917650608763,-0.4384229579105803
1884,-1.4634171236601425,0.013622981940528366,-10.444294162693518,-11.894088304413133,-1.449794141719614,-0.3183066675395896
1885,-1.3171447382819181,0.04719418097431308,-10.46978840833077,-11.739738965638374,-1.269950557307605,-0.186266438117757
1886,-1.0221992341740498,0.07543832226917786,-10.48154745031707,-11.42830836222194,-0.9467609119048719,-0.044312111861080083
1887,-0.6118726761161496,0.09516733966192661,-10.478650830702986,-10.995356167157208,-0.516705336454223,0.10556359354943368
1888,-0.1324808009524731,0.10415431422709859,-10.460434731607183,-10.488761218332558,-0.028326486725374522,0.26132010431730635
1889,0.36186488549476487,0.10138483843777976,-10.426386809839524,-9.963137085906979,0.4632497239325446,0.4205634339147757
1890,0.8153649613408249,0.0871715177281926,-10.376322044824228,-9.473785565755211,0.9025364790690176,0.5807925126705715
1891,1.1768304656002146,0.06311868505885523,-10.31022830730541,-9.07027915664634,1.2399491506590699,0.739085301625062
1892,1.4054608679519232,0.0319413113386577,-10.228504984499216,-8.791102805208634,1.437402179290581,0.8928171810777563
1893,1.475449441188144,-0.002841447754165704,-10.131664871089859,-8.65905687765588,1.4726079934339784,1.0409210803592028
1894,1.3788962035103387,-0.0373034775550284,-10.020320768427375,-8.678728042472065,1.3415927259553102,1.182685057205921
1895,1.1266996314122368,-0.0675548658171322,-9.895127859648674,-8.835983094053569,1.0591447655951047,1.3174889565949943
