time,nod1,nod2,pressure_north,pressure_south,trend,total,total_nodal,total_wind,rate_slr
1890,1.263279841146872,0.0,-0.5771495122071272,-0.5517096303805378,-9.65353925801841,-9.519118559459203,1.263279841146872,-1.128859142587665,
1891,1.1919832902239336,0.3008250799271017,-1.5114445920588082,-0.21470462280731725,-9.436946838129868,-9.67028768284496,1.4928083701510353,-1.7261492148661255,2.1637936157023585
1892,0.9861412576386119,0.5676944361398945,-1.5822093498040084,-1.0386629334583004,-9.220780534877939,-10.287817124361741,1.5538356937785065,-2.620872283262309,2.1571083212004005
1893,0.668988226330138,0.7704851077151302,-0.397066555586763,-0.9082300532583809,-9.005525173889788,-8.871348448689664,1.4394733340452683,-1.3052966088451439,2.1456937026691225
1894,0.2763229425628715,0.8863070350290684,-1.707649896787845,-0.22044856295362378,-8.791641794344114,-9.557110276493644,1.1626299775919398,-1.9280984597414688,2.1297862275183643
1895,-0.14753237860374824,0.9020867823000783,-3.0870285991742037,-1.029516903002164,-8.579567928386115,-11.941559026866152,0.7545544036963301,-4.1165455021763675,2.11002131973677
1896,-0.5547349370153555,0.8160432056862108,-1.9595657584398605,-0.24606909922514675,-8.36963753039676,-10.313964119390912,0.2613082686708553,-2.2056348576650073,2.0871469972810086
1897,-0.8993216182516532,0.6378885004459183,-2.393667491683031,-0.2214971524327204,-8.162138528929914,-11.0387362908514,-0.26143311780573497,-2.6151646441157514,2.0615912919445156
1898,-1.1423970943482127,0.38773193390162347,0.19408620840657956,-0.35160380479473086,-7.957319272007857,-8.869502028842598,-0.7546651604465893,-0.1575175963881513,2.033831760611089
1899,-1.256524145941345,0.09381000568612588,-0.39639896353267073,-0.6555199888067789,-7.755372176807696,-9.970005269402364,-1.162714140255219,-1.0519189523394497,2.0061395422762285
1900,-1.228820646869348,-0.2107007558656343,-0.7854382331172026,-0.7236783049451763,-7.5560913635526115,-10.504729304349972,-1.4395214027349823,-1.5091165380623788,1.9817480872552284
1901,-1.0624136381377012,-0.4914286045887717,-1.9135019067002041,-0.9771689860089937,-7.35902255935665,-11.80353569479232,-1.5538422427264729,-2.8906708927091977,1.9620806387917211
1902,-0.7760863622007406,-0.7166862979419908,-3.61452646079968,-0.48034729083390726,-7.163675235794267,-12.751321647570585,-1.4927726601427314,-4.094873751633587,1.947504247433769
1903,-0.4021580986741903,-0.8610478042863127,-0.008527980042861094,-0.030502404320365255,-6.9695217098698965,-8.271757997193626,-1.263205902960503,-0.03903038436322635,1.9394720429566359
1904,0.017163884323360884,-0.908218274051359,-1.9521221070356016,-0.25379370838750576,-6.77578082720294,-9.872751032354046,-0.8910543897279981,-2.2059158154231073,1.940366372148059
