time,one,trend,total,rate_slr
1865,-5.905543792234806,-5.936275636220537,-11.841819428455343,
1866,-5.905543792234806,-5.751502734326466,-11.657046526561272,1.84555366569922
1867,-5.905543792234806,-5.567164903080693,-11.4727086953155,1.8404736364283103
1868,-5.905543792234806,-5.383408007040804,-11.28895179927561,1.835936203042814
1869,-5.905543792234806,-5.19997766247213,-11.105521454706937,1.8344229140283463
1870,-5.905543792234806,-5.016523424235134,-10.92206721646994,1.83540674590708
1871,-5.905543792234806,-4.832896313290714,-10.73844010552552,1.8372240643767634
1872,-5.905543792234806,-4.649078611359782,-10.554622403594589,1.8370874338551602
1873,-5.905543792234806,-4.465478826519682,-10.371022618754488,1.8317858253045394
1874,-5.905543792234806,-4.282721446298874,-10.188265238533681,1.8200883180754612
1875,-5.905543792234806,-4.10146116290459,-10.007004955139397,1.8016810901725422
1876,-5.905543792234806,-3.9223852282643654,-9.827929020499171,1.7752966382673052
1877,-5.905543792234806,-3.746401835251129,-9.651945627485935,1.7391475901589337
1878,-5.905543792234806,-3.5745557102325787,-9.480099502467386,1.6960261214177508
1879,-5.905543792234806,-3.4071966109675786,-9.312740403202385,1.6527455831484472
1880,-5.905543792234806,-3.2440065936028892,-9.149550385837696,1.6133840855529336
1881,-5.905543792234806,-3.084519793856992,-8.990063586091798,1.5793917999341378
1882,-5.905543792234806,-2.9281282336160617,-8.833672025850868,1.5514630887695335
1883,-5.905543792234806,-2.7742271761030852,-8.679770968337891,1.5295019493087736
1884,-5.905543792234806,-2.622227843754307,-8.527771635989113,1.5135987254055894
1885,-5.905543792234806,-2.4715074310219673,-8.377051223256775,1.504237425331798
1886,-5.905543792234806,-2.3213803586879473,-8.226924150922754,1.501345861718324
1887,-5.905543792234806,-2.1712382586783026,-8.07678205091311,1.5036023809626986
1888,-5.905543792234806,-2.0206598824954076,-7.926203674730214,1.5090533752009616
1889,-5.905543792234806,-1.8694275836381102,-7.774971375872917,1.5141816759096027
1890,-5.905543792234806,-1.717823547313487,-7.6233673395482935,1.5159676492248875
1891,-5.905543792234806,-1.5662340537931327,-7.471777846027939,1.5135860970515536
1892,-5.905543792234806,-1.4151063279031764,-7.320650120137983,1.507024510446544
1893,-5.905543792234806,-1.264829151703824,-7.170372943938631,1.4981978532776252
1894,-5.905543792234806,-1.1154667572476513,-7.021010549482458,1.4894836946958234
1895,-5.905543792234806,-0.9669324127646592,-6.872476204999465,1.483347668051731
1896,-5.905543792234806,-0.8187972236373051,-6.7243410158721115,1.4819931578237866
1897,-5.905543792234806,-0.6705337811999019,-6.576077573434708,1.4850432498923283
1898,-5.905543792234806,-0.5217885736588395,-6.427332365893646,1.4914387627470083
1899,-5.905543792234806,-0.37224602865050027,-6.277789820885307,1.5029180740154535
1900,-5.905543792234806,-0.22120495885574876,-6.126748751090555,1.522312401620489
1901,-5.905543792234806,-0.06778354832640247,-5.973327340561209,1.5482868901801283
1902,-5.905543792234806,0.08845241918027691,-5.817091373054529,1.5768698903672853
1903,-5.905543792234806,0.24759042974705459,-5.657953362487752,1.6032061288533697
1904,-5.905543792234806,0.40909364495095085,-5.496450147283856,1.6215571640837645
1905,-5.905543792234806,0.5719018625638075,-5.333641929670999,1.6298639449385586
1906,-5.905543792234806,0.7350664339386626,-5.170477358296144,1.6293539787711397
1907,-5.905543792234806,0.8977726583180354,-5.007771133916771,1.6204358080830383
1908,-5.905543792234806,1.0591535955552702,-4.846390196679536,1.6024671640925192
1909,-5.905543792234806,1.2182660911365393,-4.687277701098267,1.5750531923285527
1910,-5.905543792234806,1.3741642340209808,-4.531379558213826,1.538204948566595
1911,-5.905543792234806,1.5259070808498583,-4.379636711384948,1.4927591546899754
1912,-5.905543792234806,1.6727160649589758,-4.232827727275831,1.4411470145166405
1913,-5.905543792234806,1.8141364837531864,-4.09140730848162,1.3859015735050506
1914,-5.905543792234806,1.949896379659986,-3.9556474125748204,1.3297396291944308
