time,nod1,nod2,pressure_north,pressure_south,trend,total,total_nodal,total_wind,rate_slr
1890,1.2034466482489448,0.0,-0.4415241489855248,-0.5867103599942755,-5.847826629923013,-5.672614490653868,1.2034466482489448,-1.0282345089798002,
1891,1.135526942380746,0.31260654996301557,-1.1562676102688005,-0.2283255894098309,-5.738365577659924,-5.674825284994794,1.4481334923437614,-1.3845931996786314,1.0928026691060921
1892,0.9394342825321869,0.5899275391463257,-1.2104032350606022,-1.1045562195129788,-5.629266096101794,-6.414863728996863,1.5293618216785125,-2.314959454573581,1.0874102046693235
1893,0.6373026881867334,0.8006602753303549,-0.3037591981592844,-0.9658486134043062,-5.52088353672606,-5.352528384772562,1.4379629635170883,-1.2696078115635907,1.0790411370210418
1894,0.26323535627678196,0.9210182358981748,-1.3063662907054292,-0.23443392793693005,-5.413457868697586,-5.770004495164988,1.1842535921749566,-1.5408002186423593,1.0686439207995413
1895,-0.14054474769239436,0.9374159789150605,-2.361602403391125,-1.0948299603977678,-5.307154752566151,-7.966715885132378,0.7968712312226661,-3.4564323637888927,1.0578144918016763
1896,-0.5284608199016634,0.8480026040785688,-1.4990840078295564,-0.2616798435986587,-5.201894970337251,-6.643117037588561,0.3195417841769054,-1.7607638514282151,1.0482073898550226
1897,-0.8567267140115314,0.662870673661259,-1.831175423120482,-0.2355490404470065,-5.097513274595147,-7.358093778512908,-0.19385604035027248,-2.0667244635674886,1.0397676263741973
1898,-1.0882893159401337,0.40291701143018543,0.14847755422825082,-0.37390972266368944,-4.993941445062411,-5.904745918007798,-0.6853723045099482,-0.22543216843543862,1.0319401137688988
1899,-1.1970109255477086,0.09748396721662002,-0.30324848471793475,-0.6971064984872447,-4.891125251841367,-6.991007193377635,-1.0995269583310885,-1.0003549832051795,1.0265462969608885
1900,-1.1706195576044864,-0.21895260987453843,-0.6008667427120882,-0.7695888116391477,-4.788632185670234,-7.548659907500495,-1.389572167479025,-1.3704555543512358,1.0265771669932544
1901,-1.0120941459099364,-0.5106748435697654,-1.4638447803708523,-1.039161065869265,-4.685809818442716,-8.711584654162536,-1.5227689894797019,-2.503005846240117,1.0321006342264338
1902,-0.73932829522102,-0.7447544967317982,-2.7651426291381895,-0.5108207586172641,-4.582212058824947,-9.34225823853322,-1.4840827919528181,-3.2759633877554535,1.0412000069665028
1903,-0.3831105350943018,-0.8947697562862817,-0.006523975246189744,-0.03243749181457781,-4.477569817049416,-5.794411575490766,-1.2778802913805836,-0.03896146706076755,1.0512343543970148
1904,0.016350944887340894,-0.9437876035248138,-1.4933895529576433,-0.2698945057558822,-4.371965187945544,-7.062685905296543,-0.9274366586374729,-1.7632840587135254,1.0588358773383044
1905,0.4139668069198529,-0.8862751338162212,-0.5019926204508803,0.11649197896932978,-4.265802641581755,-5.123611609959673,-0.47230832689636837,-0.38550064148155055,1.06291437543109
1906,0.7648560378946369,-0.7287240849239434,0.8204487647917534,-0.04953588363508869,-4.159382312859326,-3.3523374787319677,0.03613195297069349,0.7709128811566648,1.0646595088654864
1907,1.0294119076009227,-0.4889180801030033,-2.2818800351837822,-0.09649451044634408,-4.052870739808657,-5.890751457940865,0.5404938274979194,-2.3783745456301264,1.0643788330074644
1908,1.1777725906186944,-0.19392529613808102,-2.0913839215298706,0.1597335640804506,-3.946506546257833,-4.89430960922664,0.9838472944806134,-1.93165035744942,1.0611436459967427
