time,one,trend,total,rate_slr
1890,-3.8525574698119485,-3.8412969778498627,-7.693854447661812,
1891,-3.8525574698119485,-3.618845910415455,-7.471403380227404,2.2234777292993835
1892,-3.8525574698119485,-3.396601431989986,-7.249158901801934,2.220382432378001
1893,-3.8525574698119485,-3.1747694239398547,-7.027326893751804,2.216009694934782
1894,-3.8525574698119485,-2.9533994930030296,-6.805956962814978,2.211481050833455
1895,-3.8525574698119485,-2.7324732137731638,-6.585030683585112,2.2077376306646967
1896,-3.8525574698119485,-2.5118519668700903,-6.364409436682038,2.2055605963779645
1897,-3.8525574698119485,-2.291361094497571,-6.143918564309519,2.2046333933101336
1898,-3.8525574698119485,-2.0709252882080635,-5.923482758020012,2.2043454256788153
1899,-3.8525574698119485,-1.8504920093618078,-5.703049479173757,2.206052203816559
1900,-3.8525574698119485,-1.6297148474447518,-5.4822723172567,2.211950963660654
1901,-3.8525574698119485,-1.408101816629677,-5.2606592864416255,2.2200969828846793
1902,-3.8525574698119485,-1.185695450867816,-5.038252920679764,2.2257408238693603
1903,-3.8525574698119485,-0.962953651855805,-4.815511121667753,2.2262117363281724
1904,-3.8525574698119485,-0.7404531036021814,-4.59301057341413,2.22041703770961
1905,-3.8525574698119485,-0.518870244313883,-4.371427714125831,2.2081634148433986
1906,-3.8525574698119485,-0.29882042063350167,-4.15137789044545,2.190121956017134
1907,-3.8525574698119485,-0.08084585311045618,-3.9334033229224046,2.1661795949457616
1908,-3.8525574698119485,0.1344154983556507,-3.7181419714562978,2.1351388710398638
1909,-3.8525574698119485,0.34618192109751655,-3.506375548714432,2.095613895674754
1910,-3.8525574698119485,0.5535382774906015,-3.2990191923213468,2.0458590759894726
1911,-3.8525574698119485,0.755353736295411,-3.0972037335165377,1.9848786538776904
1912,-3.8525574698119485,0.9505140082661395,-2.902043461545809,1.9131787244489573
1913,-3.8525574698119485,1.1379894811852025,-2.714567988626746,1.8321169374743889
1914,-3.8525574698119485,1.3169373957610173,-2.5356200740509314,1.7450402168146462
1915,-3.8525574698119485,1.4869975245481317,-2.3655599452638167,1.6549502136585004
1916,-3.8525574698119485,1.6479274384927174,-2.204630031319231,1.5630546087577835
1917,-3.8525574698119485,1.7996084462996884,-2.05294902351226,1.4702467427497268
1918,-3.8525574698119485,1.9419767870426627,-1.9105806827692857,1.3774198756019995
1919,-3.8525574698119485,2.0750924214200883,-1.7774650483918601,1.2852191653144096
1920,-3.8525574698119485,2.1990206201055447,-1.6535368497064038,1.1928679779710882
1921,-3.8525574698119485,2.313666017014306,-1.5388914527976425,1.099247547878619
1922,-3.8525574698119485,2.4188701296812685,-1.43368734013068,1.003781370667407
1923,-3.8525574698119485,2.5144222911477874,-1.338135178664161,0.906172501684086
1924,-3.8525574698119485,2.6001046300180857,-1.2524528397938628,0.8071075581144793
1925,-3.8525574698119485,2.6758438027706832,-1.1767136670412652,0.7078972599438904
1926,-3.8525574698119485,2.7416840820068638,-1.1108733878050847,0.6115359997673919
1927,-3.8525574698119485,2.7981510027241616,-1.0544064670877868,0.5221355498974867
1928,-3.8525574698119485,2.846111191986361,-1.0064462778255874,0.44291891947318307
1929,-3.8525574698119485,2.8867347866187982,-0.9658226831931502,0.37662264740899065
1930,-3.8525574698119485,2.921435721468159,-0.9311217483437892,0.3241394649811191
1931,-3.8525574698119485,2.951562679615022,-0.9009947901969264,0.28477227782015335
1932,-3.8525574698119485,2.97839017703219,-0.8741672927797586,0.25814754142681196
1933,-3.8525574698119485,3.0031921879003844,-0.849365281911564,0.24426336658880166
1934,-3.8525574698119485,3.02724285034995,-0.8253146194619982,0.24211255001769683
1935,-3.8525574698119485,3.051614697903924,-0.8009427719080247,0.2491280701071652
1936,-3.8525574698119485,3.0770684643713833,-0.7754890054405652,0.26421846499297574
1937,-3.8525574698119485,3.104458390902519,-0.7480990789094295,0.28900781097469963
1938,-3.8525574698119485,3.134870026566323,-0.7176874432456253,0.32474124870550014
1939,-3.8525574698119485,3.169406640643619,-0.6831508291683295,0.3714048266662284
1940,-3.8525574698119485,3.209150991899569,-0.6434064779123796,0.4279886327283555
1941,-3.8525574698119485,3.25500436718929,-0.5975531026226584,0.4908964096684132
1942,-3.8525574698119485,3.3073302738332515,-0.545227195978697,0.5563753988581643
1943,-3.8525574698119485,3.366279446960923,-0.4862780228510255,0.6212279580791513
1944,-3.8525574698119485,3.4315758654490818,-0.4209816043628667,0.6832043963156331
1945,-3.8525574698119485,3.5029203262240496,-0.3496371435878989,0.7440901628493557
1946,-3.8525574698119485,3.580393898018953,-0.27216357179299555,0.8060567383128725
1947,-3.8525574698119485,3.664131673886624,-0.18842579592532438,0.8674951631709704
1948,-3.8525574698119485,3.753892930653147,-0.09866453915880147,0.925818606890989
1949,-3.8525574698119485,3.849295395264822,-0.00326207454712657,0.9803846695946583
1950,-3.8525574698119485,3.9499698645720787,0.0974123947601302,1.03144344635955
1951,-3.8525574698119485,4.055584084536732,0.20302661472478345,1.0807672579461136
1952,-3.8525574698119485,4.166123316161301,0.3135658463493529,1.1308876332160755
1953,-3.8525574698119485,4.281761611179947,0.42920414136799856,1.1828089974680323
1954,-3.8525574698119485,4.402685115654908,0.5501276458429594,1.2365970416079497
1955,-3.8525574698119485,4.529081019501537,0.6765235496895885,1.2916804253999459
1956,-3.8525574698119485,4.661021200734897,0.8084637309229485,1.3469389676887777
1957,-3.8525574698119485,4.7984688130392925,0.945911343227344,1.4011664486360376
1958,-3.8525574698119485,4.9412544904621045,1.088697020650156,1.4529623891055632
1959,-3.8525574698119485,5.089061290860405,1.2365038210484567,1.5005196245196117
1960,-3.8525574698119485,5.241358415366027,1.3888009455540784,1.541372464655324
1961,-3.8525574698119485,5.39733578379147,1.5447783139795215,1.575045987932171
1962,-3.8525574698119485,5.556367612952461,1.7038101431405126,1.604181427479725
1963,-3.8525574698119485,5.718172069287415,1.8656145994754665,1.629549028000019
1964,-3.8525574698119485,5.882277418552465,2.0297199487405164,1.6478588220769907
1965,-3.8525574698119485,6.047743833702813,2.1951863638908646,1.6561815526749868
1966,-3.8525574698119485,6.213513729087462,2.360956259275514,1.6531567728583374
1967,-3.8525574698119485,6.378375188274481,2.525817718462532,1.6389508541698472
1968,-3.8525574698119485,6.541303899921432,2.688746430109483,1.6180194628092526
1969,-3.8525574698119485,6.701979080836331,2.8494216110243826,1.5947950237673325
1970,-3.8525574698119485,6.860262904674898,3.0077054348629497,1.570981910907454
1971,-3.8525574698119485,7.016175463017822,3.1636179932058734,1.5475389589016508
1972,-3.8525574698119485,7.169770696455228,3.31721322664328,1.5244340333711115
1973,-3.8525574698119485,7.321062269692044,3.4685047998800957,1.5016082032322364
1974,-3.8525574698119485,7.470092337101676,3.617534867289727,1.4806304345311316
1975,-3.8525574698119485,7.6171883565982705,3.764630886786322,1.4633732886521678
1976,-3.8525574698119485,7.762766994832109,3.9102095250201607,1.4489690928448917
1977,-3.8525574698119485,7.906982175167249,4.0544247053553,1.435300866558844
1978,-3.8525574698119485,8.049827168143878,4.1972696983319295,1.4201830382255398
1979,-3.8525574698119485,8.191018782812357,4.338461313000408,1.4013851653207698
1980,-3.8525574698119485,8.330104201208032,4.4775467313960835,1.3786720991229995
1981,-3.8525574698119485,8.466753202636957,4.614195732825008,1.3532724528495788
1982,-3.8525574698119485,8.600758691777948,4.748201221965999,1.3283857837141255
1983,-3.8525574698119485,8.732430359379782,4.879872889567833,1.3091500053636462
1984,-3.8525574698119485,8.862588692850677,5.0100312230387285,1.2994322054400165
1985,-3.8525574698119485,8.992316800467785,5.139759330655837,1.3019821334111015
1986,-3.8525574698119485,9.122985119532897,5.270427649720949,1.317313664222901
1987,-3.8525574698119485,9.255779533312365,5.403222063500417,1.343008918523081
1988,-3.8525574698119485,9.391586903237513,5.539029433425565,1.3779201510612893
1989,-3.8525574698119485,9.531363563524623,5.678806093712675,1.4232599311461858
1990,-3.8525574698119485,9.67623888946675,5.823681419654802,1.4805396474440702
1991,-3.8525574698119485,9.827471493013437,5.974914023201489,1.5516725917515117
1992,-3.8525574698119485,9.986573407817053,6.1340159380051045,1.6369261497522025
1993,-3.8525574698119485,10.154856722963878,6.302299253151929,1.731915982528518
1994,-3.8525574698119485,10.332956604322757,6.480399134510808,1.8327536070131778
1995,-3.8525574698119485,10.521407444366513,6.668849974554565,1.9393024710978501
1996,-3.8525574698119485,10.720817098542327,6.868259628730378,2.0507942403887647
1997,-3.8525574698119485,10.931566292444266,7.079008822632318,2.1604668223300116
1998,-3.8525574698119485,11.152910463008329,7.30035299319638,2.261239941240616
1999,-3.8525574698119485,11.38381428069239,7.531256810880441,2.3526479951022417
2000,-3.8525574698119485,11.623440062028777,7.770882592216829,2.4362465230792907
2001,-3.8525574698119485,11.871063585308248,8.018506115496299,2.514168527892071
2002,-3.8525574698119485,12.126273767607191,8.273716297795243,2.5886443912582635
2003,-3.8525574698119485,12.3887924635599,8.536234993747952,2.6598570505815733
2004,-3.8525574698119485,12.658245177723506,8.805687707911558,2.727041319497232
2005,-3.8525574698119485,12.934200727459347,9.081643257647398,2.7898069304743167
2006,-3.8525574698119485,13.21620656381837,9.363649094006421,2.848044112068955
2007,-3.8525574698119485,13.503809549873138,9.65125208006119,2.9030021252537086
2008,-3.8525574698119485,13.796806988869111,9.944249519057163,2.9570111122654374
2009,-3.8525574698119485,14.095211772326225,10.242654302514277,3.011017572457799
2010,-3.8525574698119485,14.399010503360671,10.546453033548723,3.0646903868538455
2011,-3.8525574698119485,14.708149849696994,10.855592379885046,3.1169591476106007
2012,-3.8525574698119485,15.022402332882791,11.169844863070843,3.1658117030890853
2013,-3.8525574698119485,15.341312190314811,11.488754720502863,3.2092122298060666
2014,-3.8525574698119485,15.664244778844004,11.811687309032056,3.244947573265007
2015,-3.8525574698119485,15.990301704967813,12.137744235155864,3.272145191115232
2016,-3.8525574698119485,16.31867381706705,12.466116347255102,3.292389164602554
2017,-3.8525574698119485,16.648779537888323,12.796222068076375,3.307186266922635
2018,-3.8525574698119485,16.980111070451578,13.12755360063963,3.31748956365562
2019,-3.8525574698119485,17.312277450619447,13.459719980807499,3.3240193842992305
2020,-3.8525574698119485,17.644914947311424,13.792357477499475,3.3270573775285506
2021,-3.8525574698119485,17.977688926125158,14.125131456313209,
