time,22,Average
1864,-25.75316455696202,-25.75316455696202
1865,-24.65316455696202,-24.65316455696202
1866,-19.453164556962022,-19.453164556962022
1867,-20.15316455696202,-20.15316455696202
1868,-19.25316455696202,-19.25316455696202
1869,-15.55316455696202,-15.55316455696202
1870,-20.65316455696202,-20.65316455696202
1871,-17.95316455696202,-17.95316455696202
1872,-12.55316455696202,-12.55316455696202
1873,-14.65316455696202,-14.65316455696202
1874,-17.65316455696202,-17.65316455696202
1875,-20.65316455696202,-20.65316455696202
1876,-17.65316455696202,-17.65316455696202
1877,-10.95316455696202,-10.95316455696202
1878,-12.55316455696202,-12.55316455696202
1879,-15.353164556962021,-15.353164556962021
1880,-10.353164556962021,-10.353164556962021
1881,-15.55316455696202,-15.55316455696202
1882,-12.25316455696202,-12.25316455696202
1883,-12.65316455696202,-12.65316455696202
1884,-12.45316455696202,-12.45316455696202
1885,-10.15316455696202,-10.15316455696202
1886,-11.45316455696202,-11.45316455696202
1887,-14.05316455696202,-14.05316455696202
1888,-17.65316455696202,-17.65316455696202
1889,-14.25316455696202,-14.25316455696202
1890,-14.45316455696202,-14.45316455696202
1891,-13.95316455696202,-13.95316455696202
1892,-10.853164556962021,-10.853164556962021
1893,-11.65316455696202,-11.65316455696202
1894,-12.75316455696202,-12.75316455696202
1895,-12.65316455696202,-12.65316455696202
1896,-16.05316455696202,-16.05316455696202
1897,-15.25316455696202,-15.25316455696202
1898,-11.15316455696202,-11.15316455696202
1899,-8.35316455696202,-8.35316455696202
1900,-11.65316455696202,-11.65316455696202
1901,-12.15316455696202,-12.15316455696202
1902,-12.25316455696202,-12.25316455696202
1903,-3.2531645569620196,-3.2531645569620196
1904,-7.55316455696202,-7.55316455696202
1905,-9.25316455696202,-9.25316455696202
1906,-7.15316455696202,-7.15316455696202
1907,-9.75316455696202,-9.75316455696202
1908,-10.05316455696202,-10.05316455696202
1909,-4.45316455696202,-4.45316455696202
1910,-4.95316455696202,-4.95316455696202
1911,-7.15316455696202,-7.15316455696202
1912,-1.0531645569620196,-1.0531645569620196
1913,-3.15316455696202,-3.15316455696202
1914,-1.3531645569620196,-1.3531645569620196
1915,-4.25316455696202,-4.25316455696202
1916,-0.05316455696201956,-0.05316455696201956
1917,-8.95316455696202,-8.95316455696202
1918,-7.85316455696202,-7.85316455696202
1919,-8.15316455696202,-8.15316455696202
1920,-5.35316455696202,-5.35316455696202
1921,-5.75316455696202,-5.75316455696202
1922,-2.1531645569620195,-2.1531645569620195
1923,-2.1531645569620195,-2.1531645569620195
1924,-5.85316455696202,-5.85316455696202
1925,0.6468354430379805,0.6468354430379805
1926,-2.1531645569620195,-2.1531645569620195
1927,-1.9531645569620197,-1.9531645569620197
1928,-1.1531645569620197,-1.1531645569620197
1929,-6.65316455696202,-6.65316455696202
1930,0.6468354430379805,0.6468354430379805
1931,0.04683544303798044,0.04683544303798044
1932,-1.6531645569620197,-1.6531645569620197
1933,-7.25316455696202,-7.25316455696202
1934,-6.45316455696202,-6.45316455696202
1935,-0.45316455696201957,-0.45316455696201957
1936,2.4468354430379806,2.4468354430379806
1937,1.8468354430379805,1.8468354430379805
1938,-0.7531645569620196,-0.7531645569620196
1939,0.04683544303798044,0.04683544303798044
1940,0.44683544303798045,0.44683544303798045
1941,-3.15316455696202,-3.15316455696202
1942,-3.15316455696202,-3.15316455696202
1943,1.4468354430379806,1.4468354430379806
1944,2.9468354430379806,2.9468354430379806
1945,1.6468354430379806,1.6468354430379806
1946,2.1468354430379804,2.1468354430379804
1947,-2.7531645569620196,-2.7531645569620196
1948,3.146835443037981,3.146835443037981
1949,1.9468354430379806,1.9468354430379806
1950,2.8468354430379805,2.8468354430379805
1951,1.7468354430379804,1.7468354430379804
1952,2.8468354430379805,2.8468354430379805
1953,-0.05316455696201956,-0.05316455696201956
1954,4.846835443037981,4.846835443037981
1955,5.24683544303798,5.24683544303798
1956,-0.9531645569620196,-0.9531645569620196
1957,3.5468354430379807,3.5468354430379807
1958,3.5468354430379807,3.5468354430379807
1959,-5.75316455696202,-5.75316455696202
1960,-0.6531645569620196,-0.6531645569620196
1961,7.74683544303798,7.74683544303798
1962,1.8468354430379805,1.8468354430379805
1963,-4.65316455696202,-4.65316455696202
1964,-3.3531645569620196,-3.3531645569620196
1965,7.046835443037981,7.046835443037981
1966,10.046835443037981,10.046835443037981
1967,10.446835443037982,10.446835443037982
1968,5.24683544303798,5.24683544303798
1969,3.646835443037981,3.646835443037981
1970,5.546835443037981,5.546835443037981
1971,2.0468354430379807,2.0468354430379807
1972,-0.6531645569620196,-0.6531645569620196
1973,7.74683544303798,7.74683544303798
1974,8.14683544303798,8.14683544303798
1975,5.546835443037981,5.546835443037981
1976,2.9468354430379806,2.9468354430379806
1977,7.046835443037981,7.046835443037981
1978,6.046835443037981,6.046835443037981
1979,8.74683544303798,8.74683544303798
1980,9.74683544303798,9.74683544303798
1981,14.546835443037981,14.546835443037981
1982,12.64683544303798,12.64683544303798
1983,14.546835443037981,14.546835443037981
1984,9.846835443037982,9.846835443037982
1985,9.34683544303798,9.34683544303798
1986,10.14683544303798,10.14683544303798
1987,10.14683544303798,10.14683544303798
1988,16.04683544303798,16.04683544303798
1989,12.64683544303798,12.64683544303798
1990,14.64683544303798,14.64683544303798
1991,5.946835443037981,5.946835443037981
1992,9.846835443037982,9.846835443037982
1993,10.446835443037982,10.446835443037982
1994,13.74683544303798,13.74683544303798
1995,14.74683544303798,14.74683544303798
1996,5.146835443037981,5.146835443037981
1997,9.74683544303798,9.74683544303798
1998,16.346835443037982,16.346835443037982
1999,16.44683544303798,16.44683544303798
2000,15.64683544303798,15.64683544303798
2001,17.44683544303798,17.44683544303798
2002,15.946835443037982,15.946835443037982
2003,13.74683544303798,13.74683544303798
2004,16.04683544303798,16.04683544303798
2005,14.846835443037982,14.846835443037982
2006,14.546835443037981,14.546835443037981
2007,19.446835443037983,19.446835443037983
2008,16.54683544303798,16.54683544303798
2009,14.446835443037982,14.446835443037982
2010,15.346835443037982,15.346835443037982
2011,15.946835443037982,15.946835443037982
2012,15.946835443037982,15.946835443037982
2013,14.346835443037982,14.346835443037982
2014,17.44683544303798,17.44683544303798
2015,18.24683544303798,18.24683544303798
2016,18.44683544303798,18.44683544303798
2017,20.646835443037983,20.646835443037983
2018,14.846835443037982,14.846835443037982
2019,21.146835443037983,21.146835443037983
2020,20.946835443037983,20.946835443037983
2021,20.146835443037983,20.146835443037983
