time,nod1,nod2,u2_mean,trend,total,total_nodal,total_wind,rate_slr
1890,1.096733806101684,0.0,0.6164085393296002,-16.04463171602679,-14.331489370595504,1.096733806101684,0.6164085393296002,
1891,1.0348367227249329,0.12453344887959582,2.1545301881846974,-15.751117814839722,-12.437217455050495,1.1593701716045286,2.1545301881846974,2.9348668470627626
1892,0.8561321249787556,0.23501014629295655,0.36737041397928766,-15.457658346614236,-13.999145661363237,1.091142271271712,0.36737041397928766,2.933989745310539
1893,0.5807913494718429,0.3189600009327137,2.1475254368825984,-15.164319865777614,-12.11704307849046,0.8997513504045566,2.1475254368825984,2.93334849852374
1894,0.23989357119406565,0.3669071470542467,1.1764588744870115,-14.870988646909488,-13.087729054174165,0.6068007182483124,1.1764588744870115,2.9341722446933183
1895,-0.12808226794977548,0.3734395357453208,1.5240116855126857,-14.57748541683895,-12.80811646353072,0.24535726779554531,1.5240116855126857,2.937062631928047
1896,-0.48160078157987096,0.33781982161690677,2.863605357232456,-14.283576120523879,-11.563751723254388,-0.1437809599629642,2.863605357232456,2.942129495349315
1897,-0.7807584583944848,0.26406859089147067,2.2964538981560927,-13.989059517769087,-12.209295487116009,-0.516689867503014,2.2964538981560927,2.946922745700693
1898,-0.9917877833200965,0.16051053649258762,5.454450233581592,-13.69419157138374,-9.071018584629657,-0.8312772468275089,5.454450233581592,2.94799962361159
1899,-1.0908687561940609,0.03883480576266693,3.4553243370996842,-13.39945959304677,-10.996169206378479,-1.052033950431394,3.4553243370996842,2.9440029176632976
1900,-1.0668175816324674,-0.08722441564993078,3.1008518639869513,-13.10539098785108,-11.158581121146527,-1.1540419972823983,3.1008518639869513,2.9346140517933694
1901,-0.9223490433847831,-0.2034381542335406,1.7778291816500325,-12.812536782688095,-12.160494798656387,-1.1257871976183238,1.7778291816500325,2.919723315785623
1902,-0.6737700722805015,-0.2966887483885778,2.08229895049506,-12.521446324693956,-11.409606194867976,-0.9704588206690792,2.08229895049506,2.8993866167265114
1903,-0.34913909638037405,-0.35645050852795374,5.540011110274419,-12.232659459342793,-7.398237953976702,-0.7055896049083278,5.540011110274419,2.8744713217536333
1904,0.014901062748186499,-0.375977807536851,2.106474334431144,-11.94655206034323,-10.20115447070075,-0.3610767447886645,2.106474334431144,2.8465919450318466
1905,0.37725925982142455,-0.3530664955146247,3.3034841398898958,-11.663341070336424,-8.335664166139729,0.02419276430679984,3.3034841398898958,2.817311863186882
1906,0.6970342015415344,-0.2903026938749135,3.962417185102344,-11.383089687705853,-7.013940994936888,0.4067315076666209,3.962417185102344,2.788233515347285
1907,0.9381311926974698,-0.19477088609314483,3.5577879815588034,-11.105694367266967,-6.804546079103838,0.743360306604325,3.5577879815588034,2.7592496949777257
1908,1.0733363360236639,-0.07725425444837736,2.4939502168612897,-10.831239748710308,-7.341207450273732,0.9960820815752864,2.4939502168612897,2.728010752299319
1909,1.0873883092505432,0.04898247500352705,3.118921691005127,-10.560092216807103,-6.304799741547906,1.1363707842540702,3.118921691005127,2.6929471036732355
1910,0.9787009915644822,0.169690292476198,3.2843166542693427,-10.292650327975661,-5.859942389665638,1.1483912840406802,3.2843166542693427,2.6538049438242606
1911,0.7595424974840297,0.27124426582882966,3.1132660790553968,-10.02933122804225,-5.8852783856739945,1.0307867633128593,3.1132660790553968,2.610619034517203
1912,0.454650409648385,0.34218145898545405,4.986773785871863,-9.77052652107222,-3.9869208665665186,0.796831868633839,4.986773785871863,2.5638190126872917
1913,0.09843951654437719,0.37449481438132826,3.245055825810994,-9.516567425504793,-5.798577268768093,0.47293433092570547,3.245055825810994,2.5145244408135525
1914,-0.2688827673624212,0.3645369520560758,3.1693329162453145,-9.26762163290951,-6.002634531970541,0.09565418469365455,3.1693329162453145,2.4656894205523816
1915,-0.605854825941232,0.31343186879209073,6.545055936990614,-9.023429541394316,-2.770796561552844,-0.29242295714914124,6.545055936990614,2.4200608748465857
1916,-0.8744408341095318,0.2269480666309215,7.929326856456746,-8.783609457940193,-1.5017753689620568,-0.6474927674786103,7.929326856456746,2.379105459243318
1917,-1.0443240633249307,0.11484743142550141,4.529244516869099,-8.547608449545653,-4.947840564575983,-0.9294766318994292,4.529244516869099,2.34345647331752
1918,-1.0963288916734244,-0.01021664303746787,4.028523467696984,-8.314918163276689,-5.392940230290597,-1.1065455347108923,4.028523467696984,2.3110939949242315
1919,-1.024585258109439,-0.1341275107653077,2.6021430472326434,-8.085389650560806,-6.641959372202909,-1.1587127688747467,2.6021430472326434,2.2795784790702855
1920,-0.8371912474075217,-0.24289869433137942,2.13055249563106,-7.8590024674626315,-6.808539913570472,-1.0800899417389012,2.13055249563106,2.2474368109277876
1921,-0.5552990163448017,-0.3242526128300527,4.551055023438939,-7.635902288375249,-3.9643988941111648,-0.8795516291748544,4.551055023438939,2.2136494742176183
1922,-0.21072723747841676,-0.3690064176095904,1.9750686097550527,-7.416272572619108,-6.020937617952063,-0.5797336550880072,1.9750686097550527,2.178742841515149
1923,0.1576304433368021,-0.372108509147019,5.61539636790503,-7.200153720072219,-1.799235417977406,-0.2144780658102169,5.61539636790503,2.1437622186142624
1924,0.5081955392245775,-0.3332087379029219,1.9680096826675377,-6.987520128896255,-4.844523644907062,0.17498680132165562,1.9680096826675377,2.10920404398113
1925,0.8013979068220913,-0.25669792755873744,5.254447763136769,-6.778312911275993,-0.9791651688758707,0.5446999792633539,5.254447763136769,2.0753670287672765
1926,1.0041422384211753,-0.15121225943895678,2.601932217642607,-6.5724467231428,-3.1175845265179745,0.8529299789822186,2.601932217642607,2.0429081630735446
1927,1.0935437050371952,-0.02865846087948656,3.9858917615888494,-6.369731278661284,-1.3189542729147261,1.0648852441577086,3.9858917615888494,2.0126760060216276
1928,1.0595110885416508,0.09713017029412872,4.004050851135065,-6.169911521938475,-1.0092194119676305,1.1566412588357795,4.004050851135065,1.9845189492623216
1929,0.9058858310220104,0.21195520352693925,2.5093007440425814,-5.97282748880882,-2.345685710217289,1.1178410345489496,2.5093007440425814,1.957547499569423
1930,0.6500084308208326,0.3028557277643071,3.1715653295656185,-5.77840202202459,-1.6539725338738318,0.9528641585851396,3.1715653295656185,1.930999651758789
1931,0.3207611284350637,0.35957131828619837,3.665951676022736,-5.586627558457062,-1.2403434357130632,0.6803324467212621,3.665951676022736,1.9041956315725983
1932,-0.04469218529148464,0.37570018531324456,3.8562220578368738,-5.39756289571007,-1.2103328378514364,0.3310080000217599,3.8562220578368738,1.877188497272182
1933,-0.4051008548137843,0.3494217780033152,-0.1177281780278457,-5.2111898590026255,-5.3845971138409405,-0.055679076810469075,-0.1177281780278457,1.850840932177733
1934,-0.7197836403578566,0.2837022796895434,4.489900994986505,-5.027394709274524,-0.9735750749563321,-0.43608136066831316,4.489900994986505,1.824153572124847
1935,-0.9532206254121814,0.18595979902139967,5.2328867279439955,-4.846359144577656,-0.38073324302444256,-0.7672608263907817,5.2328867279439955,1.793318218137685
1936,-1.0790625382633472,0.06722704866208212,3.7248827197509007,-4.668731065646987,-1.955683835497351,-1.0118354896012651,3.7248827197509007,1.7567508082901817
1937,-1.0831049341706132,-0.059093975557418306,1.9805108417568018,-4.49500898291962,-3.656697050890849,-1.1421989097280314,1.9805108417568018,1.7170219964011757
1938,-0.9648915264486927,-0.1787447490528293,6.344267801731895,-4.325326666366752,0.8753048598636219,-1.143636275501522,6.344267801731895,1.6768114356878971
1939,-0.7377656899681426,-0.27821965384842273,1.74153913377856,-4.15964669578204,-3.434092905820046,-1.0159853438165654,1.74153913377856,1.6385317502762131
1940,-0.42736432359984095,-0.34629042937308907,3.396853130637179,-3.997620316311509,-1.3744219386472603,-0.7736547529729301,3.396853130637179,1.604260893912719
1941,-0.068724077344845,-0.37527356583670574,2.2985600301163824,-3.8387945169994966,-1.9842321300646648,-0.4439976431815507,2.2985600301163824,1.5754027974080476
1942,0.2976734203448018,-0.3618975827683915,2.014416150383497,-3.6825397568298994,-1.7323477688699922,-0.06422416242358969,2.014416150383497,1.5527244515423955
1943,0.6304709388679113,-0.30767229838405147,6.309729772484369,-3.5282496266910175,3.1042787862772108,0.3227986404838598,6.309729772484369,1.5350375542417916
1944,0.8921038556387749,-0.21871840838941162,6.662444276137953,-3.375532245981541,3.9602974774057755,0.6733854472493633,6.662444276137953,1.5208564115985523
1945,1.0530402744518217,-0.10507661056373487,4.512176825955763,-3.224078344371307,2.236062145472543,0.9479636638880868,4.512176825955763,1.509006108309745
1946,1.0951144473776857,0.020425742099996272,3.148027071414088,-3.073731024319592,1.1898362365721775,1.115540189477682,3.148027071414088,1.4985710869708724
1947,1.0135772391656626,0.14362253282196746,-1.1930487052458028,-2.9243641269771325,-2.960213060235305,1.1571997719876301,-1.1930487052458028,1.4898700613380411
1948,0.8176321873504329,0.2506078858379021,3.198460554323605,-2.775757012051984,1.4909436154599565,1.068240073188335,3.198460554323605,1.4835580507704282
1949,0.5293966501131612,0.32930579641651964,5.336995198709839,-2.627652516823047,3.5680451284164727,0.8587024465296809,5.336995198709839,1.4798383629102707
1950,0.1814053026526223,0.3708332136195535,5.2747911233564375,-2.4797893394699297,3.347240300158684,0.5522385162721758,5.2747911233564375,1.4787503368147825
1951,-0.1870622243162066,0.3705027174172084,2.5722382269063067,-2.3319024494600904,0.4237762705472181,0.18344049310100183,2.5722382269063067,1.4804055192037913
1952,-0.5344150449985636,0.3283516126702965,3.4924698197941786,-2.1837082356291715,1.1026981518367398,-0.20606343232826713,3.4924698197941786,1.484975973288012
1953,-0.8214456025865745,0.2491377183325618,3.183476847635402,-2.034907254802488,0.5762617085789015,-0.5723078842540127,3.183476847635402,1.4928770526488566
1954,-1.0157552343311556,0.14180232716828733,8.794809771250181,-1.8851328250994002,6.0357240389879125,-0.8739529071628682,8.794809771250181,1.5047108294458944
1955,-1.0954111805962221,0.01846095457274655,3.3895153611951034,-1.7339650889133091,0.5786000462583187,-1.0769502260234756,3.3895153611951034,1.5211385323194948
1956,-1.051422251869803,-0.10696420396619524,2.446284445833931,-1.5809051186355012,-0.2930071286375686,-1.1583864558359984,2.446284445833931,1.5429461490019947
1957,-0.8887537120543787,-0.2203157449793734,3.6093157780589733,-1.4253758591129102,1.074870461912311,-1.109069457033752,3.6093157780589733,1.5716333101245905
1958,-0.6257668227718858,-0.3087990783010774,3.0330201270353685,-1.266578456610583,0.8318757693518224,-0.9345659010729632,3.0330201270353685,1.6095129996020796
1959,-0.2921463102929114,-0.36242662038168594,0.7984559519603016,-1.1034732591924943,-0.95959023790679,-0.6545729306745973,0.7984559519603016,1.6573262220054807
1960,0.0744503071001371,-0.37514514586243713,1.673471582122579,-0.935113212209487,0.43766353115079193,-0.3006948387623,1.673471582122579,1.7138920269450248
1961,0.43264332310812054,-0.3455190472554765,5.553837111267863,-0.7606948538034893,4.880266533317018,0.08712427585264404,5.553837111267863,1.7785060880097854
1962,0.7420015905311131,-0.27689237958199636,5.147279276469721,-0.5794119946075299,5.032976492811308,0.4651092109491168,5.147279276469721,1.85128248052164
1963,0.9676061994833504,-0.17701139912993355,1.2682004837455108,-0.39043835769916135,1.668356926399766,0.7905948003534168,1.2682004837455108,1.9307202793919942
1964,1.0839919601205779,-0.057150202385412054,1.5239199578564597,-0.19326793872913106,2.3574937768624946,1.0268417577351658,1.5239199578564597,2.011837366940336
1965,1.0780217938008292,0.06916184108666883,4.66802494871085,0.0119291156889059,5.827137699287254,1.147183634887498,4.66802494871085,2.0906207404595047
1966,0.9503695848895023,0.18766722040667516,5.373397328921497,0.2248562093627699,6.736290343580444,1.1380368052961773,5.373397328921497,2.1658961014746962
1967,0.7154441158536861,0.2849896043198306,9.3317210963111,0.4451083359838452,10.77726315246846,1.0004337201735167,9.3317210963111,2.237391935040273
1968,0.39976267149545763,0.3501436987137765,2.7400187141201657,0.6723345963708245,4.162259680700224,0.7499063702092341,2.7400187141201657,2.3065646088943383
1969,0.03895789224811584,0.3757752150809426,1.5711866354516217,0.9064212577627129,2.892341000543393,0.41473310732905844,1.5711866354516217,2.3748524932319226
1970,-0.3262442711069217,0.35899098810295393,5.926116583743839,1.147305095017209,7.106168395757081,0.03274671699603221,5.926116583743839,2.4425400291467425
1971,-0.6546215117003094,0.30168554257861085,1.8391818526667287,1.3949292635920614,2.8811751471370917,-0.3529359691216985,1.8391818526667287,2.509430536075387
1972,-0.909108147181499,0.21032724835268002,2.0436652930156907,1.6491912022322863,2.994075596419158,-0.698780898828819,2.0436652930156907,2.574032305647904
1973,-1.0609789200504278,0.09522820107389378,5.780405883073283,1.9097357247216422,6.724390888818391,-0.9657507189765341,5.780405883073283,2.6345692603602036
1974,-1.0930913699608158,-0.030619758783122383,9.126777626286176,2.176105054304327,10.179171551846565,-1.123711128743938,9.126777626286176,2.689889186420642
1975,-1.0018207942209514,-0.15301150391997478,3.2158865783916193,2.4477135620057706,4.508767842256464,-1.1548322981409262,3.2158865783916193,2.739088273345218
1976,-0.797469387228389,-0.2581320283411988,2.158579110015867,2.7239227089733706,3.82690040341965,-1.0556014155695879,2.158579110015867,2.7819192541882276
1977,-0.5031033770986538,-0.3341158204185241,4.655800412379442,3.004097412843416,6.82267862770568,-0.8372191975171779,4.655800412379442,2.818357879175135
1978,-0.1519494180497788,-0.3723861861769391,5.637158261423105,3.2875942848083977,8.400416942004785,-0.5243356042267179,5.637158261423105,2.8477699365229503
1979,0.2163558784444381,-0.3686233462734012,4.295054018547007,3.573651400148006,7.71643795086605,-0.1522674678289631,4.295054018547007,2.8692083789366385
1980,0.5602399384040931,-0.32325203242302053,4.3669842387298115,3.8614359605957254,8.46540810530661,0.2369879059810726,4.3669842387298115,2.8827541683466062
1981,0.8408867424581545,-0.2413935456756702,6.25104683264196,4.1502022338173274,11.000742263241772,0.5994931967824844,6.25104683264196,2.8892690882422234
1982,1.026618196007353,-0.13228768797983806,3.987040542172811,4.43928977824417,9.320660828444495,0.894330508027515,3.987040542172811,2.8908492400393193
1983,1.0964698039261433,-0.008249816686814519,8.527994221749493,4.728372081825191,14.344586290814014,1.0882199872393288,8.527994221749493,2.8907867624666395
1984,1.0425570444184509,0.11671925521016195,4.097751579925189,5.017447130737498,10.274475010291301,1.1592762996286128,4.097751579925189,2.890659692996307
