time,one,trend,total,rate_slr
1890,-6.920251110649589,-6.916624919730905,-13.836876030380495,
1891,-6.920251110649589,-6.552676912034112,-13.472928022683702,3.6390910334625204
1892,-6.920251110649589,-6.188806713038401,-13.10905782368799,3.637999029880028
1893,-6.920251110649589,-5.825077106058107,-12.745328216707696,3.63720438576002
1894,-6.920251110649589,-5.461365835886397,-12.381616946535987,3.637920576757341
1895,-6.920251110649589,-5.097492990706638,-12.017744101356229,3.6404050790368325
1896,-6.920251110649589,-4.733284820079031,-11.65353593072862,3.6443142661925165
1897,-6.920251110649589,-4.368630137468135,-11.288881248117725,3.6468212794244126
1898,-6.920251110649589,-4.003920564194148,-10.924171674843738,3.644178103755198
1899,-6.920251110649589,-3.6397945167170955,-10.560045627366685,3.6353473182805685
1900,-6.920251110649589,-3.2768511005380345,-10.197102211187623,3.6205861465312728
1901,-6.920251110649589,-2.915677287410841,-9.83592839806043,3.598973986744669
1902,-6.920251110649589,-2.5570563031891007,-9.477307413838691,3.5688033047567336
1903,-6.920251110649589,-2.2019166264594943,-9.122167737109084,3.529829403005037
1904,-6.920251110649589,-1.8510904225880933,-8.771341533237683,3.483028295495197
1905,-6.920251110649589,-1.5053109673604548,-8.425562078010044,3.429643040179726
1906,-6.920251110649589,-1.165161814552148,-8.085412925201737,3.3712531298445247
1907,-6.920251110649589,-0.8310603413915498,-7.751311452041139,3.3080845197467323
1908,-6.920251110649589,-0.5035449106028016,-7.423796021252391,3.2386047862653298
1909,-6.920251110649589,-0.18333938413848389,-7.103590494788073,3.1619214808970986
1910,-6.920251110649589,0.12883938557661806,-6.7914117250729715,3.0782591896094997
1911,-6.920251110649589,0.43231245378341604,-6.487938656866174,2.988342707792142
1912,-6.920251110649589,0.7265079271350465,-6.193743183514543,2.8938400461673295
1913,-6.920251110649589,1.011080463016882,-5.909170647632708,2.7969119170910783
1914,-6.920251110649589,1.2858903105532622,-5.634360800096327,2.700998030037669
1915,-6.920251110649589,1.5512800690244157,-5.368971041625174,2.609577899126405
1916,-6.920251110649589,1.8078058903785432,-5.112445220271046,2.525999260741869
1917,-6.920251110649589,2.0564799211727895,-4.8637711894768,2.4527765841855995
1918,-6.920251110649589,2.298361207215663,-4.621889903433926,2.3890024714229563
1919,-6.920251110649589,2.534280415457381,-4.385970695192208,2.332792337534424
1920,-6.920251110649589,2.764919674722548,-4.1553314359270415,2.281004457674738
1921,-6.920251110649589,2.9904813069923284,-3.929769803657261,2.2303983540063688
1922,-6.920251110649589,3.2109993455238217,-3.7092517651257677,2.1800784316690924
