time,one,trend,total,rate_slr
1890,-5.906729734063775,-5.885608607233793,-11.792338341297569,
1891,-5.906729734063775,-5.7930904871079685,-11.699820221171745,0.923232302549839
1892,-5.906729734063775,-5.700962146723826,-11.607691880787602,0.9176637245256414
1893,-5.906729734063775,-5.60955774220284,-11.516287476266616,0.9121098500715519
1894,-5.906729734063775,-5.518540176709515,-11.425269910773292,0.9114493932729406
1895,-5.906729734063775,-5.427267863548252,-11.333997597612028,0.9201839492330555
1896,-5.906729734063775,-5.334503386862904,-11.24123312092668,0.9421945081040572
1897,-5.906729734063775,-5.238828961927441,-11.145558695991216,0.9759920832339253
1898,-5.906729734063775,-5.139304970216119,-11.046034704279894,1.0181036769345164
1899,-5.906729734063775,-5.035208226540537,-10.941937960604314,1.0686539325004718
1900,-5.906729734063775,-4.925574183716025,-10.8323039177798,1.1295599152686364
1901,-5.906729734063775,-4.80929624348681,-10.716025977550586,1.20093216029598
1902,-5.906729734063775,-4.685387751656829,-10.592117485720603,1.281600217209924
1903,-5.906729734063775,-4.552976200044825,-10.459705934108602,1.3688289112716445
1904,-5.906729734063775,-4.4116219694025,-10.318351703466275,1.4583953781623293
1905,-5.906729734063775,-4.261297124412359,-10.168026858476136,1.5470889626808493
1906,-5.906729734063775,-4.10220417686633,-10.008933910930105,1.6324779083382102
1907,-5.906729734063775,-3.9348015427447174,-9.841531276808492,1.7113742318727354
1908,-5.906729734063775,-3.759929330491783,-9.666659064555558,1.7792444634259597
1909,-5.906729734063775,-3.5789526500595255,-9.485682384123301,1.8328334048938344
1910,-5.906729734063775,-3.393362649513016,-9.300092383576791,1.8707586181698521
1911,-5.906729734063775,-3.204800926425555,-9.111530660489331,1.8931626233911691
1912,-5.906729734063775,-3.014730124834782,-8.921459858898558,1.9030721406202145
1913,-5.906729734063775,-2.824186498301512,-8.730916232365288,1.9041783634554577
1914,-5.906729734063775,-2.6338944521436907,-8.540624186207467,1.9015480606634139
1915,-5.906729734063775,-2.4438768861688294,-8.350606620232604,1.9003647554202052
1916,-5.906729734063775,-2.2538215010596496,-8.160551235123425,1.9060473082828833
1917,-5.906729734063775,-2.0626674245122527,-7.969397158576028,1.9236192183938172
1918,-5.906729734063775,-1.8690976573808862,-7.775827391444661,1.956427477925582
1919,-5.906729734063775,-1.6713819289271363,-7.578111662990912,2.0065389566432223
1920,-5.906729734063775,-1.4677898660522417,-7.374519600116017,2.070777870320648
1921,-5.906729734063775,-1.2572263548630067,-7.163956088926782,2.1444479827734875
1922,-5.906729734063775,-1.0389002694975442,-6.94563000356132,2.223048099741641
1923,-5.906729734063775,-0.8126167349146785,-6.719346468978454,2.302081233847948
1924,-5.906729734063775,-0.5784840227279546,-6.48521375679173,2.378023085823764
1925,-5.906729734063775,-0.3370121177499257,-6.243741851813701,2.4477374915750936
1926,-5.906729734063775,-0.08893652441293584,-5.995666258476711,2.5096098217201486
1927,-5.906729734063775,0.16490984659410401,-5.7418198874696715,2.5628955356088508
1928,-5.906729734063775,0.42364258270883426,-5.483087151354941,2.608388838750196
1929,-5.906729734063775,0.6865876143441433,-5.2201421197196325,2.64802803676893
1930,-5.906729734063775,0.9532481900626203,-4.953481544001155,2.682940198423978
1931,-5.906729734063775,1.223175654028939,-4.6835540800348365,2.713586138859401
1932,-5.906729734063775,1.4959654178345005,-4.410764316229275,2.740266431857834
1933,-5.906729734063775,1.7712289404005057,-4.13550079366327,2.7631261804699916
1934,-5.906729734063775,2.048590653928499,-3.8581390801352766,2.780822072428686
1935,-5.906729734063775,2.327393354886243,-3.5793363791775326,2.789763213300973
1936,-5.906729734063775,2.6065432965886934,-3.300186437475082,2.7885870959430514
1937,-5.906729734063775,2.885110774074853,-3.0216189599889223,2.780053331316099
1938,-5.906729734063775,3.1625539628519133,-2.744175771211862,2.7667859985738197
1939,-5.906729734063775,3.438467973789617,-2.4682617602741583,2.7505839098226326
1940,-5.906729734063775,3.7126707448164398,-2.1940589892473357,2.73235440849523
1941,-5.906729734063775,3.984938855488663,-1.9217908785751123,2.710775021044305
1942,-5.906729734063775,4.254825749025301,-1.6519039850384747,2.6843219497229875
1943,-5.906729734063775,4.521803245433261,-1.3849264886305148,2.651828744990805
1944,-5.906729734063775,4.785191498023462,-1.1215382360403137,2.6127829848216155
1945,-5.906729734063775,5.044359842397584,-0.8623698916661917,2.5694963174355134
1946,-5.906729734063775,5.2990907615105645,-0.607638972553211,2.524173270714112
1947,-5.906729734063775,5.549194496540406,-0.35753523752336935,2.4739565067845426
1948,-5.906729734063775,5.793882062867473,-0.11284767119630246,2.4148110603003925
1949,-5.906729734063775,6.032156708600485,0.12542697453670915,2.346514039139662
1950,-5.906729734063775,6.263184870695405,0.35645513663163,2.2704992673978763
1951,-5.906729734063775,6.48625656208006,0.5795268280162844,2.1897508839853286
1952,-5.906729734063775,6.701135047492471,0.7944053134286957,2.1080941147092025
1953,-5.906729734063775,6.9078753850219,1.001145650958125,2.027817917150565
1954,-5.906729734063775,7.106698630922584,1.1999688968588087,1.9503665119535363
1955,-5.906729734063775,7.297948687412608,1.3912189533488322,1.8767523610817927
1956,-5.906729734063775,7.482049103138943,1.5753193690751672,1.8077107052989572
1957,-5.906729734063775,7.659490828472399,1.7527610944086236,1.7433182390828073
1958,-5.906729734063775,7.830712750955504,1.9239830168917287,1.6829987634351395
1959,-5.906729734063775,7.996090581159427,2.0893608470956515,1.6258362304917462
1960,-5.906729734063775,8.155879997053853,2.249150262990078,1.570449946760899
1961,-5.906729734063775,8.310180570511607,2.4034508364478313,1.51735755692898
1962,-5.906729734063775,8.45935150843965,2.552621774375874,1.4701423671042768
1963,-5.906729734063775,8.604209043932462,2.6974793098686867,1.4308279723030015
1964,-5.906729734063775,8.74551710290025,2.838787368836474,1.3981428593787637
1965,-5.906729734063775,8.883837615808215,2.9771078817444394,1.371285405263638
1966,-5.906729734063775,9.019774183952977,3.113044449889202,1.3513448370032677
1967,-5.906729734063775,9.154106583208868,3.247376849145093,1.340392884492223
1968,-5.906729734063775,9.287852760851422,3.3811230267876464,1.3430885939545867
1969,-5.906729734063775,9.422724301999786,3.5159945679360103,1.363464309871727
1970,-5.906729734063775,9.560545622825767,3.653815888761992,1.4014456985300594
1971,-5.906729734063775,9.703013441705798,3.796283707642022,1.4556837592076555
1972,-5.906729734063775,9.851682374667298,3.944952640603523,1.5225727816561463
1973,-5.906729734063775,10.007527998037027,4.100798263973251,1.598048794228406
1974,-5.906729734063775,10.17129213351298,4.264562399449204,1.6795252308660746
1975,-5.906729734063775,10.343433044210242,4.436703310146466,1.7646544189061153
1976,-5.906729734063775,10.524223017294203,4.617493283230427,1.849518224046447
1977,-5.906729734063775,10.713336689019531,4.806606954955756,1.929440374764253
1978,-5.906729734063775,10.910111092247053,5.003381358183278,2.0011668577923647
1979,-5.906729734063775,11.113570060578004,5.206840326514229,2.062186271927784
1980,-5.906729734063775,11.32254834663261,5.415818612568835,2.112422759717427
1981,-5.906729734063775,11.53605461252149,5.629324878457714,2.15351426240872
1982,-5.906729734063775,11.753251199114354,5.846521465050579,2.1876452555785253
1983,-5.906729734063775,11.973583663637195,6.066853929573419,2.217620165188494
1984,-5.906729734063775,12.196775232152053,6.290045498088277,2.245559042780698
1985,-5.906729734063775,12.422695472193334,6.515965738129559,2.272988553368789
1986,-5.906729734063775,12.65137294282581,6.744643208762035,2.2997950152261915
1987,-5.906729734063775,12.882654475238573,6.975924741174797,2.3236529593849564
1988,-5.906729734063775,13.116103534702802,7.209373800639026,2.3435429652590933
1989,-5.906729734063775,13.351363068290391,7.444633334226616,2.360807467511865
1990,-5.906729734063775,13.588265028205175,7.6815352941413995,2.376898193053618
1991,-5.906729734063775,13.826742706901115,7.920012972837339,2.3932498637441046
1992,-5.906729734063775,14.066915000953996,8.16018526689022,2.410105267666225
1993,-5.906729734063775,14.30876376043436,8.402034026370584,2.4244353996642243
1994,-5.906729734063775,14.55180208088684,8.645072346823065,2.4336818972260588
1995,-5.906729734063775,14.795500139879572,8.888770405815796,2.438373080340197
1996,-5.906729734063775,15.03947669695488,9.132746962891105,2.4386774100559183
1997,-5.906729734063775,15.283235621890755,9.37650588782698,2.4305900393835245
1998,-5.906729734063775,15.525594704831585,9.61886497076781,2.409930166911911
1999,-5.906729734063775,15.765221655273137,9.858491921209362,2.377348893280038
2000,-5.906729734063775,16.001064483487593,10.094334749423817,2.335046710654236
2001,-5.906729734063775,16.232230997403985,10.32550126334021,2.286001416603902
2002,-5.906729734063775,16.458264766808373,10.551535032744598,2.2334994265267483
2003,-5.906729734063775,16.678930882709334,10.772201148645559,2.179772174180421
2004,-5.906729734063775,16.894219201644457,10.987489467580682,2.1266197285132904
2005,-5.906729734063775,17.104254828411992,11.197525094348217,2.0752649024931635
2006,-5.906729734063775,17.30927218214309,11.402542448079314,2.0267127839929167
2007,-5.906729734063775,17.509597385210576,11.6028676511468,1.9828647356669826
2008,-5.906729734063775,17.705845129276486,11.799115395212711,1.9464037140393486
2009,-5.906729734063775,17.898878128018445,11.99214839395467,1.918581598051734
2010,-5.906729734063775,18.089561448886833,12.182831714823058,1.8993514316477444
2011,-5.906729734063775,18.278748414347994,12.372018680284219,1.8875557537490018
2012,-5.906729734063775,18.467072599636634,12.560342865572858,1.8806455909549236
2013,-5.906729734063775,18.65487753253898,12.748147798475204,1.8762006277337662
2014,-5.906729734063775,18.842312725183387,12.935582991119611,1.871841029698711
