time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,4.403869094600434,3.287860102467426,3.4752457199010145,4.689880452170305,4.489520818387955,4.954786205433361,3.225902267998233,4.682287042226916,3.8805075359248953,3.9134152522096866,3.7734140802488625,3.3888921481910073,3.7752722285537654,3.962198293232495,3.6187417532461374,4.1457137812991895,4.441839755873422,3.771856810119001,3.973748809410642,4.213213848638979,3.8269069194383043,4.172854198186826,3.1828577818801884,4.525780385459175,4.244767772373441,4.184401062963072,3.102385739806417,3.469908916398561,3.08216523077268,3.430159475451937,4.727950634398397,3.648666672781866,3.4369753461660313,4.286658881687488,3.5175269802976006,3.8435994164461373,3.77725164265982,3.303531154956598,3.7320780557717192,3.8648732464547653,4.193138014559361,2.6678386780432106,3.5367440252142224,3.866907104168691,3.602352306158023,2.718028601543687,4.281313880536741,3.7322342422639254,3.725232138056853,4.262473030334544,3.7437376057451566,4.66059263437808,3.773329064576303,3.897086251003863,3.810569800759067,3.463546754061948,4.366559692889274,3.1011106733877902,4.6834190355029115,4.319432680529012,4.057250139753599,4.436925881985072,3.949421552040766,3.5288666879455732,4.7164902323488,4.553905175309572,3.410757512903908,3.167399820221668,3.2778463534462254,4.116022443149312,3.9609494031011394,4.03335092509197,3.4666240164537054,3.4809522735954967,3.8143667838960926,2.943990232051523,3.9503009514125242,3.911548197624821,4.468771472419162,4.329164422886231,3.5891624075572626,2.3693741891298936,3.9539396749373967,3.747915574213767,3.6362628663171304,5.016300088113139,3.705765437600421,2.7490162201920176,3.536122110955695,4.217207883308909,4.602323490825171,3.9779500400107004,3.638530164072833,5.367687655091906,3.807301266384915,3.853577655172815,3.6409208419103756,4.138879586784938,4.267888596374023,4.470143818029317
1892,4.401421392838429,3.2808926693286544,3.4732487820139735,4.686938464486294,4.4768064740038405,4.943447485564603,3.2198294225804247,4.678413290825976,3.8732065883831,3.908576903636236,3.768473134507344,3.3851041049905772,3.7671346715546417,3.9552560918629753,3.6177590563436723,4.140140895399131,4.434686205489005,3.7636945499968455,3.9693569336408707,4.206517169805473,3.8198391787181762,4.169249645492581,3.177568430378228,4.515955020085505,4.239287032371193,4.179157533606146,3.1010360482091404,3.4618975032766963,3.085451129283654,3.428077057602108,4.723199738146029,3.6429847770953483,3.4275001505057467,4.282554340934617,3.5132335540515935,3.8359126538843036,3.7775056046228883,3.299926923580676,3.726891422154832,3.856101952066826,4.191827939081749,2.6632076888701928,3.5295380002330923,3.8583825190316645,3.606305626020152,2.718233467749447,4.2799197784402665,3.7206554332261943,3.7153944534024053,4.257967833620171,3.738073369263306,4.6509865066643385,3.7669339275563596,3.8867478547425716,3.8033084051547306,3.4584943533521795,4.3544818145070785,3.1013175003125415,4.677367585699992,4.308119895580083,4.057366586083724,4.428581728984522,3.9474346296452367,3.5246777134796003,4.710044433168283,4.545347645604645,3.40643907473571,3.1657880893405554,3.2767219198879083,4.111841871674757,3.952737679263958,4.022120287585507,3.4590218160325747,3.4750393486687248,3.81198259244381,2.944066664389653,3.9471350439012642,3.9015047448754814,4.45939184252004,4.327228713694495,3.588637231695788,2.375531998185343,3.9426093976444587,3.742422010960036,3.6302013865014082,5.010169423340658,3.697511241457363,2.7476788297702326,3.532188691368905,4.213640587301182,4.5995004727089395,3.972180593526531,3.63570722884905,5.358962049113636,3.808812578204952,3.849576371690686,3.6366531740556773,4.134986224435648,4.260886518320008,4.462140427821257
1893,4.398588307372009,3.2690529544603386,3.4718101098813836,4.6787692704900685,4.454282367590219,4.92576009089956,3.210324143963934,4.67141416729433,3.860087465265609,3.899262164022277,3.761347262167476,3.3792950759903206,3.752958846137666,3.9444364834081336,3.618422194693043,4.130624325640531,4.422680382106661,3.747694784866562,3.9606928886134707,4.196912468404372,3.8080490954560986,4.161636124371801,3.1670174473976154,4.499772125701638,4.228718503317204,4.170544615767744,3.1010326594876503,3.450049680269731,3.0931008504873914,3.425322581784309,4.713757793983113,3.635397877709692,3.4129511805676005,4.272638132042159,3.506582248278187,3.8244887553431095,3.778732882457705,3.295938284300899,3.720186830996992,3.8427669238926754,4.190290177054479,2.655416995143791,3.5167221727813125,3.8424767469261223,3.6114710475920653,2.718354733645101,4.27745522054618,3.700625953618766,3.6997161176445026,4.250323403257914,3.7291189821380666,4.635634647237472,3.757529427727424,3.872775103784245,3.7940107842339454,3.450776185614517,4.335514548738777,3.10188993021816,4.666564250118244,4.289276151688632,4.059203361973616,4.414540410696688,3.9450725908089,3.517262593338226,4.697977133450948,4.530559713119908,3.399833417125384,3.1635619566156237,3.27666170009417,4.10482097208666,3.9407397595790705,4.004295711352492,3.447692944601881,3.4679674272658545,3.8088350167857943,2.9439167173779124,3.942528222374273,3.883397488022009,4.443070008848045,4.323253891705345,3.589948786589865,2.3872400394004423,3.925257936059552,3.7343598204861195,3.6209128939758273,4.999442920712021,3.682684914786396,2.747995259656495,3.5251144550011038,4.208094761001169,4.596737184201292,3.962661476471361,3.6343228042169784,5.344581689013994,3.8103372120541668,3.8449617566344596,3.6332312434207825,4.127593208942164,4.24957905472338,4.447739391660779
1894,4.397183153181272,3.252805206402587,3.47361962395647,4.662730719861052,4.4216221076847395,4.90343948643015,3.198243682176427,4.662117035014912,3.841841119592919,3.8860687179256903,3.7529484550274983,3.3724763589042395,3.7332805251764167,3.931587287944396,3.6225461641541212,4.1174443974475405,4.407568564389042,3.723900882151483,3.9473777827810697,4.185981177242795,3.7928099317649977,4.149490573691521,3.1506030053417966,4.477695045972521,4.213151624288294,4.159265577252702,3.1045057640219342,3.4362225194455043,3.106971308412909,3.4233320998270678,4.699031659587947,3.6275090969371293,3.3955730777221493,4.2547328703331555,3.4989938611526172,3.812234517403823,3.7816906536546746,3.2944917904002136,3.714755332827586,3.827080946743555,4.18935175775446,2.6456864842043704,3.4988313078007405,3.819256693620643,3.617050031332294,2.7190803618248127,4.273678177020548,3.6727231863919307,3.6798313463009436,4.24006050601534,3.7181935572931746,4.615831004841242,3.7468998118328134,3.8593937798069256,3.785838508492736,3.442077815445801,4.311822821403695,3.103749079732805,4.650665336298614,4.263594403526136,4.064169193252267,4.395421708420519,3.9425254721586267,3.5067058434388088,4.679060693417965,4.509869654779202,3.392541779288356,3.161119410686384,3.2790580360998423,4.095731277702228,3.9270131882306547,3.981712812508773,3.4353546662839562,3.4640325343041667,3.80650820140918,2.9435148424053903,3.9372508877331303,3.8576092040271748,4.420513618818269,4.3169024917203025,3.5945966143843577,2.4054268159545478,3.904181213248634,3.726299028909157,3.6094825922870832,4.984901522283032,3.661656032183256,2.7529712948600515,3.5152444065543786,4.200790379684456,4.5959898807497,3.950503148795672,3.6382610915940283,5.326085994469496,3.8109046228526733,3.8420188832957702,3.633793606613258,4.116482129070027,4.235192557609411,4.427674527686305
1895,4.398485392820506,3.232779570764701,3.4790032881880784,4.639024597429859,4.379444210677388,4.877813953465457,3.185571714679316,4.650695538649368,3.822557584957016,3.8716538216532914,3.743762259353849,3.365722311968926,3.7104457945817337,3.918313730091958,3.6307746167665655,4.101757842342204,4.392441727736971,3.697718185035934,3.931246056672437,4.172953949381162,3.775702246792001,4.133920800598352,3.1311244059209065,4.451209786892543,4.195368977892189,4.146499546121252,3.1106939011636037,3.4223679071451985,3.1278487978751723,3.4229878880788256,4.680464577411678,3.618717086064458,3.3772452995847813,4.23074010870689,3.4929636982203816,3.801917303220188,3.787045073062032,3.2960025241814694,3.712577376460544,3.8115148557119927,4.189502363897963,2.63653291490324,3.47731194029703,3.7926635587414026,3.6233122688830566,2.722052182803516,4.267182470163364,3.6397104569447425,3.6573869617289834,4.230466501922869,3.705886343665572,4.593241788496254,3.736217212829329,3.847328137795456,3.779184254493204,3.434598302545142,4.285408916089857,3.1086998416183897,4.629543228632151,4.23226289020624,4.072457827139715,4.3721594959873755,3.9383713745620508,3.494502331783136,4.653393657738887,4.4851714391159625,3.3872431087703614,3.160141260396734,3.2835427153287267,4.084042795606306,3.913642136597506,3.956328711751551,3.4241112308781307,3.4663599895752917,3.806382532182262,2.9443069272642397,3.9312039311166203,3.827330283885635,4.394650974738612,4.3081941599529205,3.6027804375296135,2.431788443565286,3.8817145197572955,3.7227719828583883,3.5965263063206,4.967686083295186,3.6358328387848804,2.7647283110008924,3.5040112353977104,4.192979242774086,4.598495417960873,3.937358385557994,3.6473087540396953,5.304312238299387,3.810022367044059,3.842383974925445,3.6374148656611105,4.10311431888049,4.219424797793319,4.40431335960052
1896,4.403310359510497,3.2094929348961587,3.4873656511938567,4.608740582749258,4.328570386475974,4.849862789642918,3.174413349262446,4.636977565501628,3.8070890761547016,3.8590752433804276,3.734147644851822,3.3600638558977636,3.6873185595066893,3.9059760515487563,3.643082668300597,4.084877841941212,4.3806974522826625,3.675774030202983,3.914681927345871,4.156138567376839,3.7584192822779006,4.116524359539593,3.1122110825652882,4.4220144901242,4.178664188434205,4.133544134318372,3.1178137702737763,3.41013857316951,3.1560552312284518,3.4250021138171594,4.660033588049846,3.607810561394005,3.3595959065161907,4.203646810459647,3.4909693628934413,3.795928914682758,3.795254997091,3.2999006393781105,3.7150529486248374,3.798239056317616,4.190999323694928,2.6307155616599776,3.4537030598557683,3.767577236780455,3.630741636739403,2.728846779651315,4.256278519729895,3.60485091637492,3.633938482238541,4.2254105546919085,3.6925018836261625,4.569499048776793,3.7262871051346913,3.83600262004804,3.7734711521905373,3.430408738476469,4.2579751197306415,3.118470927657677,4.602917046583048,4.196393568612082,4.08381271176486,4.345543430889602,3.9307159860604113,3.4825078450035507,4.621490650430582,4.4586008210211325,3.3865395317972347,3.162529431632679,3.2891191801344455,4.068777504325842,3.902568424453685,3.9298712605681363,3.415631415146523,3.4774618015886105,3.80949401765708,2.9481119664557465,3.92384156478752,3.7964330426890625,4.368746215235015,4.29715583070295,3.6141565460470604,2.4678611000399453,3.8599458212805615,3.7284289283797722,3.5823871427500897,4.948842001363962,3.606820442412646,2.7848752112688313,3.493107531739099,4.1858633023359015,4.604884081920542,3.9248497265082882,3.6598224400117907,5.279681003234007,3.807237722903878,3.8471858224072353,3.6418015403829163,4.089160134117433,4.2038084904995365,4.380300751030992
1897,4.409706857168958,3.1818915442263718,3.4967810612273187,4.572563406732706,4.268771507819444,4.818347813619752,3.164275532964411,4.619639768725259,3.7962680277604077,3.848394053319373,3.7244406450529466,3.355707389095892,3.665512884890818,3.894117230976928,3.65688333206017,4.066718460165388,4.373789901133023,3.658800351050311,3.898122171633265,4.132758632863247,3.7423318645906445,4.098237597297505,3.094382323682101,4.39038554826106,4.162492191865308,4.121069826398225,3.1236472417547123,3.397900670617373,3.190744622195232,3.429941517358479,4.6382237185044595,3.5946668777288737,3.3426436892249756,4.173852666801907,3.4917308333432207,3.7931570345505694,3.80511495979583,3.3041342782146454,3.7204109227524995,3.7855408051217676,4.192947211069664,2.6287991574833924,3.4274345374620685,3.745074723481392,3.638619501404241,2.737444592849201,4.240467817054672,3.5688677555255,3.6098006579642616,4.225178652588237,3.677800905748363,4.544483173611198,3.716206826653181,3.8233503284328263,3.7674791838194244,3.4285142234223986,4.228620819493889,3.1312513564915267,4.568666852770207,4.1547861860042,4.097481282225024,4.3140465551316876,3.918503818380792,3.471338343058421,4.583693299662155,4.429524887674754,3.3887228429915695,3.168075279396785,3.294448571121942,4.048911528377417,3.893910178373794,3.901292028410883,3.409052191055011,3.497081506563946,3.8141839900092522,2.9554571670886576,3.913285955159358,3.7659581143890186,4.342012238403639,4.282893296850387,3.62733648940444,2.5112874954613496,3.8381588275870193,3.742321256448946,3.5662450261474365,4.927325056585223,3.574651521577623,2.8125826530530995,3.483040223032665,4.177068746831321,4.612346900321418,3.9124193139234986,3.673460322803832,5.2508223791881115,3.8012547922207585,3.854643119818837,3.6445792489963402,4.0730513775338295,4.18674982738632,4.355497097501901
1898,4.4146824252334405,3.148628416353443,3.504988631278052,4.531052267025726,4.1996320722077485,4.781388942815319,3.153731268890825,4.597071438277229,3.7893511136677827,3.83859041952741,3.7150842240231396,3.3525048522384537,3.6462228382024975,3.881732877001891,3.668836742836792,4.046903298535778,4.372415443629851,3.6452855246812588,3.881474784760659,4.099887074900241,3.7288427634870747,4.079846195537358,3.0769980905673266,4.356035925756396,4.144938340553441,4.1096345018269975,3.126082081870729,3.3828483425457323,3.230514501219428,3.438384766030973,4.6149538914195265,3.5796635621744466,3.3259159982157094,4.14082323594569,3.4924737180487675,3.791215910348562,3.814896707876194,3.306271298410035,3.725871098127609,3.7703852876440003,4.194014876527188,2.6305507481686075,3.3974050044856563,3.724646975638932,3.6460223668183556,2.7446176745519546,4.219914841099497,3.5316127132846598,3.58506204503076,4.228627025977358,3.661478102881519,4.51763553387889,3.704485009408671,3.8068913497802193,3.7599511054210355,3.4268739478558174,4.19565149102298,3.1438980806098504,4.52415536028048,4.1055578680230465,4.11262144036094,4.275304828375819,3.901207117859604,3.4612027392065148,4.540307742845107,4.396412759883788,3.390484959189566,3.175859532757639,3.2983270584698676,4.023726634426552,3.88718893414862,3.8685951840612276,3.4026960771244763,3.5240278266364022,3.8178268369062707,2.9664717909454907,3.8974282603844923,3.7359452401812288,4.312214915735186,4.2643837178272115,3.6405782766221106,2.5582216532978297,3.8146478252750704,3.761304999612345,3.547060580818897,4.901479267782989,3.539064109623391,2.8460967999630205,3.4739356766542073,4.163045346713696,4.61681141664009,3.898928071494785,3.685706622063485,5.2159536064796175,3.7906694436281096,3.8619400975345997,3.6435806650359304,4.052075742163002,4.165561076854587,4.328902337256801
1899,4.417490225477674,3.112875542658129,3.5131247708322366,4.484898217387343,4.123626053501561,4.740856301869232,3.143264569924442,4.570458669952342,3.7863048200619787,3.830488074822682,3.7076294070581373,3.350092218880798,3.6309420606683007,3.8703741581603612,3.680400822916252,4.028326751402469,4.3771225913926814,3.635748528293452,3.867551040337771,4.059325316719664,3.7204866929346947,4.063038135274932,3.060688671813341,4.318871729634459,4.126931643601743,4.101094557223672,3.1272896343964796,3.3652094163185353,3.2736375658053474,3.451419693378912,4.590523431533264,3.5637390655658407,3.3109139167528934,4.105430573992224,3.4918984001510234,3.7903719137834324,3.8253770187699088,3.307542489557913,3.7330158453801188,3.7538996005642833,4.193828414383098,2.63675555463986,3.366642322716995,3.7052632138358366,3.6556578619209468,2.7513886241918994,4.196854822699527,3.49464962458113,3.562857165354325,4.235200375827675,3.6451181416627776,4.491670646062769,3.691458082984851,3.7874991797184387,3.75278929188835,3.4265290033481177,4.161049522540026,3.155795597492763,4.470576733414302,4.050544450432674,4.130064735589065,4.229163260145934,3.8807822055105134,3.4532133882978666,4.491870677136327,4.360892897480713,3.39158645568443,3.1869454445138867,3.303283279620861,3.9965909908318986,3.8836783601105784,3.8326469351942727,3.397991555244979,3.559670225114462,3.820380469126654,2.9825719387474603,3.8786863472088617,3.7079015714537755,4.280211008103785,4.243871038371219,3.653754504400104,2.6075256133700986,3.7900669757118832,3.784289205106699,3.5271374089491125,4.8730452201659125,3.5037555947257593,2.8851152115040213,3.4669214361827327,4.144931285843718,4.617532025417304,3.8871377853746525,3.6965276062414487,5.177665958870814,3.7774152509971293,3.8691531256093326,3.640488610013417,4.026608247409196,4.140691487139625,4.302909105661601
