time,one,trend,total,rate_slr
1890,-5.647654794169808,-5.644555519632153,-11.292210313801961,
1891,-5.647654794169808,-5.4275795152367365,-11.075234309406545,2.168896969763545
1892,-5.647654794169808,-5.210776125679444,-10.858430919849251,2.1663293818123464
1893,-5.647654794169808,-4.994313638874267,-10.641968433044076,2.1631326865175193
1894,-5.647654794169808,-4.77814958837594,-10.42580438254575,2.160900250205575
1895,-5.647654794169808,-4.562133588833152,-10.20978838300296,2.1615039230991195
1896,-5.647654794169808,-4.345848803756116,-9.993503597925924,2.1666615270960277
1897,-5.647654794169808,-4.128801283413947,-9.776456077583756,2.175586683274795
1898,-5.647654794169808,-3.910731467101157,-9.558386261270964,2.186642190887347
1899,-5.647654794169808,-3.6914728452364773,-9.339127639406286,2.2005820562805267
1900,-5.647654794169808,-3.4706150558450517,-9.11826985001486,2.2192419427808563
1901,-5.647654794169808,-3.247624456680306,-8.895279250850114,2.2413740887282296
1902,-5.647654794169808,-3.0223402380994058,-8.669995032269213,2.263650460548847
1903,-5.647654794169808,-2.7948943645705366,-8.442549158740345,2.283459315046319
1904,-5.647654794169808,-2.565648375090142,-8.21330316925995,2.2986250955300336
1905,-5.647654794169808,-2.33516934546453,-7.982824139634339,2.308045194747106
1906,-5.647654794169808,-2.104039336140721,-7.751694130310529,2.3115845216962527
1907,-5.647654794169808,-1.8728524411252794,-7.520507235295088,2.3083274082944927
1908,-5.647654794169808,-1.6423738544818223,-7.290028648651631,2.2962335829885596
1909,-5.647654794169808,-1.4136057245275675,-7.061260518697376,2.273969036424405
1910,-5.647654794169808,-1.1875800471969413,-6.835234841366749,2.2412828856157816
1911,-5.647654794169808,-0.9653491474044111,-6.6130039415742194,2.1988037927299366
1912,-5.647654794169808,-0.747819288650954,-6.395474082820762,2.1488322411514105
1913,-5.647654794169808,-0.535582699174129,-6.183237493343937,2.094138864160213
1914,-5.647654794169808,-0.3289915158189114,-5.97664630998872,2.0385670754078955
1915,-5.647654794169808,-0.12786928409254994,-5.775524078262358,1.9856961703936227
1916,-5.647654794169808,0.06814771825981314,-5.579507075909995,1.938138750217524
1917,-5.647654794169808,0.25975846595095486,-5.3878963282188534,1.898023382946188
1918,-5.647654794169808,0.44775239484905077,-5.199902399320758,1.8662426809985493
1919,-5.647654794169808,0.6330070021506647,-5.014647792019144,1.8429040803755379
1920,-5.647654794169808,0.8163332109241583,-4.83132158324565,1.8252960990371387
1921,-5.647654794169808,0.9980662219580925,-4.649588572211716,1.8101217253003865
1922,-5.647654794169808,1.1783575559842356,-4.469297238185573,1.7955672044208715
1923,-5.647654794169808,1.3571796628422668,-4.2904751313275415,1.7803198007630572
1924,-5.647654794169808,1.534421516136847,-4.113233278032961,1.7635528419442448
1925,-5.647654794169808,1.7098902312311157,-3.9377645629386926,1.7447264556658648
1926,-5.647654794169808,1.88336680727002,-3.764287986899788,1.7246158388044153
1927,-5.647654794169808,2.0548133989919988,-3.5928413951778095,1.7047366745875248
1928,-5.647654794169808,2.224314142187525,-3.4233406519822833,1.6862067727466101
