time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,-7.583802583604962,-4.579543155056793,-7.779258892922092,-6.130500820936704,-6.423970452773733,-5.185441840261622,-6.846259553381566,-6.530413641167243,-7.73375119057153,-6.474985291454951,-8.164346987885684,-5.467743748962168,-9.93780790806382,-5.130497329224046,-7.439221628349672,-5.359571061819031,-5.523988814213463,-5.061681968891842,-4.1677925182598985,-6.702325767181652,-4.864882762374167,-7.780826436660226,-6.698991266216449,-6.206765482171562,-6.433504434748077,-5.828301457228031,-5.587805352083657,-7.087016423684669,-6.800566774835679,-7.667185940718762,-5.885091689363411,-5.694993672548985,-6.890313443739885,-5.736881187512615,-5.316653293880735,-5.997385197019565,-5.261149418021618,-6.382275354580624,-4.88711248900767,-6.059228375620236,-9.021852053845537,-7.948920915778146,-5.258777439608631,-6.085006088764824,-6.585746044154566,-4.764996917719202,-4.882450747279878,-7.4413528979792805,-6.284287921121416,-5.196125490599746,-6.902029602959687,-7.3813009814948005,-8.413310629644995,-6.786142663312907,-4.992275432123989,-5.413672071338098,-5.9065251271234365,-5.297699431741578,-5.032126373404857,-6.16997538849864,-3.9664740589209724,-5.8170068797472885,-5.275558060544006,-6.544734763260349,-6.720100474887842,-6.26030865921948,-10.194753528473951,-6.538856529630037,-5.594079543828019,-4.61239385005981,-5.94608113977753,-3.0086562633004865,-5.296122756765467,-4.428000744194902,-3.7090848773779994,-6.034743007277403,-4.2928819244519545,-5.890822853289777,-5.662926535845099,-6.373216198657228,-7.201059255427367,-7.597756562117162,-3.6301346658754685,-7.093996377359842,-5.890255648851406,-5.616786302996051,-4.439598138892387,-6.832563773862086,-6.494065123693571,-6.299265449261688,-3.58053575554373,-8.396985730736777,-8.541882741561228,-5.4402440423346965,-5.6453434903640165,-5.758571249869977,-5.819246370119608,-6.082266910496634,-5.323276712101128,-6.404103054858932
1864,-7.596815726565711,-4.580122788688841,-7.784608922910694,-6.131051650458499,-6.42831635203672,-5.194086630624883,-6.855039997110524,-6.540999347796879,-7.734464896135996,-6.479680777531298,-8.16816821721944,-5.475268805170814,-9.938174988003965,-5.120429307380436,-7.449346664310163,-5.3606601204220405,-5.534421705079606,-5.074168571117523,-4.179445382333893,-6.709842134085157,-4.878059644562716,-7.782577597208936,-6.708980050293487,-6.221246700694758,-6.437604828048498,-5.829095554268742,-5.594220500265128,-7.093567833111605,-6.803141873541628,-7.668129534280712,-5.892595604193236,-5.701716437558089,-6.889970906819811,-5.7491557050942665,-5.3287715476708275,-6.0049496691308875,-5.267858934123564,-6.379521175654794,-4.890829623990458,-6.069666264845486,-9.024525425122224,-7.951108190895635,-5.267049147317309,-6.0953277605529665,-6.5957713528129736,-4.764971226921708,-4.890449504567642,-7.444633801782188,-6.294780623591514,-5.205132839452407,-6.914583943321215,-7.386354971485658,-8.423125623586367,-6.796339792972701,-4.992146859824884,-5.4285265779653695,-5.9118004057954465,-5.297237088689046,-5.037757956775257,-6.184730766152258,-3.9755446410409445,-5.831635810076103,-5.281143846230871,-6.5487169432437575,-6.738725885833811,-6.269109752940243,-10.191763461696311,-6.541484118815175,-5.60387452427086,-4.617612787067817,-5.94928737280048,-3.022841653190391,-5.310234435501724,-4.43472376265424,-3.71732634200876,-6.044966540617254,-4.29800835435008,-5.894915810003858,-5.669418030946356,-6.383947405932324,-7.208544516364119,-7.6027840783965805,-3.6309394639300807,-7.102307316501295,-5.898425360257433,-5.611326838642996,-4.447263678306346,-6.839433039945959,-6.500544533731896,-6.306420334139147,-3.5932414546310953,-8.401094136222653,-8.546932836014005,-5.441860130311027,-5.648123352765859,-5.76632160409142,-5.829247326908753,-6.096702040622017,-5.330598963635578,-6.406435164296012
1865,-7.622469654754631,-4.583721936611309,-7.7976440233357165,-6.133428738582296,-6.44173577060611,-5.215071903169837,-6.873800477541696,-6.562568724253053,-7.734544225007041,-6.4884734520528875,-8.177828186731904,-5.492211853093543,-9.938543389518049,-5.1034588950931825,-7.471433105189239,-5.364952881692937,-5.555241742396104,-5.100807304499351,-4.202609699833086,-6.724668424779985,-4.909926977729569,-7.7864178572532206,-6.729376624503048,-6.251301841241861,-6.447863528135283,-5.833534434603722,-5.609435463352455,-7.108317235330954,-6.81282675976131,-7.671747370661133,-5.9090672901774255,-5.716629008033016,-6.894314956189881,-5.774196996901684,-5.356035404144062,-6.020225693075205,-5.283933648088421,-6.375977666593093,-4.90456636948222,-6.089950098867396,-9.031488168895837,-7.960348004208666,-5.287670038399055,-6.117430216236444,-6.616921486514622,-4.768577416083608,-4.908770397439115,-7.452895102483819,-6.313736185083099,-5.2278309710971715,-6.938199951747976,-7.39655167032367,-8.442541932249865,-6.816422283039989,-4.996122088953832,-5.45874404785462,-5.926759367148167,-5.300077846108868,-5.051889598436166,-6.218671020172321,-3.99661693933246,-5.8593392801724375,-5.295359911002389,-6.555550193850328,-6.7754734995215005,-6.284267961301491,-10.18662662846365,-6.54825268721998,-5.6236452625004585,-4.632583087378164,-5.957011925112492,-3.052520888601129,-5.339484727410495,-4.4500952535393035,-3.7363293325499525,-6.0650681011401675,-4.312854381079436,-5.902320993735906,-5.683328252319777,-6.408913319931271,-7.223409250984633,-7.617429616575362,-3.6379715133015633,-7.1204184837536415,-5.917008726703341,-5.601641497136729,-4.465270349950545,-6.853936720210108,-6.514426555737862,-6.320134410222602,-3.618808645444682,-8.41043947666019,-8.559401493758049,-5.448601890782339,-5.659512712938488,-5.784383920279059,-5.852968283817446,-6.124876826752943,-5.346013769587774,-6.411660385260909
1866,-7.661729859517859,-4.5922036310035,-7.82060696115625,-6.138271540361613,-6.469346262688822,-5.252508635934889,-6.904881143707038,-6.596915374728112,-7.73219202673594,-6.5016512389648495,-8.193837879948752,-5.521436705109015,-9.937519410079853,-5.079334952776864,-7.510134031473137,-5.374776447254956,-5.588341009062745,-5.144939969815661,-4.239628549439622,-6.748246794244945,-4.969349653597512,-7.792756247564778,-6.762351919411151,-6.3011422192682005,-6.4670058883615305,-5.844612407454974,-5.6365997681414814,-7.133408230847933,-6.834069464654209,-7.678986261157393,-5.937939765896032,-5.74193332509779,-6.907127059283129,-5.814576166483656,-5.403689015965916,-6.044035709032767,-5.3124467187898805,-6.371691137042497,-4.935336703661413,-6.12120188577062,-9.043882957903334,-7.980957143719277,-5.326229826616631,-6.154413476602791,-6.651091283900952,-4.778707555197297,-4.941367816046736,-7.467532415749751,-6.341844382582944,-5.270783941570145,-6.973562143613163,-7.412941233393617,-8.472810246246517,-6.8482250232187125,-5.008002958368438,-5.507682500748743,-5.9565162983316755,-5.309487589429014,-5.078756442179144,-6.278290093540768,-4.0343463100700845,-5.902134830149048,-5.321987820993299,-6.564164825288379,-6.833985775089706,-6.304532634176434,-10.178738831765315,-6.560477197680612,-5.655935691889327,-4.662930864060377,-5.970599185790055,-3.1026917261488673,-5.388102270449875,-4.477544016013684,-3.7703659985633253,-6.096407896283131,-4.34244718255667,-5.912604408982078,-5.706757346642051,-6.452992428437789,-7.246980652569839,-7.645904157033452,-3.6559265520523265,-7.150448782365095,-5.949834999540022,-5.587612985853125,-4.496516746569736,-6.877833173866654,-6.536938816538873,-6.340148978922291,-3.6604575171844678,-8.42735718800382,-8.582544200232249,-5.463894378775973,-5.6856830431488214,-5.8161868963271735,-5.895598672811335,-6.169455857197637,-5.3715184742076305,-6.420237317683504
1867,-7.709250467103117,-4.605838833685025,-7.85326442183157,-6.1430945303549755,-6.509118891882584,-5.307030351310202,-6.94512809720377,-6.6398023090864555,-7.724680946257494,-6.51800963495075,-8.210943312280703,-5.5603941598826045,-9.93029460228625,-5.044654355274565,-7.564455725884152,-5.390273473853493,-5.631311360828262,-5.204342518436573,-4.289420224490654,-6.7791826364215035,-5.06031216985904,-7.800563155312923,-6.804810907061194,-6.369123558462593,-6.49504997642417,-5.864257160414272,-5.6741462000472165,-7.166689212156125,-6.868249304869165,-7.687931326176147,-5.9805224712337335,-5.776525760269622,-6.927841098542473,-5.867649757894573,-5.471519767361199,-6.073350547296017,-5.350466565047212,-6.362745101917673,-4.985177657363766,-6.161820553198818,-9.056996330062479,-8.012492657684959,-5.383063763107421,-6.2046368534585845,-6.693985202134924,-4.795870413130157,-4.988775199393665,-7.486161730754093,-6.375388605783918,-5.334649230922435,-7.01688513025565,-7.432459316296192,-8.509580205816949,-6.8903777473818595,-5.027134850158319,-5.573459454922927,-6.000331978482363,-5.32642216592103,-5.119059834933841,-6.360928244392596,-4.089840404219151,-5.957647299938413,-5.359443138367865,-6.57385540168824,-6.913444725787197,-6.326135701909488,-10.16402719957753,-6.575457039240278,-5.698078528476942,-4.71084615595426,-5.99006958645889,-3.174827152617574,-5.455184321073463,-4.5172265665013045,-3.820033725378238,-6.135763006448589,-4.387985935786465,-5.923823024694035,-5.737958476031362,-6.514759716980447,-7.278464258988658,-7.684773406141439,-3.6856692051408446,-7.188638712934486,-5.9947790528402,-5.569293487322362,-4.5379915473423615,-6.907002286946704,-6.566209332362041,-6.361597245258861,-3.7186149946917535,-8.451206271115325,-8.614750256451579,-5.486173596771402,-5.730890279168066,-5.858063483222509,-5.957260719829907,-6.2292176586273795,-5.405456324277598,-6.430694541090687
1868,-7.757730946346741,-4.624268964060394,-7.894336915475577,-6.144373930600167,-6.5565762275720685,-5.378173521640925,-6.989693030988922,-6.685335979549465,-7.709097803152032,-6.53610162478254,-8.222345186952879,-5.6049784514031,-9.911264823328736,-4.995356890286993,-7.631539838541661,-5.410956436138101,-5.680409280744381,-5.27518557651506,-4.349596350649754,-6.815279324871306,-5.184543008241156,-7.808241008179397,-6.851865707475913,-6.451943045109097,-6.53082792212758,-5.893618323188186,-5.7192974427012055,-7.204646426770314,-6.915276317245018,-7.695817602278026,-6.037128806214822,-5.8181791164630825,-6.954604405912213,-5.929255305099668,-5.557391971627212,-6.1037754304831005,-5.3931394989184245,-6.344514569770396,-5.054332894641227,-6.209433673009319,-9.064068922920203,-8.052756691776253,-5.456739006838753,-6.265196400123047,-6.739552293011495,-4.819654111664842,-5.050037435265082,-7.5053459550286705,-6.409458426999617,-5.418065697727412,-7.063193707796724,-7.450793634332404,-8.546833028883398,-6.940233895093084,-5.051005289133266,-5.652596305267372,-6.055391928414866,-5.350875999797071,-5.171805744205602,-6.46109051167119,-4.163093447179667,-6.022016039996587,-5.404587997188566,-6.583940120637637,-7.01124001903088,-6.344565916373086,-10.137473962249768,-6.588987220956994,-5.745791871078012,-4.777318316983963,-6.014775868187838,-3.269077477202944,-5.538032722526527,-4.56813884950344,-3.8844888033250147,-6.178488018730204,-4.449257539593994,-5.933482614701888,-5.773847096943974,-6.590654296577894,-7.316414975923673,-7.72839413674046,-3.7270339601079883,-7.22948608974713,-6.047783239423015,-5.547033858492854,-4.584971314544135,-6.935241139936497,-6.599535014947642,-6.378427105100739,-3.792684294786075,-8.480209525290912,-8.652757788154371,-5.512397082421749,-5.798183407011894,-5.90437790557095,-6.036380267792691,-6.301642846372744,-5.445249127344636,-6.441047630794561
1869,-7.80074818932563,-4.646105956461941,-7.94056095932556,-6.138482662890019,-6.605881565050029,-5.465240120509618,-7.034303483944644,-6.729856709320612,-7.683712055958343,-6.556275048075544,-8.22385031796491,-5.652382221941181,-9.87751032852864,-4.9302571409961615,-7.70786569668827,-5.436659834988582,-5.732265818225932,-5.3548763894779805,-4.416165844522606,-6.855129767251924,-5.33773973870356,-7.813472322084043,-6.897965050767887,-6.547708328153146,-6.570653110234681,-5.930286972295713,-5.771366002027842,-7.243893768994862,-6.971079639162108,-7.700459680360829,-6.1054111872224714,-5.864129061760948,-6.986106088745578,-5.996369322000681,-5.657529532926873,-6.1301581336183375,-5.4356485795365295,-6.3167858235804175,-5.140906967901353,-6.262457921480524,-9.057428075274645,-8.097598526096984,-5.5447650623715505,-6.33495740342001,-6.783626634575599,-4.848247378137609,-5.121007848414054,-7.522896740621001,-6.4409954072155085,-5.518212393857298,-7.109547958845983,-7.464328101859028,-8.57974717556996,-6.993315885031781,-5.073750608552796,-5.742129776646889,-6.1171137937774445,-5.380911084834277,-5.231532825107901,-6.57373825447614,-4.2538287465168745,-6.09086706127663,-5.45534553069198,-6.593200423181815,-7.121921414274226,-6.356188614517526,-10.095665279892373,-6.595413804014156,-5.795234143060837,-4.862006817643554,-6.042199524492005,-3.3836910147091492,-5.632613449540891,-4.628194231682583,-3.9606029608114035,-6.220446947327654,-4.52422310414037,-5.9387956153795685,-5.810568622986971,-6.676031051081175,-7.359569311870775,-7.77285438196802,-3.780867631609488,-7.268677087048601,-6.104508497578625,-5.522965432364058,-4.634094623061191,-6.95512078970109,-6.6354598744027005,-6.387138939164925,-3.88085757664975,-8.511144728677348,-8.692532670131365,-5.5402750537532786,-5.885477348388548,-5.951769776773865,-6.130458564805301,-6.383735373070327,-5.490125005148059,-6.450170246226494
1870,-7.832575960807042,-4.6697483020096975,-7.987930334614104,-6.121796880942054,-6.650848509853402,-5.567435602033299,-7.075003960286024,-6.770831316949435,-7.6473685858825435,-6.579801503721141,-8.212212654842666,-5.700293093940232,-9.827306166528585,-4.849764749595362,-7.7897101162908955,-5.467527077259993,-5.7839321987289605,-5.441383598435161,-4.48486152876288,-6.897679627884328,-5.513514371612667,-7.814137062919859,-6.937610466330653,-6.654923720843149,-6.6099985863843,-5.970868416288484,-5.830501515548168,-7.2813494234841025,-7.030317692530206,-7.700106533568669,-6.182167711424644,-5.911517524453727,-7.021195000491329,-6.0665991728903546,-5.767656636597134,-6.147526739209117,-5.4734765240358385,-6.28125200031187,-5.242410183139068,-6.319579856362001,-9.029631336222774,-8.142029845736287,-5.644135285011034,-6.413631325787428,-6.822730558339467,-4.879525923737935,-5.196662555556317,-7.537065098749212,-6.468031896010009,-5.631750899745209,-7.153795383694739,-7.4698318118033935,-8.604089522021333,-7.0447125766119,-5.088635037279214,-5.839272908782491,-6.18045520492394,-5.414158586243771,-5.291573042958064,-6.69412369602973,-4.361688302350926,-6.160014159394089,-5.510094784336013,-6.600427685119459,-7.2389312014134255,-6.357758876645763,-10.03591087008929,-6.588980868331498,-5.842944529648841,-4.964011293709167,-6.069119568151735,-3.516106172308273,-5.7344135362184545,-4.69511540818619,-4.044718445980053,-6.257864324586668,-4.610047889798055,-5.937117392699491,-5.844270047861366,-6.766034497381068,-7.406775499790799,-7.815061227451565,-3.84869864458373,-7.302449483996432,-6.160920897154103,-5.50004327566314,-4.682635557598349,-6.958978439479173,-6.672899005963924,-6.385535429661564,-3.98088661920176,-8.540337983251764,-8.729956102402806,-5.568094687029643,-5.988781811362323,-5.997887841619072,-6.236829177174483,-6.472219602703846,-5.540103843448412,-6.457365679531373
1871,-7.852601730794202,-4.695579892020532,-8.033453545987662,-6.092111155043449,-6.688446541778097,-5.684095473550861,-7.109948637418628,-6.809290859005919,-7.600552067461512,-6.610043723660444,-8.185021895306024,-5.747227781005688,-9.761359500503481,-4.75917574916465,-7.8747919692780854,-5.505428962713945,-5.835924961526868,-5.534251254001155,-4.5555360245426835,-6.942758503449471,-5.708504676254966,-7.813006722062639,-6.9696262976877055,-6.771394729735158,-6.6464175961958105,-6.0159181472962375,-5.8974562550336485,-7.317201061379337,-7.090951011363997,-7.695563318583014,-6.266252519167441,-5.959264119274907,-7.058684621147426,-6.140208254849151,-5.885672790176653,-6.156585364170364,-5.506052728185842,-6.241782720409126,-5.3588392703840215,-6.379676649519577,-8.980612983914046,-8.18137138378975,-5.751517022230606,-6.5028339579203065,-6.854343289380642,-4.91383682771501,-5.276150398196613,-7.546423406281857,-6.492972918207864,-5.756469617266156,-7.194769615559964,-7.4661993040159835,-8.618217395221741,-7.093133875711755,-5.09417651629215,-5.941915188224067,-6.243571137878039,-5.451514175243246,-5.351191482812627,-6.819999720467287,-4.486584449105546,-6.229959763501878,-5.568292465231752,-6.6066804114021105,-7.3569884071459635,-6.347589323026255,-9.95753800637917,-6.569569845193364,-5.88848409278921,-5.082025215793977,-6.093094610620771,-3.66345970796333,-5.840318391552035,-4.769195697066979,-4.137095092937457,-6.289653469714662,-4.70354438768092,-5.92888558380579,-5.874838731585852,-6.858939834710216,-7.4576287764684235,-7.8545057676057395,-3.9344920776576675,-7.329185377845868,-6.217929749292197,-5.481953049770891,-4.72990273172623,-6.9433507859309485,-6.710271083423716,-6.375433297662911,-4.091206441492763,-8.56589902619374,-8.76393268219402,-5.597420907930162,-6.105064160900997,-6.04266232041931,-6.355182246633184,-6.5637864859927,-5.596390624464549,-6.463198738283276
