time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,-5.213794297047837,-7.681199898341214,-6.469666051845536,-6.388935548078676,-8.526740309069869,-6.356780267442202,-5.215386706630204,-5.961525631043264,-5.436648682716598,-10.006135413922408,-7.437840037868743,-7.084488452778244,-8.203873095601377,-6.06546902039327,-7.499214941594128,-6.493781915861306,-8.646649162597054,-9.605929186227655,-6.353186500820241,-9.105264976020983,-6.969262803395297,-6.359824988797037,-6.431646604665806,-5.789286885590722,-9.527056592599678,-6.342294922739693,-8.324122486083937,-5.996736243456294,-8.69762437226833,-8.480097631083154,-6.300224418760504,-6.779290087837552,-6.764925479483501,-6.2109073939106505,-7.012109599113057,-5.483296190321544,-8.874506886514524,-5.316432721660857,-6.079085522109715,-6.258101585810102,-7.306939068153538,-6.973780932719467,-7.446733457024352,-8.529515559407205,-8.238632258566192,-6.521777508736984,-6.755071841924663,-6.911384111548722,-7.294780569231256,-10.44215770737385,-8.703647707857638,-7.510377141153484,-8.4339191840089,-6.628821552807086,-8.398348183884263,-6.962191279422061,-8.56904656592182,-6.626969401618027,-5.885693080798571,-5.539900025923382,-6.815649349570241,-7.781113918905683,-6.346495152396754,-6.3746430132546115,-7.155000715795024,-6.446839101517494,-6.665611996574422,-5.23538530735301,-8.463942593696228,-6.743496912073285,-6.794926835696272,-7.919980149928199,-8.32815591724522,-8.115324456076802,-7.744796966497076,-8.102843111314545,-6.51745267173016,-6.2004675965919915,-9.233849889368024,-7.067524235388554,-7.580942297504426,-8.575268685391489,-6.064269413504736,-6.230401724777313,-8.771306612502077,-3.7199682548260413,-7.770152380814616,-5.478398894437552,-7.182862596303627,-6.015709088847617,-8.573974580754813,-8.840355950687295,-7.3759225013404635,-6.991124378639449,-9.653301533183416,-6.505005592869201,-5.43015903940328,-5.105749094808699,-6.180170562077455,-6.858092902412731
1864,-5.232481100185314,-7.67839982443053,-6.469447240121486,-6.3896349460868205,-8.52917846015871,-6.365586530336792,-5.228986158321286,-5.960927164979758,-5.436960217359468,-9.99835125442261,-7.434866720034931,-7.087024853811787,-8.211955135545042,-6.071805043505899,-7.498177790080835,-6.498236342077085,-8.646529488086575,-9.605163472780804,-6.351565013325905,-9.114696738891128,-6.9708110778163,-6.368640914579116,-6.438059405715988,-5.792170969354522,-9.522031417927552,-6.344555473763458,-8.32935299996748,-6.010636071341036,-8.710537194120356,-8.490708559875893,-6.29587858071889,-6.781314455744258,-6.760910223650852,-6.217614568559222,-7.015548832989582,-5.49053597315052,-8.87726176472518,-5.329388254886626,-6.086836746971409,-6.2548104807957685,-7.317038027426385,-6.989139521975328,-7.459478479748531,-8.53439869437405,-8.244305316334216,-6.521476132961958,-6.761178037342971,-6.918960996295569,-7.305161895102309,-10.444354349475942,-8.710426738429996,-7.5091834135412885,-8.431872636511338,-6.640670731615051,-8.402994135645828,-6.966988465356781,-8.571526528559993,-6.635211517430095,-5.895129669831978,-5.5371971392220996,-6.815486906814696,-7.784227355420098,-6.357306998475966,-6.390616128287881,-7.158175950247474,-6.460998204415375,-6.6681991513882615,-5.2420006545698845,-8.46785884126542,-6.749464585297021,-6.801603616545137,-7.923916231990628,-8.32944194536017,-8.12314485999424,-7.743798781251613,-8.103067508566582,-6.523109885891275,-6.197348335761926,-9.234556653676385,-7.072684886412809,-7.5767229890098555,-8.576468480881818,-6.067216664997999,-6.232982160436654,-8.768744646367521,-3.734479611903035,-7.776479342449246,-5.487881735891962,-7.180046847703,-6.020944455019173,-8.565329289691375,-8.846122313935838,-7.38663289764928,-6.9906035806660975,-9.65427817340984,-6.5115516899392105,-5.423436500474326,-5.104505275063037,-6.18431650667627,-6.863437318778043
1865,-5.271989232328733,-7.67954664125563,-6.473722234981107,-6.391600851134026,-8.536098713071201,-6.384134994615748,-5.259886905319077,-5.963489483362665,-5.443783251172881,-9.987236447210536,-7.433024833691485,-7.098283020835124,-8.225838343110382,-6.087830336241408,-7.497687629341371,-6.51104632604531,-8.648433353080588,-9.60810105650534,-6.35036100910457,-9.13587002874242,-6.978793034029973,-6.388911975931011,-6.449818160175915,-5.801136321531995,-9.5128325884221,-6.351887002035916,-8.34645476069759,-6.042443022683351,-8.735657392850904,-8.514846501459091,-6.292707091081635,-6.790540609936994,-6.755986373748435,-6.233149836348095,-7.023407392099717,-5.507991087674604,-8.878402082900708,-5.358192468104391,-6.103998600293506,-6.2565592769495755,-7.337591325278212,-7.02371694497215,-7.48821595077166,-8.545989780364863,-8.25932417718501,-6.526300484401522,-6.777192870207204,-6.932006497422749,-7.328994776189095,-10.449420441298518,-8.722859845679764,-7.511725327275938,-8.430469236193037,-6.664705555773149,-8.415176156411114,-6.978589081007583,-8.576429098946631,-6.651157753908936,-5.921816837947554,-5.540586238386542,-6.819143565407242,-7.7936922828492206,-6.382050609094003,-6.424011278554668,-7.167439958182631,-6.489303439249337,-6.676071695369673,-5.257317297265845,-8.477692862406563,-6.764743417428587,-6.816698363659712,-7.939230987356812,-8.334620995874447,-8.141605273627052,-7.7455577303353795,-8.102689374223807,-6.538266057170096,-6.194851308113183,-9.240002141506576,-7.0885490700914415,-7.574037357860732,-8.580164855182057,-6.076900878703808,-6.241439234227195,-8.767259538587153,-3.7674585516157495,-7.7903081169398884,-5.509054372975523,-7.175868112100573,-6.034557394620272,-8.556089426483883,-8.853453593679255,-7.413292712188713,-6.991648695243166,-9.658527691608755,-6.526394814490603,-5.411453321549399,-5.1056253366762645,-6.196617001409439,-6.8754701726243574
1866,-5.339052338518138,-7.6904985521605145,-6.487222362665862,-6.396435298020556,-8.549538087663983,-6.416076667928961,-5.313885645531462,-5.9737587635485045,-5.464728811764312,-9.975109735620364,-7.435750086831251,-7.124854027692945,-8.245015677608343,-6.11750395956284,-7.49865446771584,-6.536922318564578,-8.654167482854648,-9.617568795367976,-6.351274762644117,-9.173246696070162,-6.997503242493009,-6.425252058617941,-6.469458123342578,-5.819257229120915,-9.498768713544202,-6.366613246084798,-8.382269112716669,-6.099801512833398,-8.77417365404066,-8.557559574452501,-6.295141098987727,-6.812829545982819,-6.75081693522533,-6.26134064100798,-7.038713045954637,-5.540234266802006,-8.874920367377488,-5.408143483554893,-6.134462568959358,-6.270307335890091,-7.371334464364981,-7.083718951303357,-7.5386554320751,-8.56588813150102,-8.286998448293806,-6.541086926558793,-6.806680961255038,-6.951237504438101,-7.371469685642753,-10.45804577372607,-8.741551342419237,-7.522108399433932,-8.431233266512258,-6.703346443640916,-8.438186337628672,-6.999752373092948,-8.58482680352029,-6.675870521353923,-5.975650240906804,-5.557697891204403,-6.829700912267223,-7.813222006812174,-6.425584589265158,-6.479160443093104,-7.186278031161888,-6.53495193076704,-6.69268526774726,-5.285185622141646,-8.49745288386488,-6.793572875283623,-6.84376708337049,-7.973280575284731,-8.345717037847084,-8.175715291339781,-7.75271102757172,-8.101389049793228,-6.567921044144458,-6.194918669200575,-9.253588932209311,-7.121508846495814,-7.576635906211102,-8.588355169661273,-6.097311734502366,-6.259426351701243,-8.769142118827972,-3.826095075982987,-7.813063118077557,-5.547279735592737,-7.171775047690256,-6.060085712289309,-8.550772099156784,-8.85936812844822,-7.463805904800915,-6.99681693844858,-9.668960931902685,-6.552867606390478,-5.392802594508912,-5.111835063231904,-6.222223757930884,-6.896553726629966
1867,-5.434288500569343,-7.711307686123207,-6.510877092143934,-6.405134481307629,-8.568362223928485,-6.460078044277263,-5.387551844131187,-5.992785817378184,-5.50553887016758,-9.962183085048407,-7.442371975293588,-7.168094289591428,-8.266621253423128,-6.15715134862643,-7.4999406528903965,-6.572227416507347,-8.66029961379746,-9.62844171558168,-6.356494254534729,-9.224791444869222,-7.022515713985802,-6.473921859875594,-6.500124835852175,-5.8468167279492675,-9.477275841823598,-6.387661235302594,-8.436807689374266,-6.183620231689937,-8.81964254707226,-8.6155853688522,-6.302257055269359,-6.848301240402238,-6.741381738191486,-6.301219356430906,-7.060809701636101,-5.586086275337346,-8.862606982429325,-5.478046397283725,-6.1744352433771486,-6.296368258947476,-7.41569182307289,-7.165309008628809,-7.609642674744134,-8.589365563704382,-8.323508160019838,-6.56502914173481,-6.844195798942404,-6.974833791329134,-7.430050020375557,-10.468651163439127,-8.764520304856857,-7.538636153945273,-8.430982116311046,-6.754327658423287,-8.467537964827162,-7.02869413557961,-8.59244276509311,-6.707641795804094,-6.056127373740127,-5.58625810595757,-6.845706928910978,-7.841808681487336,-6.4845682845851105,-6.552494422812577,-7.212543871974638,-6.594353329734307,-6.718503256978262,-5.324854131888435,-8.528919494134339,-6.834070306472352,-6.881724620791822,-8.02652486311355,-8.36099725030654,-8.225990461893575,-7.761680821546672,-8.098072502984252,-6.611998062217489,-6.197095938309202,-9.273769496362467,-7.169656654829147,-7.583996341720623,-8.600660053799995,-6.127268945636751,-6.286808216659444,-8.771375579460964,-3.9077731152849258,-7.842784424051929,-5.60252351814024,-7.169216815728015,-6.093245653316647,-8.545727680703209,-8.861735548610064,-7.537664274087706,-7.008997493134062,-9.682568164268243,-6.590629708357765,-5.362683276008405,-5.122833406132946,-6.25982620835357,-6.923831209331047
1868,-5.555741960659828,-7.739960549083963,-6.544037199072925,-6.418260263552488,-8.590043620586203,-6.513199221575032,-5.474374904927686,-6.020451092293988,-5.570578517981925,-9.948182141456824,-7.450618536155725,-7.227255228497987,-8.286653371681473,-6.20088199210461,-7.499523894349842,-6.610451762638149,-8.661728466166704,-9.633515165000423,-6.368002895998677,-9.285992409183415,-7.046905158675805,-6.528476486100299,-6.544710932935171,-5.88301706478314,-9.44501774813197,-6.413037744951278,-8.507485581458965,-6.29224338481131,-8.863403961047313,-8.682703467288086,-6.311467835971394,-6.894768202055381,-6.722607747278908,-6.350054729348744,-7.0877620637074115,-5.642533648465411,-8.836786765986123,-5.564387409720418,-6.217928345864292,-6.332382784742285,-7.466417198535237,-7.261187038208801,-7.69752785094424,-8.609802234958185,-8.363032540816164,-6.595567958080002,-6.881481243048362,-7.0003537348219735,-7.4997120976843075,-10.47832277047049,-8.78878715886172,-7.557788123721854,-8.424996955664204,-6.813819919910877,-8.49630189549593,-7.062270635716861,-8.593318722916738,-6.743895700214724,-6.158734435679143,-5.621081053759731,-6.8641653308977935,-7.8770109693583095,-6.552841345392149,-6.637871476343706,-7.242406272015853,-6.661940103717654,-6.752679038743161,-5.3740202461566415,-8.572429196896906,-6.8824697948652975,-6.927482872513293,-8.096402763693149,-8.377250665916113,-8.290979093750652,-7.766969212452852,-8.091644718665854,-6.668387088694601,-6.199994769042658,-9.297064113442346,-7.22797707555163,-7.59374435073644,-8.615757031648698,-6.163769600534499,-6.321936783447173,-8.769525019140968,-4.00665337043055,-7.876414867971377,-5.672722602017172,-7.169284898362856,-6.127249804888182,-8.53478296684483,-8.858307094901095,-7.631280259683678,-7.030695021218354,-9.694347771253735,-6.638032843484205,-5.315973556279765,-5.137303979564551,-6.3057845540831,-6.952708946544066
1869,-5.6964390146341355,-7.77251236264461,-6.583002232482508,-6.4344243056845185,-8.609260579033421,-6.572276022062087,-5.566809935093076,-6.05584132593447,-5.657501298731297,-9.934014057236439,-7.4559430969713025,-7.29787393743327,-8.298631265249256,-6.24449780719792,-7.493750630247453,-6.643605666395693,-8.653582577711342,-9.629216709448196,-6.384847779129011,-9.349311290974853,-7.065949999443568,-6.582237227883594,-6.602391950290125,-5.925452991166617,-9.397676849231662,-6.4418908193534925,-8.588242072617314,-6.420417084980137,-8.898924065735915,-8.750452509887454,-6.32031557475236,-6.946196259515318,-6.692971044722129,-6.403262752516936,-7.116747880271632,-5.706388371270464,-8.792784294164743,-5.66162873553745,-6.260933836227325,-6.371498075594866,-7.519508545850384,-7.362133894298049,-7.796182435190682,-8.621851284751289,-8.401893785632549,-6.630255115208814,-6.911047512429491,-7.026850529788263,-7.575182718607824,-10.479814068413173,-8.810259240297764,-7.5761391837047025,-8.40851437965449,-6.877557441415483,-8.518052377407102,-7.097985819215555,-8.582020304162349,-6.782267929638164,-6.273326683755053,-5.658511690372439,-6.8813094178533,-7.916774158150098,-6.622769436240996,-6.728836763852,-7.2728279603171035,-6.733651303869003,-6.791516735600254,-5.429603393922404,-8.622560176693781,-6.935421498794865,-6.974033215895304,-8.173870983746482,-8.389269863532629,-8.364980951949827,-7.763707541204214,-8.082924426965585,-6.731658135957616,-6.200915378110096,-9.317357355395599,-7.287883379189827,-7.599761584565094,-8.630888145230701,-6.202408492719302,-6.360732633375729,-8.761297580453864,-4.115996561649848,-7.91086595413609,-5.75324213097705,-7.170238181661304,-6.155433044469969,-8.51241917950274,-8.84439456844367,-7.737732213119786,-7.060408940822025,-9.698650395134207,-6.692258078494817,-5.2536404317492895,-5.153423182209778,-6.354309051818996,-6.978192659828954
1870,-5.84785505682442,-7.804631020651934,-6.623460775915615,-6.4516836766068675,-8.619980897369572,-6.63423600855795,-5.6571892571007805,-6.0976360569232675,-5.761599368513899,-9.920917046670484,-7.453631845673816,-7.374542732845292,-8.295499360880255,-6.2851223227067905,-7.4785440306530155,-6.663601557153356,-8.631567162185735,-9.613952039633896,-6.405028375933741,-9.40629243091746,-7.075979742677725,-6.6291429925057415,-6.670944544791409,-5.9714212749805355,-9.331036507346209,-6.4736094254512295,-8.671911460444315,-6.561990662688302,-8.920802812268938,-8.80995043935962,-6.326879616859518,-6.99543391459158,-6.652369825876705,-6.455958190173828,-7.1448243235530695,-5.774571444685764,-8.726308112592324,-5.763791575614475,-6.30057774868483,-6.405663915291706,-7.571368131177949,-7.458449168627119,-7.8988822840970006,-8.620847376895295,-8.437365950840961,-6.6670168830943926,-6.92577527952446,-7.053859055674597,-7.6515481507355325,-10.465154659042229,-8.824535018485973,-7.590390116114197,-8.37709263793381,-6.94130990452768,-8.526829210081413,-7.133844682549004,-8.553730491194214,-6.82066663070902,-6.388324458522967,-5.695665874709118,-6.893441669939186,-7.959282718444568,-6.686771050660285,-6.819303392433829,-7.301366925626176,-6.806100009178264,-6.830649242555545,-5.488394703324246,-8.671898901116425,-6.989888321114053,-7.013329799272308,-8.247929325321175,-8.391633559425708,-8.440569363434387,-7.747907746904211,-8.073526116944324,-6.795366374441832,-6.196923475186558,-9.327837559967971,-7.340015859738617,-7.5948067865050035,-8.643110385694932,-6.238653260443787,-6.398438389682777,-8.745346082994681,-4.229283711303628,-7.943137906634481,-5.838674871216625,-7.169868641724873,-6.171705929833038,-8.474114290513322,-8.81484129643797,-7.849020537662124,-7.095400838226011,-9.689936145793482,-6.750298562180907,-5.179345906183455,-5.169745768623233,-6.399240988708779,-6.99561934777706
1871,-6.0066117817147795,-7.836209730549463,-6.667062315852126,-6.470150652930742,-8.62082655347338,-6.698500355818789,-5.742422574068582,-6.143818171728077,-5.88047037387901,-9.908820375732777,-7.446519159607446,-7.45729040665047,-8.27533466612833,-6.327196502447936,-7.452624658140794,-6.668798830643546,-8.597183088588654,-9.592559142047994,-6.427401582502485,-9.452699143365745,-7.076616053625873,-6.671392801111605,-6.748467831289715,-6.0217042183096385,-9.246366998124438,-6.506103286670449,-8.754968042008482,-6.716511478549457,-8.928458744182695,-8.8585876651693,-6.3343319103568945,-7.040115066788831,-6.6018323139592905,-6.508170966034468,-7.171793401436675,-5.846490035347724,-8.637858337231174,-5.869411319641671,-6.338582056601609,-6.4333339569426755,-7.62234618348703,-7.545280013492144,-8.003745552080943,-8.60544500126683,-8.469031628835461,-6.707468933427463,-6.921406724156631,-7.080422645020688,-7.729484757866716,-10.436701469960965,-8.829398999313698,-7.599027984633818,-8.330696539901139,-7.003873094357623,-8.520980656821136,-7.170864305202985,-8.508952794413561,-6.859405071559516,-6.501332682139072,-5.7324195325329015,-6.901188781095882,-8.004141534243663,-6.744945290564937,-6.909405629697572,-7.32909668778807,-6.877987590361152,-6.870439132793312,-5.54956309997306,-8.716293637215697,-7.045185078465497,-7.043363194112365,-8.314654411706039,-8.38528957286138,-8.510899697226122,-7.722748391998662,-8.06546466708315,-6.856806461706803,-6.188216714397877,-9.326162275240579,-7.382688416049927,-7.57604859221167,-8.653496744951578,-6.272865883735774,-6.433651531828277,-8.72218345641379,-4.346970023412064,-7.972018664940165,-5.926756258068123,-7.171919715540506,-6.176644863779998,-8.423657174190192,-8.769932043700093,-7.960791912681525,-7.135878226841332,-9.667472127686427,-6.812252442994435,-5.099962049795705,-5.190478332001149,-6.440085004560501,-7.006098189606094
