time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,-8.624700618226093,-5.296811219115658,-8.204758896107926,-7.397056878239885,-7.879634420067738,-5.420773349308027,-7.994777436020458,-6.3047050812268495,-7.309242675899858,-7.557987989505589,-7.467321824309221,-8.587204806852846,-6.719717278791706,-7.699780006277021,-6.104573263546295,-7.25335456046318,-8.216555626246397,-7.102380048893183,-9.176380612024705,-7.271218695966458,-8.116010962231954,-7.3438720338475525,-7.101045446245784,-7.2102618984078966,-8.214225167685795,-5.964427403986816,-8.586143772603657,-8.326426577752716,-6.039061596031615,-8.403328774076318,-6.475547689867613,-6.123859040328719,-6.417058376303067,-6.9096886885402355,-7.855713704307622,-6.129658369439751,-7.542706890518641,-8.143321097094946,-7.283594324235608,-7.752071785720752,-9.155707704830876,-7.6250565367969845,-6.0854688478446235,-7.553388005947218,-8.11059601845513,-6.456558880180479,-7.57475958844471,-8.076844277014292,-8.128159218270998,-8.29044160080271,-8.715267410626208,-7.965205157418874,-6.124744655896416,-7.971399886719463,-5.652184124444088,-7.058634588302245,-7.794809901565444,-6.282063121743711,-5.552801105134938,-5.8140493816672265,-8.758360298650599,-8.789064009937945,-5.7325376909529915,-8.110807548677151,-6.302630995457946,-4.967157352342882,-6.375940115945367,-8.892571324730268,-8.275936817584224,-8.301398966166674,-8.671841452078183,-6.357048753260164,-7.20495516836387,-7.545246953007808,-6.867851568802433,-8.111363409056901,-7.111091072141724,-8.343916297418422,-7.210432627124212,-7.7266448449907,-8.372362264719317,-7.1194951028553355,-7.590662843697272,-5.908242248717773,-7.713670715485719,-7.726519743767537,-7.902899251315177,-6.432662872965595,-7.616473233144941,-7.556118528020466,-6.530055925220172,-7.0704111944497186,-8.277257243145858,-8.18790875031226,-6.689487124677065,-6.967167664555087,-7.802857513435698,-7.512385490978469,-7.290546529606873,-5.734570465020635
1864,-8.624371722252908,-5.308755433224643,-8.20878213586684,-7.4075413909763395,-7.883255965611027,-5.422300372389362,-8.007832892185967,-6.31438053368527,-7.312906087408116,-7.564545773134981,-7.465060533666218,-8.610706734747101,-6.722464167582567,-7.709166808855573,-6.110800363511906,-7.253437409369351,-8.232023134980915,-7.110313822006568,-9.175068300628626,-7.268322343103957,-8.115853831792238,-7.341647428568407,-7.111000458332421,-7.214521149618104,-8.222815650724815,-5.96676377890289,-8.588526730391106,-8.324401638716983,-6.043136109799123,-8.406294687603111,-6.4837491125644595,-6.128670609031018,-6.429591884744371,-6.907666024544657,-7.863356057177083,-6.125544758335012,-7.5496394442178705,-8.147343119282825,-7.284617549271196,-7.753107888656519,-9.156559627275238,-7.628694909319515,-6.090245591856104,-7.552743990331728,-8.113016153785612,-6.460443546718321,-7.571291542187522,-8.075438421578106,-8.131742404935032,-8.2905899741884,-8.717379635051344,-7.971620034767427,-6.128015944265128,-7.9659314497838,-5.663861522170642,-7.061833136276386,-7.800986708851086,-6.294394678769974,-5.556148421730307,-5.827097922501857,-8.762061675181563,-8.787301130360518,-5.737848991525012,-8.11225204464951,-6.307957318840159,-4.968238006876078,-6.374670517883349,-8.890214681740527,-8.275515493220487,-8.30390916663455,-8.675428129823121,-6.362986032779942,-7.214500400246633,-7.542896112031411,-6.877870727250702,-8.117392753998761,-7.108893476758542,-8.35190026661556,-7.216592820049355,-7.723464097064303,-8.377160007934469,-7.129894465244872,-7.597066619932244,-5.917378403460569,-7.722393616644919,-7.739756669771706,-7.912268080536425,-6.438657494919331,-7.618282463526897,-7.562042050580131,-6.535308970515738,-7.0771457007944285,-8.27839548479217,-8.192372416703657,-6.70020045790218,-6.967402050278508,-7.815020749019438,-7.52786082557778,-7.300309780852534,-5.72919828017376
1865,-8.628008331025077,-5.3350480335355,-8.218747819897414,-7.431978736261864,-7.8927203616105,-5.428978474322757,-8.035172957296993,-6.335986263618509,-7.323202412638227,-7.577670561626198,-7.466660451163568,-8.659317087038886,-6.730448630420154,-7.727781942072287,-6.128966321846955,-7.25611426778918,-8.26268849326588,-7.129275799465192,-9.175733991736934,-7.2684382013226525,-8.116956886102589,-7.342430703495456,-7.133461572597742,-7.228467697235478,-8.240708759390568,-5.973961905183872,-8.597496008695934,-8.325057047914026,-6.056341134441632,-8.412402096000452,-6.504773332622722,-6.141966467848131,-6.454624612201465,-6.908131942176823,-7.880022705578195,-6.1224290325938435,-7.568319947626176,-8.162264930638242,-7.2904436971218445,-7.756794191280518,-9.162157904263697,-7.639441387316845,-6.106909740065657,-7.5543659008728525,-8.124978177606032,-6.4716167162951965,-7.569290740049115,-8.082093235959519,-8.142935820516286,-8.295728781362428,-8.721329897138716,-7.98623279736433,-6.137513120783284,-7.958167350167637,-5.6955489743196805,-7.066005500824247,-7.817254192201287,-6.32244571567048,-5.570373923098049,-5.854781782547085,-8.77157960186305,-8.785500853112913,-5.75478617355284,-8.11636549892446,-6.3225359161902865,-4.975033494624732,-6.377532004905526,-8.888035988665957,-8.277831041392282,-8.313061573348385,-8.685051096992398,-6.377293072215103,-7.2357092042597575,-7.541579813047936,-6.898553724456075,-8.129389580934834,-7.107460269481598,-8.370202237978553,-7.230196100140487,-7.723325073253466,-8.390382478144122,-7.153599462647033,-7.609726893178688,-5.938207830259747,-7.744799024568534,-7.764148398182952,-7.932417767195394,-6.454370737889401,-7.626077673369468,-7.579755664315753,-6.550179802158489,-7.091504579725859,-8.283134771804825,-8.204421130981144,-6.722221586667835,-6.973925615653295,-7.841960767212467,-7.558755397505873,-7.320250916639628,-5.725279888810347
1866,-8.639072510937305,-5.380376051176819,-8.237159752021238,-7.475603082537042,-7.910580557985054,-5.444151409542014,-8.08069532346133,-6.373489762746128,-7.343410721497458,-7.597918361271694,-7.47591482698582,-8.739920417436284,-6.746352244946412,-7.7572648698067725,-6.165507400427211,-7.262927722752016,-8.310873376879115,-7.162799422460365,-9.179579216665953,-7.276870157537081,-8.119448564345225,-7.350685622477365,-7.172109679645804,-7.258080146669444,-8.269977014206995,-5.988624411811726,-8.61704617760194,-8.331692429683674,-6.08442749801689,-8.422467021866797,-6.5444727622478815,-6.167740489545938,-6.4952804205645895,-6.9149873704159175,-7.907489288917392,-6.124142123855365,-7.603431736045868,-8.194879425446487,-7.3042328976596576,-7.762550394198355,-9.17490748639638,-7.6613462012124005,-6.142807891725151,-7.559849028601055,-8.152550131108654,-6.493230466505561,-7.571825387053025,-8.103895884193399,-8.165485372908176,-8.311388489287506,-8.726862721547654,-8.011734777545414,-6.15707167722208,-7.948908864916904,-5.757157294774293,-7.069443612907257,-7.847775033830147,-6.370995890852094,-5.602897420750904,-5.9006045340453825,-8.788508630170769,-8.78458336067281,-5.789575138761494,-8.124115922404185,-6.3510132487576065,-4.992428522594209,-6.388341723749532,-8.887812507660081,-8.284960249582173,-8.332035589277613,-8.703313819570072,-6.403678675985823,-7.272654658593688,-7.543709662163616,-6.932980057657318,-8.148083354691355,-7.108712173973985,-8.402078824338277,-7.253296916371507,-7.730969750120552,-8.416135806767546,-7.1951963984816345,-7.629971517075509,-5.974802249699499,-7.787151265059248,-7.8008407588245525,-7.9658092485617225,-6.4846558637057194,-7.643654059028881,-7.6156083660468035,-6.579478324777744,-7.1155610286337785,-8.293003928049913,-8.227061404987712,-6.758768029469314,-6.992665325236442,-7.888160238143321,-7.607993246309105,-7.352463303779964,-5.727285579878937
1867,-8.655212430272783,-5.443200888239781,-8.262307371727307,-7.536628190003118,-7.934471769236745,-5.4698596252789695,-8.141290772137332,-6.425451810684134,-7.371463975631125,-7.61888334507269,-7.489282622403197,-8.850503353029815,-6.7692562674213885,-7.794431894618737,-6.219284439720685,-7.26973040281464,-8.37419262773711,-7.208459508817285,-9.182708734448106,-7.2950492601326955,-8.118755034024497,-7.366649721330228,-7.223736947173927,-7.303104045154201,-8.307708266267564,-6.012406571582499,-8.644558092055231,-8.342006036956402,-6.128836322945178,-8.435754812926605,-6.603470193028938,-6.20367801329547,-6.550593709067268,-6.930256665478437,-7.942086264630984,-6.132332981049803,-7.650827057151595,-8.242149612214547,-7.322954441094636,-7.762516855418352,-9.192482356358202,-7.694586614164542,-6.199190501049195,-7.566761691833991,-8.193264358276604,-6.520788149401428,-7.576854318561102,-8.13940271170799,-8.198127591232964,-8.341293974682273,-8.73232900813425,-8.04395413129092,-6.187298026865867,-7.93799244922557,-5.850190506922845,-7.070457621185385,-7.889237600068377,-6.436425498254047,-5.655246472081009,-5.963839106999855,-8.808424892523558,-8.784169059307274,-5.8424230747768995,-8.132666596396412,-6.392887405079506,-5.02359571074059,-6.404587107908302,-8.889668222998646,-8.295758245636527,-8.35891201935559,-8.727505267722641,-6.443178310616001,-7.325714585953632,-7.54873940538297,-6.979428862699855,-8.170818517754789,-7.111227957443042,-8.440963362642169,-7.282836516650795,-7.749269670872759,-8.45316214892533,-7.252600960001521,-7.657311687471429,-6.0274707046167535,-7.847449093710009,-7.847178930916029,-8.008923785315005,-6.528587186871175,-7.6689154177708,-7.668032169619549,-6.621133204230785,-7.147672372228634,-8.305108332132239,-8.258003810046812,-6.806508908917094,-7.023683912045824,-7.947453276762371,-7.6728949368351,-7.393786733436611,-5.734079865259115
1868,-8.672027893723264,-5.519609423410687,-8.290881583845017,-7.610894144935938,-7.960267115396232,-5.50733051629186,-8.211519818771084,-6.488722675865427,-7.4032383880160575,-7.632481264097678,-7.500895235413598,-8.985658271405235,-6.796943480998969,-7.834473912272633,-6.286688234304396,-7.270857186456158,-8.448572478376661,-7.261666229585586,-9.179649511552217,-7.322716959120439,-8.108814613832642,-7.388698306754655,-7.282948876034395,-7.36095176394941,-8.34936681739423,-6.046280270159118,-8.675242908008958,-8.351883164254964,-6.1891479669099105,-8.45070700467006,-6.6803087888266415,-6.2454968678023395,-6.61837966381214,-6.955241929727247,-7.978536657633819,-6.147426245723926,-7.703619666979778,-8.297795457538406,-7.341980039197276,-7.746969652359658,-9.211037588712255,-7.737636933842337,-6.275013666819252,-7.571490921310996,-8.241909657206204,-6.547728529594831,-7.580831003459706,-8.184514052913745,-8.237936677307713,-8.3882607429429,-8.73564968661347,-8.076439916316911,-6.227293576717762,-7.925215660392531,-5.972961552694923,-7.06742453172552,-7.936204998725074,-6.512637537051348,-5.726897852160856,-6.041998031986511,-8.82519104076544,-8.783296907949934,-5.911517927680813,-8.13830321642767,-6.4458074376282,-5.070703365175077,-6.421924066822887,-8.89286552101882,-8.308062458258686,-8.390212027035878,-8.753179438685835,-6.4955457477009055,-7.394129312586639,-7.5554756411584485,-7.034595319397807,-8.193792092208676,-7.112193265692366,-8.47745923578751,-7.314383697625903,-7.780296304022228,-8.498347367509655,-7.32151072462867,-7.690492257338293,-6.095527572592653,-7.9207004043011064,-7.8992345995197875,-8.05638689559807,-6.583242930646701,-7.698028263077998,-7.732906490771016,-6.670301031954108,-7.184701179579097,-8.314870775639122,-8.293230767003312,-6.859909573923607,-7.06522634254645,-8.01048512341595,-7.748945377814296,-7.439223997112719,-5.7428313433768166
1869,-8.68371477520415,-5.602712240464893,-8.31772994096361,-7.693102519913926,-7.982498011335479,-5.554494203977953,-8.285301017219833,-6.560140428440622,-7.432045024793639,-7.635149199863274,-7.505068925505551,-9.135690523896567,-6.826023262395785,-7.872151298003108,-6.36341855648685,-7.263103386323026,-8.528659316489648,-7.315918653867274,-9.165574740918444,-7.355837224592837,-8.084084584892238,-7.41116200396868,-7.344502048058345,-7.426171403161228,-8.39032070393138,-6.088121593608927,-8.703872024207527,-8.357029038841112,-6.2609045831618,-8.463390987400963,-6.770107662577277,-6.289207972715429,-6.696966549658951,-6.989903107760749,-8.012743776109424,-6.165603811353932,-7.7555931915662955,-8.354613915034031,-7.3595124639573095,-7.710303550576381,-9.22672686367535,-7.785297602363667,-6.366102131173635,-7.571305938682187,-8.292973374326962,-6.570448418052381,-7.58111361103786,-8.235290363480248,-8.281400886208928,-8.451970195591116,-8.735026278250725,-8.102316917461081,-6.272404277738621,-7.912294889680607,-6.119303467752588,-7.059436347462706,-7.985174723572119,-6.595045577629277,-5.815463395891065,-6.129453456102731,-8.834492267973527,-8.779770903683048,-5.9939081494402044,-8.139964793041493,-6.50567100789981,-5.131973040381852,-6.437369418401594,-8.894112088829456,-8.319760099571752,-8.422923190289225,-8.775695697674841,-6.557080826113663,-7.4771426327049895,-7.564777650426262,-7.094760140707503,-8.212917810173536,-7.106430153074621,-8.504798674397197,-7.345549356882906,-7.824064051563165,-8.547380155196448,-7.396874441199513,-7.726862080635422,-6.1794918936700025,-7.999130382053921,-7.952816799013482,-8.103380561232264,-6.644370565981227,-7.728150170968382,-7.805658364437639,-6.717835857998395,-7.22128617260034,-8.31592044627184,-8.328470425955764,-6.912714430175926,-7.1155372988944965,-8.069717751932629,-7.83134954447589,-7.482776104245929,-5.751202809300646
1870,-8.684599789304857,-5.684775821200667,-8.337294350935068,-7.777675102968753,-7.995840913034472,-5.6084585332483865,-8.356598915641984,-6.636589901550822,-7.450716008794286,-7.625243329311777,-7.496518879691784,-9.28966171855776,-6.852976861770619,-7.902304394157548,-6.445242845008119,-7.2447930617476475,-8.608710677750036,-7.364333368558915,-9.136223620655722,-7.389227543775578,-8.03969673686418,-7.42735254663906,-7.403600823161847,-7.492712723656638,-8.426039041771771,-6.134935328968934,-8.725044453850112,-8.353480087197982,-6.338458392828614,-8.46930449204906,-6.866926660441109,-6.331345731118942,-6.784659741457702,-7.033893175625467,-8.041382547868636,-6.181773112805024,-7.801095291112098,-8.40523790952171,-7.374998621333524,-7.649160911080564,-9.235785936999083,-7.831359930856005,-6.467374839257479,-7.564017966508933,-8.341075953950304,-6.586812925772945,-7.575487461120794,-8.288020937924141,-8.32493328697766,-8.530986903132629,-8.729103929719004,-8.115009967825298,-6.317007208050418,-7.901653452964425,-6.281380841585169,-7.046053832192049,-8.033473239040775,-6.6800886969988245,-5.917700802680137,-6.219761041067292,-8.833115233865076,-8.770987225680045,-6.086349691215192,-8.13774975921301,-6.56809755086141,-5.204125102949526,-6.448958869231416,-8.889466475794869,-8.32881798963358,-8.454278135268034,-8.790749310350348,-6.623070492739743,-7.574025329899574,-7.578478997113112,-7.1562878118888325,-8.224295793118971,-7.088176190289268,-8.517708197930762,-7.374893160792798,-7.879780604813126,-8.595587104399414,-7.473305784839819,-7.763549770147916,-6.280383978852205,-8.074351298442094,-8.003803980363191,-8.145646505693797,-6.707535207447757,-7.756981844546978,-7.8817634905917,-6.7536784266110494,-7.251376904006306,-8.30164973523507,-8.359544568814984,-6.9587308700352075,-7.173009676924769,-8.118677022584926,-7.915385587425591,-7.518579394794176,-5.75761033983402
1871,-8.67662980472301,-5.762587909727235,-8.348123720719194,-7.861911923963321,-8.00241227474769,-5.670764337666676,-8.423718000853748,-6.71632170838683,-7.458430263733604,-7.603989255510994,-7.474542724966677,-9.442829426291201,-6.878101208108889,-7.923458090942786,-6.532120597383759,-7.220529587077644,-8.685379468914203,-7.404958635615788,-9.091603428544525,-7.421421377170521,-7.976665278534616,-7.436822852844246,-7.460460469773837,-7.560463607378138,-8.45455245007644,-6.187047468313203,-8.73480239639253,-8.342092464658492,-6.420495894367473,-8.468037481515402,-6.968363098482806,-6.373293477302509,-6.878288019117198,-7.08868901248719,-8.065216158601672,-6.194930127025959,-7.839040248445219,-8.446029693718781,-7.389939561252401,-7.567963946655098,-9.236293113221947,-7.874546285052455,-6.577468782843734,-7.550086774798772,-8.38463764490043,-6.598840949076294,-7.563251228478087,-8.341632817655594,-8.367271316181313,-8.624602335251177,-8.720075376777462,-8.114053862527058,-6.360894551340513,-7.895041918067763,-6.453382802496468,-7.028876642385892,-8.080290925228919,-6.769591337964349,-6.029723759580479,-6.3114445636282905,-8.822774839321806,-8.755511004546896,-6.187694274172058,-8.133444421590601,-6.633345179337153,-5.284337381227838,-6.460105563153643,-8.878796697896705,-8.334353126522153,-8.482984787500406,-8.799046230640492,-6.692520670539257,-7.6844946362344935,-7.599933463626771,-7.218771753833897,-8.227836266316821,-7.055947918980367,-8.517328745061835,-7.4032308257951325,-7.946404065300861,-8.640350564820737,-7.5464010147712335,-7.801218520224795,-6.3994775718502,-8.144168931536699,-8.05079237254376,-8.183441343035776,-6.7724123055100005,-7.784543208715327,-7.959983592504171,-6.776833172365999,-7.27183674073572,-8.271255531283224,-8.385204753873328,-6.996578099295421,-7.237871151154504,-8.156420316797252,-7.999314589295874,-7.547116359590531,-5.7662275203747875
