time,NearestPointAverage2,EquilibriumTide,NearestPointAverageNoTide,NearestPointAverage2_dt,EquilibriumTide_dt,NearestPointAverageNoTide_dt
1890,0.27005272119029833,1.1351884530462382,0.9283925471556831,0.41277416391945376,1.0339781272690172,1.0011502397097394
1891,-3.316714565433923,-2.1879296113011506,-2.434698706295908,-3.1878070181003033,-2.286676333574594,-2.3699750704463973
1892,-2.1761111162345763,-0.9121365206676355,-1.0484551055036775,-2.060469079654851,-1.008439381744753,-0.9914249265639413
1893,-0.3877889706315294,0.8043304284532233,0.6288855306115106,-0.2848727387990505,0.7104516351913868,0.6785572452289415
1894,4.140435118797248,5.119541550206284,4.969510857561621,4.231156573254142,5.028066980305089,5.012153493236919
1895,3.269284045584966,3.8695707875304226,3.7312420303386578,3.3483330714029456,3.7804805454616344,3.7671793652446937
1896,0.3305863200514221,0.5235560232341872,0.45429219632791096,0.39847658733216246,0.43683016239597905,0.4838424014302537
1897,-1.0541805055117344,-1.4125367239436084,-1.5543462287539391,-0.9969440053015437,-1.4969182012266582,-1.5308705896970178
1898,0.6977275151827786,-0.06955158416995388,-0.12653459444522497,0.744806561154116,-0.1516087266468609,-0.10882656488275518
1899,2.9345123430328304,1.7330789569441123,1.6843624511791226,2.971921568962018,1.6533260494507391,1.6966042205908096
1900,-2.4095163071931562,-3.9098856086310523,-3.981681488384961,-2.381297945744402,-3.9873544320370953,-3.9746102369876857
1901,-4.638374083400647,-6.271939131536438,-6.29921243975334,-4.618876309505602,-6.347144072824949,-6.297021571441408
1902,-7.406931478488417,-8.950153126282615,-8.92547518452965,-7.395692693855348,-9.023114438496984,-8.927880171581291
1903,4.400919874214096,3.0305481597700803,2.875158686674692,4.404352589241929,2.959810172512867,2.868436764773947
1904,5.378781973963003,4.380802942758761,4.3752947245508444,5.374852860407354,4.312267925268125,4.364529181108164
1905,0.48476800631922323,0.0005593511798220874,0.0335472913017032,0.4739126265668523,-0.06579310280841105,0.019005832416956706
1906,0.36822818747861596,0.4003325536141791,0.414143628979426,0.3508734252812913,0.3361422057905824,0.3960883535451811
1907,0.8393288599594104,1.393592192433088,1.423114581224631,0.8158929204339124,1.3315434423627661,1.401801980926157
1908,0.582759372588324,1.6078574084441168,1.6907718173146158,0.5536517822164406,1.5479296966421145,1.6664527766298807
1909,2.119845010163373,3.4734118690931775,3.4997718847593573,2.0854666167919,3.415584585000946,3.4726916809590285
1910,2.031170837379924,3.5764794232735113,3.580242724483135,1.9919138102206693,3.520731905258907,3.550641027630581
1911,-1.1386698296689417,0.4166704678099027,0.43319642589817065,-1.1824220000391625,0.3629820031671884,0.4013072988494595
1912,2.370946717622217,3.7485522487261886,3.629555591105087,2.323074215982855,3.6969020736760334,3.595607489508986
1913,3.6203989674044177,4.684407724427194,4.633563852545938,3.5687722678027463,4.6347750241166725,4.5977796248439144
1914,0.791875378487827,1.3404294976881896,1.0911803872163635,0.7368519355956908,1.2927934061907833,1.0537772746425838
1915,-4.442135595848223,-4.286688384617308,-4.4226509935977925,-4.500207005993971,-4.332348784301712,-4.461461357016461
1916,0.030632942523148188,-0.3147365660225079,-0.4237953655674067,-0.030146337474352483,-0.35844224196761726,-0.46380695301139707
1917,0.8497676685039197,0.013635070711454311,-0.03521076212503882,0.7866119374215382,-0.02813690064166132,-0.07622315398208442
1918,-3.1240758859373976,-4.357839553786459,-4.449118127140584,-3.1892853279727804,-4.397698890768476,-4.490936511005718
1919,-4.630186306578262,-6.043462994901487,-5.956486104277275,-4.697135398069757,-6.0814308188068935,-5.998921274952832
1920,-6.253227881995697,-7.821125589626513,-7.859905725342019,-6.321611240081406,-7.857223072823393,-7.902774084837633
1921,-1.28611705263158,-2.634881447405748,-2.497503408597728,-1.3556379730845969,-2.6691298133357777,-2.5406269661303327
1922,0.91221693196493,-0.2427863089210831,-0.1794223255107159,0.841846474736522,-0.2752068320995332,-0.22262869750454561
1923,-0.19822504042676314,-0.9213988886933064,-0.9019375763358495,-0.26916568747363673,-0.9520128947090423,-0.9450599864224388
1924,0.15356876521287344,-0.17664847494852154,-0.22365593789431415,0.08232859666946903,-0.20547734046400187,-0.2665332169124978
