time,NearestPointAverage2,PressureDifference,NearestPointAverage2_trend,NearestPointAverage2_dt,NearestPointAverage2_lowess,PressureDifference_trend,PressureDifference_dt,PressureDifference_lowess
1836,4.81324027137099,-0.7226716042208015,2.1692584432518442,2.643981828119146,-0.09563944897082258,-2.5952968070349476,1.8726252028141461,0.3514008174522092
1837,1.2949967086104546,-2.282008649085906,2.178634570771096,-0.8836378621606413,-0.13020323996432767,-2.5481118880012286,0.2661032389153224,0.2907121176929428
1838,1.3156904636678846,-3.0501946519237952,2.187973037228555,-0.8722825735606703,-0.1614842917856893,-2.501614891495975,-0.5485797604278204,0.23183731775869573
1839,1.8529624034753722,-3.113756656125701,2.1972735232784104,-0.3443111198030382,-0.19007826096808045,-2.4558000734946397,-0.6579565826310612,0.1738642350292521
1840,3.332413169211228,-1.5003266042599561,2.206535709574849,1.1258774596363792,-0.21584232951199803,-2.4106616899726925,0.9103350857127364,0.11652722280634988
1841,2.0314015257945086,-2.19325040520461,2.215759276772066,-0.18435775097755736,-0.2384215306108208,-2.3661939969055568,0.17294359170094697,0.06028089898965392
1842,0.4832766420061342,-2.523849014388518,2.2249439055242473,-1.7416672635181132,-0.2581287043271267,-2.3223912502687005,-0.20145776411981764,0.005516381841520994
1843,2.1817104298517966,-2.344808779949857,2.2340892764855833,-0.05237884663378667,-0.27532969110976047,-2.2792477060375784,-0.06556107391227872,-0.04718388624323505
1844,0.6610929215227069,-4.495223486321254,2.24319507031026,-1.5821021487875528,-0.2891773828557649,-2.2367576201876584,-2.2584658661335952,-0.09641047806237535
1845,2.6850614428040767,-1.6657401898526594,2.2522609676524725,0.43280047515160414,-0.29682411772795725,-2.1949152486943655,0.5291750588417061,-0.13853175350796026
1846,1.546962675379814,-2.6963589059297357,2.2612866491664074,-0.7143239737865934,-0.29050773378474154,-2.153714847533168,-0.5426440583965677,-0.1650019531805236
1847,1.662608003959538,-2.3745762596573723,2.270271795506254,-0.607663791546716,-0.24804505010625225,-2.1131506726795193,-0.261425586977853,-0.18355464619953593
1848,2.9319986715776643,-2.6415584451152587,2.2792160873261986,0.6527825842514656,-0.18164216231346436,-2.0732169801088864,-0.5683414650063723,-0.2006498845140626
1849,1.4398129635339125,-2.245248260525676,2.2881192052804367,-0.8483062417465241,-0.0984658584632285,-2.033908025796697,-0.21134023472897878,-0.21137026852887153
1850,3.5671518079012063,-1.1751699474905974,2.2969808300231547,1.2701709778780517,-0.019804362606217554,-1.9952180657184182,0.8200481182278208,-0.20936401504095514
1851,1.5526243532913375,-2.6996784969026137,2.305800642208542,-0.7531762889172045,0.04646320546721388,-1.9571413558495034,-0.7425371410531103,-0.1941324890069562
1852,2.2215866744503803,-1.890460172859054,2.3145783224907848,-0.0929916480404045,0.10322455758726118,-1.9196721521654188,0.029211979306364766,-0.17234736916876348
1853,1.3005256608203384,-3.2019979145276083,2.3233135515240786,-1.0227878907037402,0.1705046678684756,-1.8828047106415935,-1.3191932038860148,-0.14898294681314697
1854,4.291465791111981,-0.1416343449192824,2.3320060099626096,1.9594597811493712,0.2595484970360882,-1.8465332872534934,1.7048989423342111,-0.12911918060086489
1855,3.97194288093113,-2.387745784500574,2.3406553784605677,1.6312875024705624,0.374121007745232,-1.810852137976573,-0.5768936465240011,-0.1077988831635689
1856,-5.699415553902853,-1.496005694042834,2.349261337672139,-8.048676891574992,0.48499515324617637,-1.775755518786297,0.2797498247434631,-0.09147242985876082
1857,1.357551606325584,-2.2281659718963476,2.3578235682515185,-1.0002719619259346,0.5746808249093973,-1.741237685658096,-0.4869282862382516,-0.07871807930033772
1858,0.19663150593935366,-1.8294558862919146,2.366341750852893,-2.1697102449135395,0.651666582053807,-1.7072928945674357,-0.12216299172447886,-0.06267237255093142
1859,4.845390393976052,-0.6960604569135763,2.3748155661304513,2.4705748278456006,0.7185869269369999,-1.6739154014897695,0.9778549445761932,-0.03897041370377472
1860,2.444507843651119,-2.018781410794151,2.383244694738381,0.061263148912737986,0.7894841397809089,-1.6410994624005626,-0.37768194839358826,-0.003299771867091605
1861,6.314547106261668,-1.365665491761943,2.3916288173308766,3.9229182889307914,0.858325827070314,-1.6088393332752464,0.24317384151330335,0.03977837561671947
1862,3.546451664238895,-2.5101897138280265,2.399967614562124,1.1464840496767708,0.9187850466199976,-1.5771292700892858,-0.9330604437387406,0.07942592604395372
1863,5.03767818690797,0.2542132737150295,2.408260767086314,2.6294174198216558,0.968670566788538,-1.5459635288181348,1.8001768025331644,0.10600039741818806
1864,1.3369507561292502,-3.0242909584305657,2.4165079555576314,-1.0795571994283812,1.0040956217505212,-1.5153363654372574,-1.5089545929933084,0.12195560131478002
1865,2.190297679592146,-1.3631567516987801,2.4247088606302727,-0.23441118103812686,1.0061590584070181,-1.4852420359220864,0.12208528422330622,0.13288889840163254
1866,5.4120959598714435,-0.6691227924616492,2.432863162958424,2.9792327969130197,0.9692670640506963,-1.4556747962480863,0.7865520037864371,0.14604108811256
1867,2.883222616845404,-1.7225215213460399,2.4409705431962743,0.4422520736491298,0.8902566105688539,-1.4266289023907106,-0.29589261895532926,0.15695139954318915
1868,5.583068254386846,-0.307178537369882,2.4490306819980106,3.134037572388835,0.7853185571607902,-1.3980986103254227,1.0909200729555408,0.16173785188764048
1869,4.61357755422524,-0.20445624359281644,2.457043260017828,2.1565342942074124,0.6856362168843997,-1.3700781760276577,1.1656219324348411,0.15939349534327135
1870,0.8898489870148311,-2.2045152467026865,2.4650079579099122,-1.5751589708950813,0.602574378276322,-1.3425618554728782,-0.8619533912298083,0.14584497950654243
1871,2.2279310181812058,-1.5883773943274155,2.4729244563284536,-0.24499343814724783,0.5373457891390309,-1.3155439046365385,-0.27283348969087706,0.1224054154335753
1872,3.0341210928720477,-1.3697741658348748,2.4807924359276385,0.5533286569444091,0.4759176130236634,-1.2890185794941007,-0.08075558634077407,0.09659888271663661
1873,2.769300230914902,-0.34508173593720337,2.4886115773616617,0.28068865355324046,0.40200151228720743,-1.2629801360210016,0.9178984000837982,0.07190708966797005
1874,3.509098808686593,-0.3197276796378963,2.49638156128471,1.0127172474018833,0.31515327324530984,-1.2374228301927035,0.9176951505548072,0.05175188927229532
1875,0.4002341165670927,-2.6351369412660492,2.5041020683509725,-2.10386795178388,0.24154974839653132,-1.21234091798466,-1.4227960232813892,0.0442023841110332
1876,1.7622238091994435,-2.2890505355103037,2.5117727792146356,-0.749548970015192,0.20077414882024563,-1.1877286553723332,-1.1013218801379705,0.04948838535091262
1877,4.338160018822815,-1.1346600537166704,2.519393374529895,1.8187666442929196,0.18627169601911342,-1.1635802983311603,0.028920244614489832,0.06136790315310448
1878,3.4544848619946817,-0.7445482529272353,2.5269635349509367,0.927521327043745,0.1892552106911837,-1.1398901028366037,0.3953418499093685,0.07672305637823823
1879,2.2633789558570214,-1.4570957342787545,2.53448294113195,-0.2711039852749284,0.18688712511717342,-1.116652324864117,-0.3404434094146376,0.08922936035961403
