time,one,trend,total,rate_slr
1862,-0.1275019838324231,-0.13153147936876086,-0.2590334632011839,
1863,-0.1275019838324231,-0.43137150195232155,-0.5588734857847446,-2.9999817557803805
1864,-0.1275019838324231,-0.7315278305248369,-0.85902981435726,-3.0060109705781417
1865,-0.1275019838324231,-1.03257369606795,-1.160075679900373,-3.0215968518854486
1866,-0.1275019838324231,-1.3358472009019267,-1.4633491847343498,-3.0514692038847757
1867,-0.1275019838324231,-1.642867536844905,-1.7703695206773282,-3.0950202822661534
1868,-0.1275019838324231,-1.9548512573551573,-2.0823532411875805,-3.149812859989111
1869,-0.1275019838324231,-2.272830108842727,-2.4003320926751504,-3.2122439035985995
1870,-0.1275019838324231,-2.597300038074877,-2.7248020219073004,-3.2785601704801848
1871,-0.1275019838324231,-2.928542142938764,-3.0560441267711873,-3.348660010619675
1872,-0.1275019838324231,-3.267032040198812,-3.3945340240312354,-3.4239409187114367
1873,-0.1275019838324231,-3.6133303266810515,-3.7408323105134746,-3.5037937314422507
1874,-0.1275019838324231,-3.9677907864872624,-4.095292770319685,-3.5865062018950855
1875,-0.1275019838324231,-4.330631567060069,-4.458133550892492,-3.6710544490374297
1876,-0.1275019838324231,-4.702001676294748,-4.8295036601271715,-3.756662330072169
1877,-0.1275019838324231,-5.081964033074502,-5.209466016906926,-3.8395344754055127
1878,-0.1275019838324231,-5.469908571375851,-5.597410555208274,-3.913202892979699
1879,-0.1275019838324231,-5.864604611670442,-5.992106595502865,-3.9714308849945157
1880,-0.1275019838324231,-6.264194748374754,-6.391696732207177,-4.0078443922425855
1881,-0.1275019838324231,-6.666173490118959,-6.7936754739513825,-4.017185877665335
1882,-0.1275019838324231,-7.067631923907821,-7.195133907740244,-3.99509612553127
1883,-0.1275019838324231,-7.465192715225213,-7.5926946990576365,-3.9382356107356875
1884,-0.1275019838324231,-7.855279046054958,-7.982781029887382,-3.844343337410856
1885,-0.1275019838324231,-8.234061382707385,-8.361563366539807,-3.711752348830233
1886,-0.1275019838324231,-8.597629515821005,-8.725131499653427,-3.539539829434357
1887,-0.1275019838324231,-8.941969348594256,-9.069471332426678,-3.329116362551421
1888,-0.1275019838324231,-9.26345278833129,-9.390954772163711,-3.08659425595855
1889,-0.1275019838324231,-9.559288199785966,-9.686790183618388,-2.8186569668064987
1890,-0.1275019838324231,-9.827184181692589,-9.954686165525011,-2.532793548894885
1891,-0.1275019838324231,-10.065846909564943,-10.193348893397365,-2.235918197342306
1892,-0.1275019838324231,-10.27436782116105,-10.401869804993472,-1.9334673082900178
1893,-0.1275019838324231,-10.452540371222947,-10.580042355055369,-1.630088000793446
1894,-0.1275019838324231,-10.60038542131974,-10.727887405152162,-1.3286559123703423
1895,-0.1275019838324231,-10.718271553697015,-10.845773537529437,-1.0312045814865556
1896,-0.1275019838324231,-10.80662633761705,-10.934128321449473,-0.7375472848661602
1897,-0.1275019838324231,-10.865781010670247,-10.99328299450267,-0.44730937951624306
1898,-0.1275019838324231,-10.896088213520299,-11.023590197352721,-0.1619242904329088
1899,-0.1275019838324231,-10.898165868756829,-11.025667852589251,0.1167331375339753
1900,-0.1275019838324231,-10.872741586013504,-11.000243569845926,0.38746536212021176
1901,-0.1275019838324231,-10.820672796332786,-10.948174780165209,0.6487061394681781
1902,-0.1275019838324231,-10.743000358119868,-10.87050234195229,0.8941693160883002
1903,-0.1275019838324231,-10.641838933115126,-10.769340916947549,1.1159593836040393
1904,-0.1275019838324231,-10.51980848139906,-10.647310465231483,1.3127302323802237
1905,-0.1275019838324231,-10.379292886639082,-10.506794870471504,1.4864215376198864
1906,-0.1275019838324231,-10.222524173875083,-10.350026157707505,1.6385102908799443
1907,-0.1275019838324231,-10.051590828463093,-10.179092812295515,1.770261790734864
1908,-0.1275019838324231,-9.86847181572811,-9.995973799560533,1.8831072052104858
1909,-0.1275019838324231,-9.674969387420996,-9.802471371253418,1.978724022965741
1910,-0.1275019838324231,-9.472727011134962,-9.600228994967384,2.0594722739168514
1911,-0.1275019838324231,-9.263074932637625,-9.390576916470048,2.128489947424086
1912,-0.1275019838324231,-9.047029021650145,-9.174531005482567,2.1890650110025245
1913,-0.1275019838324231,-8.82526193043712,-8.952763914269543,2.2448642652760675
1914,-0.1275019838324231,-8.598056168594931,-8.725558152427354,2.29912472496423
1915,-0.1275019838324231,-8.365436985444274,-8.492938969276697,2.354767456009599
1916,-0.1275019838324231,-8.127102677393012,-8.254604661225434,2.4140755481162657
1917,-0.1275019838324231,-7.882621875821021,-8.010123859653444,2.478563507072127
1918,-0.1275019838324231,-7.631389975978586,-7.7588919598110095,2.548795459605242
1919,-0.1275019838324231,-7.372862783899973,-7.500364767732396,2.623712308520587
1920,-0.1275019838324231,-7.106647514274469,-7.234149498106892,2.7006275472049746
1921,-0.1275019838324231,-6.832737274458978,-6.960239258291401,2.7732852733944124
1922,-0.1275019838324231,-6.5519904595955865,-6.67949244342801,2.836601672762389
1923,-0.1275019838324231,-6.2654169399065,-6.3929189237389235,2.889431789062269
1924,-0.1275019838324231,-5.974104101783133,-6.101606085615556,2.9313933560780514
1925,-0.1275019838324231,-5.67913826869089,-5.806640252523313,2.962742910393108
1926,-0.1275019838324231,-5.381555519704511,-5.509057503536934,2.984055778030621
1927,-0.1275019838324231,-5.082327113084766,-5.209829096917189,2.9967805351293997
1928,-0.1275019838324231,-4.782199412678631,-4.909701396511054,3.0022783196725777
1929,-0.1275019838324231,-4.48187144915025,-4.609373432982673,3.0005045050118095
1930,-0.1275019838324231,-4.182098511676269,-4.309600495508692,2.991222735048502
1931,-0.1275019838324231,-3.88362690214055,-4.011128885972973,2.9753027477354155
1932,-0.1275019838324231,-3.587037962129186,-3.7145399459616093,2.953900081612828
1933,-0.1275019838324231,-3.2928468858179842,-3.4203488696504074,2.927470349964103
1934,-0.1275019838324231,-3.0015438921363655,-3.1290458759687887,2.8961564091103487
1935,-0.1275019838324231,-2.7136156039959145,-2.8411175878283377,2.8596106329763193
1936,-0.1275019838324231,-2.4296217655411017,-2.557123749373525,2.8174159299076362
1937,-0.1275019838324231,-2.1501324180143873,-2.2776344018468104,2.7712783392364804
1938,-0.1275019838324231,-1.8753660976938056,-2.0028680815262287,2.7241254251267755
1939,-0.1275019838324231,-1.6053073329890322,-1.7328093168214553,2.6774740188144786
1940,-0.1275019838324231,-1.3398712939309099,-1.467373277763333,2.631877866090684
1941,-0.1275019838324231,-1.0789317597708954,-1.2064337436033186,2.586627295043896
1942,-0.1275019838324231,-0.8225458349221306,-0.9500478187545537,2.539936416401475
1943,-0.1275019838324231,-0.5709444764906004,-0.6984464603230235,2.4903385956251665
1944,-0.1275019838324231,-0.3244781157970973,-0.45198009962952035,2.436630571649569
1945,-0.1275019838324231,-0.08361836216068658,-0.21112034599310966,2.3785586612136767
1946,-0.1275019838324231,0.15123361644563804,0.023731632613214954,2.3169656982749722
1947,-0.1275019838324231,0.3797747774943079,0.2522727936618848,2.252151678189384
1948,-0.1275019838324231,0.6016639520835149,0.4741619682510918,2.1835835494362454
1949,-0.1275019838324231,0.816491487381557,0.6889895035491339,2.110868301996682
1950,-0.1275019838324231,1.0238376124828512,0.8963356286504282,2.0339208612861714
1951,-0.1275019838324231,1.2232756596387913,1.095773675806368,1.9536574457338607
1952,-0.1275019838324231,1.4145691016296233,1.2870671177972002,1.8731144606389605
1953,-0.1275019838324231,1.5978985517665834,1.4703965679341602,1.795237198717915
1954,-0.1275019838324231,1.7736165413732063,1.6461145575407832,1.722419003736636
1955,-0.1275019838324231,1.9423823525139106,1.8148803686814874,1.6563167642880283
1956,-0.1275019838324231,2.104879894230812,1.9773779103983888,1.5966560161224785
1957,-0.1275019838324231,2.2617135557384063,2.134211571905983,1.5425906937043243
1958,-0.1275019838324231,2.413398032971677,2.2858960491392537,1.4922494447127899
1959,-0.1275019838324231,2.5601634446809642,2.432661460848541,1.4439568670562797
1960,-0.1275019838324231,2.702189406382933,2.5746874225505096,1.3978794410396023
1961,-0.1275019838324231,2.8397393328888847,2.7122373490564615,1.3549325144280422
1962,-0.1275019838324231,2.9731759092685413,2.845673925436118,1.317742579206771
1963,-0.1275019838324231,3.103287848730239,2.9757858648978157,1.2888558705258846
