lag,AMV_r,North_r,South_r,AMV_stderr,North_stderr,South_stderr
-40,-0.5144387597298925,-0.382952171890515,-0.41920902973863594,0.08273364959872931,0.09600910983471324,0.09273692166091653
-39,-0.4656810292603652,-0.3528087250556642,-0.3570123178884783,0.08811026651952232,0.09850437135116392,0.09816866777531866
-38,-0.4098402995670761,-0.31540219035554784,-0.28707330488251975,0.0936107931246242,0.10131657972788786,0.10323681892423749
-37,-0.3483680947590349,-0.271664724554395,-0.21142588122615846,0.09885468626138881,0.10420544757981509,0.1074795455516444
-36,-0.28283406130314265,-0.2227580655300618,-0.13243237493613977,0.10350863747697252,0.10692597389519501,0.11053557336176009
-35,-0.21482707572310952,-0.16988303385702888,-0.05236854033302522,0.10731643377174672,0.10926175882422193,0.1122002387842209
-34,-0.14581706419275833,-0.11425538311631686,0.026874549592560065,0.110116558868635,0.111040067429918,0.11242753158475563
-33,-0.07574449239964849,-0.050120478865137465,0.0989976891850708,0.11186330149733681,0.1122261609911533,0.11140614291772839
-32,-0.006621738956180267,0.015245243227882743,0.1679332129537583,0.11250385687166403,0.11248264108751037,0.10933586624678379
-31,0.06085733206112517,0.08057426688474773,0.23338409635091414,0.11209210086510499,0.11177835912100183,0.10638064596431686
-30,0.1262542444340011,0.14484422301586947,0.29531692291352624,0.11071538487561629,0.11014837267191693,0.10269666393239928
-29,0.18918422431502652,0.20701418023658363,0.35349570425300514,0.10848202503220358,0.10768724042717914,0.09844978023544985
-28,0.24913050390544703,0.2659014124086774,0.40728382824028914,0.10552581862932435,0.10455401797564824,0.09384581885708296
-27,0.30549381418809235,0.32042521333887963,0.45587636544844296,0.10200874181222565,0.10095725189230775,0.08912684649226775
-26,0.35779335873938967,0.3699448587404361,0.49870291270580364,0.09810585496906163,0.09711092725536986,0.08452733700278957
-25,0.4059589244852572,0.41454487947056484,0.5358952970360513,0.0939670435205241,0.09317444061432371,0.08019809166482286
-24,0.45024150019916503,0.45468103474965815,0.5681440414049169,0.08970129973138015,0.08924930299607037,0.07619234193356221
-23,0.4907368892509491,0.4903856194632467,0.5961236473335328,0.08541412011075118,0.08545289499338365,0.07252728358798197
