time,20,22,23,24,25,32,Average
1890,-13.347798742138366,-14.324840764331203,-9.107692307692288,-13.196153846153813,-9.517307692307714,-15.2959731543624,-12.46496108449763
1891,-16.147798742138367,-13.824840764331203,-5.707692307692287,-10.796153846153812,-7.517307692307714,-11.395973154362402,-10.898294417830964
1892,-16.047798742138365,-10.724840764331203,-5.607692307692287,-10.796153846153812,-6.617307692307714,-8.095973154362401,-9.648294417830964
1893,-13.447798742138367,-11.524840764331202,-3.607692307692287,-6.396153846153812,-4.9173076923077135,-3.3959731543624003,-7.21496108449763
1894,-8.547798742138367,-12.624840764331204,-3.807692307692287,-9.696153846153813,-4.517307692307713,-3.8959731543624003,-7.181627751164297
1895,-10.147798742138367,-12.524840764331202,-6.207692307692287,-10.896153846153812,-7.9173076923077135,-14.095973154362401,-10.298294417830965
1896,-12.147798742138367,-15.924840764331202,-8.307692307692287,-10.296153846153812,-7.617307692307714,-14.6959731543624,-11.498294417830964
1897,-14.247798742138366,-15.124840764331204,-7.307692307692287,-10.296153846153812,-5.717307692307713,-12.895973154362402,-10.931627751164298
1898,-11.047798742138367,-11.024840764331202,-3.107692307692287,-4.596153846153811,-1.7173076923077133,-9.495973154362401,-6.831627751164297
1899,-10.247798742138366,-8.224840764331203,-3.207692307692287,-7.196153846153812,-5.4173076923077135,-8.2959731543624,-7.098294417830964
1900,-15.647798742138367,-11.524840764331202,-7.507692307692287,-9.296153846153812,-8.917307692307714,-10.995973154362401,-10.648294417830964
1901,-18.947798742138367,-12.024840764331202,-12.307692307692287,-11.096153846153811,-10.117307692307714,-11.595973154362401,-12.681627751164298
1902,-20.447798742138367,-12.124840764331204,-16.007692307692288,-14.196153846153813,-11.117307692307714,-19.195973154362402,-15.514961084497632
1903,-5.9477987421383665,-3.124840764331202,-6.507692307692287,-1.6961538461538113,0.9826923076922868,-9.995973154362401,-4.381627751164297
1904,-7.247798742138366,-7.424840764331202,-3.307692307692287,-11.496153846153812,-5.9173076923077135,-13.6959731543624,-8.181627751164298
1905,-10.147798742138367,-9.124840764331202,-7.107692307692287,-17.696153846153813,-5.317307692307714,-14.595973154362401,-10.66496108449763
1906,-9.347798742138366,-7.024840764331202,-2.9076923076922867,-9.596153846153811,-2.5173076923077136,-10.495973154362401,-6.981627751164297
1907,-8.347798742138366,-9.624840764331204,-5.707692307692287,-11.096153846153811,-5.317307692307714,-15.495973154362401,-9.26496108449763
1908,-8.547798742138367,-9.924840764331202,-7.607692307692287,-10.396153846153812,-8.017307692307714,-15.395973154362402,-9.981627751164297
1909,-5.9477987421383665,-4.324840764331202,-2.9076923076922867,-5.696153846153812,-3.4173076923077135,-7.395973154362401,-4.948294417830963
1910,-5.247798742138366,-4.824840764331203,-1.2076923076922867,-4.696153846153812,-2.2173076923077133,-5.9959731543624,-4.031627751164296
1911,-9.047798742138367,-7.024840764331202,-4.2076923076922865,-3.4961538461538115,-5.217307692307713,-8.3959731543624,-6.231627751164297
1912,-3.547798742138366,-0.9248407643312021,0.9923076923077133,3.303846153846189,2.382692307692287,-2.2959731543624002,-0.014961084497629904
1913,-4.147798742138366,-3.024840764331202,-3.207692307692287,-2.596153846153811,-0.017307692307713295,-4.2959731543624,-2.881627751164297
1914,-6.547798742138366,-1.2248407643312023,0.39230769230771334,-2.096153846153811,1.4826923076922869,-1.8959731543624003,-1.6482944178309635
1915,-9.447798742138366,-4.124840764331203,-2.707692307692287,-6.096153846153811,-4.9173076923077135,-5.2959731543624,-5.431627751164297
1916,-4.9477987421383665,0.07515923566879792,0.1923076923077133,1.003846153846189,2.082692307692287,-0.39597315436240027,-0.3316277511642966
